rk,player,nation,squad,comp,season,age,born,ninety_mins_played,touches,def_pen_area_touches,def_third_touches,mid_third_touches,att_third_touches,att_pen_area_touches,live_ball_touches,take_ons_attempted,take_ons_successful,take_on_succ_pct,take_ons_tackled,take_on_tackled_pct,carries,total_distance_carried,progressive_carries_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,position,age_range,general_position,country,continent
256,Héctor Bellerín,ESP,Betis,La Liga,2021,26.0,1995.0,22.0,1285,68,365,573,357,41,1285,42,22,52.4,20,47.6,596,3170,1755,43,32,7,26,8,726,103,DF,25-29,Defender,Spain,Europe
261,Fran Beltrán,ESP,Celta Vigo,La Liga,2021,22.0,1999.0,28.9,2177,63,582,1351,262,5,2177,27,19,70.4,8,29.6,1317,6821,2801,18,33,2,31,20,1509,22,MF,20-24,Midfielder,Spain,Europe
271,Iker Benito,ESP,Osasuna,La Liga,2021,18.0,2002.0,1.3,52,1,9,22,21,0,52,6,2,33.3,4,66.7,30,154,78,2,1,0,4,4,29,7,"FW,MF",Under 20,Forward,Spain,Europe
273,Pedro Benito,ESP,Cádiz,La Liga,2021,21.0,2000.0,0.3,7,0,0,4,3,0,7,0,0,,0,,6,21,8,1,0,0,2,0,6,1,FW,20-24,Forward,Spain,Europe
286,Yuri Berchiche,ESP,Athletic Club,La Liga,2021,31.0,1990.0,11.3,755,33,223,346,196,12,755,11,8,72.7,3,27.3,371,2210,1270,33,27,2,13,7,416,46,DF,30-34,Defender,Spain,Europe
287,Álex Berenguer,ESP,Athletic Club,La Liga,2021,26.0,1995.0,24.1,1225,22,160,446,633,81,1224,71,33,46.5,38,53.5,633,3718,1831,59,39,16,70,36,795,202,MF,25-29,Midfielder,Spain,Europe
288,Bartosz Bereszyński,POL,Sampdoria,Serie A,2021,29.0,1992.0,32.7,1939,113,684,846,426,31,1939,47,27,57.4,20,42.6,1011,4722,2256,52,32,5,38,17,1076,108,DF,25-29,Defender,Poland,Europe
290,Patrick Berg,NOR,Lens,Ligue 1,2021,23.0,1997.0,3.4,249,13,61,164,28,1,249,1,0,0.0,1,100.0,151,756,335,4,5,0,2,0,157,1,MF,20-24,Midfielder,Norway,Europe
298,Juan Bernat,ESP,Paris S-G,Ligue 1,2021,28.0,1993.0,10.6,771,33,196,384,198,21,771,23,14,60.9,9,39.1,492,2295,1156,20,11,6,7,5,577,85,"DF,MF",25-29,Defender,Spain,Europe
310,Pedro Bigas,ESP,Elche,La Liga,2021,30.0,1990.0,17.2,1114,119,581,487,50,11,1114,6,2,33.3,4,66.7,589,2971,1781,14,10,0,12,0,739,5,DF,30-34,Defender,Spain,Europe
321,Antonio Blanco,ESP,Real Madrid,La Liga,2021,21.0,2000.0,0.3,25,1,13,12,2,0,25,1,1,100.0,0,0.0,13,79,32,1,2,0,0,1,15,0,MF,20-24,Midfielder,Spain,Europe
333,Emil Bohinen,NOR,Salernitana,Serie A,2021,22.0,1999.0,7.8,402,26,92,226,90,7,402,17,11,64.7,6,35.3,179,1138,653,14,10,2,11,9,195,13,MF,20-24,Midfielder,Norway,Europe
352,Ismaël Boura,COM,Lens,Ligue 1,2021,20.0,2000.0,1.1,83,7,28,37,18,0,83,0,0,,0,,26,183,120,2,1,0,0,0,55,2,DF,20-24,Defender,Comoros,Africa
369,Iker Bravo,ESP,Leverkusen,Bundesliga,2021,16.0,2005.0,0.1,2,0,0,1,1,0,2,0,0,,0,,1,0,0,0,0,0,1,0,1,0,FW,Under 20,Forward,Spain,Europe
400,Sergio Busquets,ESP,Barcelona,La Liga,2021,33.0,1988.0,35.5,3086,80,543,2055,498,23,3086,26,21,80.8,5,19.2,1725,6238,3114,24,33,0,20,15,2260,36,MF,30-34,Midfielder,Spain,Europe
429,Fernando Calero,ESP,Espanyol,La Liga,2021,25.0,1995.0,12.1,753,80,377,363,19,4,753,5,4,80.0,1,20.0,379,1683,1017,2,4,0,8,1,471,2,DF,25-29,Defender,Spain,Europe
433,José Callejón,ESP,Fiorentina,Serie A,2021,34.0,1987.0,14.4,697,4,76,316,307,41,697,13,7,53.8,6,46.2,411,1613,840,31,17,4,18,13,538,105,FW,30-34,Forward,Spain,Europe
438,Víctor Camarasa,ESP,Betis,La Liga,2021,27.0,1994.0,1.2,69,3,16,39,14,2,69,1,0,0.0,1,100.0,38,248,109,0,0,1,5,0,45,4,"MF,FW",25-29,Midfielder,Spain,Europe
442,José Campaña,ESP,Levante,La Liga,2021,28.0,1993.0,15.8,1021,32,214,565,260,19,1020,35,21,60.0,14,40.0,574,3337,1783,37,30,4,21,10,687,55,MF,25-29,Midfielder,Spain,Europe
445,Sergio Canales,ESP,Betis,La Liga,2021,30.0,1991.0,31.0,2105,21,245,1113,774,72,2105,57,29,50.9,28,49.1,1356,8273,4332,99,80,10,50,41,1704,166,"FW,MF",30-34,Forward,Spain,Europe
450,Sergi Canós,ESP,Brentford,Premier League,2021,24.0,1997.0,23.1,1070,64,303,444,339,50,1070,50,23,46.0,27,54.0,581,3331,1833,52,44,12,47,25,601,100,"DF,FW",20-24,Defender,Spain,Europe
453,Ander Capa,ESP,Athletic Club,La Liga,2021,29.0,1992.0,0.0,3,0,1,1,1,0,3,0,0,,0,,3,26,18,1,1,0,0,0,3,1,DF,25-29,Defender,Spain,Europe
475,Matty Cash,POL,Aston Villa,Premier League,2021,23.0,1997.0,37.5,2093,140,713,868,538,92,2093,59,33,55.9,26,44.1,1007,5923,2897,89,54,20,56,31,1030,174,DF,20-24,Defender,Poland,Europe
476,Kiko Casilla,ESP,Elche,La Liga,2021,34.0,1986.0,14.0,514,431,512,2,0,0,514,0,0,,0,,249,1237,679,0,0,0,1,0,181,0,GK,30-34,Goalkeeper,Spain,Europe
482,Samu Castillejo,ESP,Milan,Serie A,2021,26.0,1995.0,1.4,88,2,5,31,53,8,88,2,0,0.0,2,100.0,52,337,187,4,3,1,5,3,62,13,"FW,MF",25-29,Forward,Spain,Europe
488,Craig Cathcart,NIR,Watford,Premier League,2021,32.0,1989.0,26.6,1209,204,662,497,55,11,1209,1,0,0.0,1,100.0,554,2073,917,6,6,0,6,2,636,0,DF,30-34,Defender,Northern Ireland,Europe
490,Dani Ceballos,ESP,Real Madrid,La Liga,2021,24.0,1996.0,3.1,313,7,69,172,76,9,313,11,5,45.5,6,54.5,217,1228,578,6,8,1,10,1,248,8,MF,20-24,Midfielder,Spain,Europe
524,Pedro Chirivella,ESP,Nantes,Ligue 1,2021,24.0,1997.0,29.3,1925,21,283,1302,348,21,1925,16,8,50.0,8,50.0,1147,4680,1922,13,22,2,14,9,1386,34,MF,20-24,Midfielder,Spain,Europe
531,Víctor Chust,ESP,Cádiz,La Liga,2021,21.0,2000.0,20.3,984,125,525,427,41,18,984,5,4,80.0,1,20.0,515,3479,1915,17,6,0,3,1,566,1,DF,20-24,Defender,Spain,Europe
540,Carlos Clerc,ESP,Levante,La Liga,2021,29.0,1992.0,16.8,1032,51,376,459,212,15,1032,33,23,69.7,10,30.3,509,2962,1616,45,24,3,15,6,573,56,DF,25-29,Defender,Spain,Europe
545,Coke,ESP,Levante,La Liga,2021,34.0,1987.0,1.3,85,8,40,25,22,3,85,3,2,66.7,1,33.3,35,163,86,1,1,0,1,0,40,5,DF,30-34,Defender,Spain,Europe
547,Álex Collado,ESP,Granada,La Liga,2021,22.0,1999.0,11.3,550,13,80,241,238,19,550,38,14,36.8,24,63.2,287,1654,671,20,23,7,29,19,308,32,"MF,FW",20-24,Midfielder,Spain,Europe
553,Santi Comesaña,ESP,Rayo Vallecano,La Liga,2021,24.0,1996.0,29.8,1837,68,405,1138,325,58,1837,64,48,75.0,16,25.0,967,4828,2760,46,44,3,45,35,1179,50,MF,20-24,Midfielder,Spain,Europe
554,Diego Conde,ESP,Getafe,La Liga,2021,22.0,1998.0,0.1,6,5,6,0,0,0,6,0,0,,0,,2,12,11,0,0,0,0,0,2,0,GK,20-24,Goalkeeper,Spain,Europe
577,Jaume Costa,ESP,Mallorca,La Liga,2021,33.0,1988.0,20.3,1191,71,341,473,385,19,1191,14,9,64.3,5,35.7,550,2677,1570,39,33,1,15,6,609,108,DF,30-34,Defender,Spain,Europe
579,Vladimír Coufal,CZE,West Ham,Premier League,2021,28.0,1992.0,24.5,1681,110,454,700,539,30,1681,23,15,65.2,8,34.8,778,4242,1992,51,38,5,30,15,888,119,DF,25-29,Defender,Czech Republic,Europe
600,Marc Cucurella,ESP,Brighton,Premier League,2021,23.0,1998.0,34.3,2717,115,683,1205,848,53,2717,55,28,50.9,27,49.1,1431,6642,4085,104,64,8,40,15,1638,208,DF,20-24,Defender,Spain,Europe
601,Marc Cucurella,ESP,Getafe,La Liga,2021,23.0,1998.0,0.3,24,0,2,7,17,2,24,1,1,100.0,0,0.0,16,136,105,2,3,1,0,0,14,3,"MF,DF",20-24,Midfielder,Spain,Europe
602,Jorge Cuenca,ESP,Getafe,La Liga,2021,21.0,1999.0,29.8,1440,177,748,654,48,26,1440,6,3,50.0,3,50.0,663,2483,1095,4,8,0,14,3,715,6,DF,20-24,Defender,Spain,Europe
621,Stuart Dallas,NIR,Leeds United,Premier League,2021,30.0,1991.0,32.4,2056,103,665,923,504,28,2056,43,29,67.4,14,32.6,985,5629,3146,82,53,8,39,25,1113,79,"DF,MF",30-34,Defender,Northern Ireland,Europe
631,Sergi Darder,ESP,Espanyol,La Liga,2021,27.0,1993.0,34.7,2002,61,385,1186,461,38,2002,77,53,68.8,24,31.2,1288,8511,4410,94,75,11,38,32,1531,65,MF,25-29,Midfielder,Spain,Europe
641,Paweł Dawidowicz,POL,Hellas Verona,Serie A,2021,26.0,1995.0,13.3,757,82,301,379,84,16,757,5,5,100.0,0,0.0,413,2108,1100,16,19,1,7,2,437,13,DF,25-29,Defender,Poland,Europe
681,Gerard Deulofeu,ESP,Udinese,Serie A,2021,27.0,1994.0,29.1,1438,13,75,439,938,177,1437,117,50,42.7,67,57.3,889,6471,3582,154,79,83,100,44,991,259,"FW,MF",25-29,Forward,Spain,Europe
706,Víctor Díaz,ESP,Granada,La Liga,2021,33.0,1988.0,16.7,848,117,441,356,58,13,848,8,4,50.0,4,50.0,403,1700,799,5,8,1,5,0,463,6,DF,30-34,Defender,Spain,Europe
730,Djené,TOG,Getafe,La Liga,2021,29.0,1991.0,34.6,1653,187,779,782,101,12,1653,18,18,100.0,0,0.0,918,4227,2118,24,21,0,32,9,879,9,DF,25-29,Defender,Togo,Africa
