rk,player,nation,squad,comp,season,age,born,ninety_mins_played,passes_attempted,live_ball_passes,dead_ball_passes,free_kick_passes,through_balls,switches,crosses,throw_ins,corner_kicks,inswinging_corners,outswinging_corners,straight_corners,passes_completed,passes_offside,passes_blocked,position,age_range,general_position,country,continent
618,Danilo,BRA,Juventus,Serie A,2019,28.0,1991.0,16.0,1231,1102,128,20,1,10,29,108,0,0,0,0,1057,1,15,DF,25-29,Defender,Brazil,South America
618,Danilo,BRA,Juventus,Serie A,2019,28.0,1991.0,16.0,1231,1102,128,20,1,10,29,108,0,0,0,0,1057,1,15,DF,25-29,Defender,Brazil,South America
618,Danilo,BRA,Juventus,Serie A,2019,28.0,1991.0,16.0,1231,1102,128,20,1,10,29,108,0,0,0,0,1057,1,15,DF,25-29,Defender,Brazil,South America
618,Danilo,BRA,Juventus,Serie A,2019,28.0,1991.0,16.0,1231,1102,128,20,1,10,29,108,0,0,0,0,1057,1,15,DF,25-29,Defender,Brazil,South America
618,Danilo,BRA,Juventus,Serie A,2019,28.0,1991.0,16.0,1231,1102,128,20,1,10,29,108,0,0,0,0,1057,1,15,DF,25-29,Defender,Brazil,South America
618,Danilo,BRA,Juventus,Serie A,2019,28.0,1991.0,16.0,1231,1102,128,20,1,10,29,108,0,0,0,0,1057,1,15,DF,25-29,Defender,Brazil,South America
618,Danilo,BRA,Juventus,Serie A,2019,28.0,1991.0,16.0,1231,1102,128,20,1,10,29,108,0,0,0,0,1057,1,15,DF,25-29,Defender,Brazil,South America
618,Danilo,BRA,Juventus,Serie A,2019,28.0,1991.0,16.0,1231,1102,128,20,1,10,29,108,0,0,0,0,1057,1,15,DF,25-29,Defender,Brazil,South America
618,Danilo,BRA,Juventus,Serie A,2019,28.0,1991.0,16.0,1231,1102,128,20,1,10,29,108,0,0,0,0,1057,1,15,DF,25-29,Defender,Brazil,South America
618,Danilo,BRA,Juventus,Serie A,2019,28.0,1991.0,16.0,1231,1102,128,20,1,10,29,108,0,0,0,0,1057,1,15,DF,25-29,Defender,Brazil,South America
618,Danilo,BRA,Juventus,Serie A,2019,28.0,1991.0,16.0,1231,1102,128,20,1,10,29,108,0,0,0,0,1057,1,15,DF,25-29,Defender,Brazil,South America
618,Danilo,BRA,Juventus,Serie A,2019,28.0,1991.0,16.0,1231,1102,128,20,1,10,29,108,0,0,0,0,1057,1,15,DF,25-29,Defender,Brazil,South America
618,Danilo,BRA,Juventus,Serie A,2019,28.0,1991.0,16.0,1231,1102,128,20,1,10,29,108,0,0,0,0,1057,1,15,DF,25-29,Defender,Brazil,South America
618,Danilo,BRA,Juventus,Serie A,2019,28.0,1991.0,16.0,1231,1102,128,20,1,10,29,108,0,0,0,0,1057,1,15,DF,25-29,Defender,Brazil,South America
618,Danilo,BRA,Juventus,Serie A,2019,28.0,1991.0,16.0,1231,1102,128,20,1,10,29,108,0,0,0,0,1057,1,15,DF,25-29,Defender,Brazil,South America
618,Danilo,BRA,Juventus,Serie A,2019,28.0,1991.0,16.0,1231,1102,128,20,1,10,29,108,0,0,0,0,1057,1,15,DF,25-29,Defender,Brazil,South America
618,Danilo,BRA,Juventus,Serie A,2019,28.0,1991.0,16.0,1231,1102,128,20,1,10,29,108,0,0,0,0,1057,1,15,DF,25-29,Defender,Brazil,South America
618,Danilo,BRA,Juventus,Serie A,2019,28.0,1991.0,16.0,1231,1102,128,20,1,10,29,108,0,0,0,0,1057,1,15,DF,25-29,Defender,Brazil,South America
618,Danilo,BRA,Juventus,Serie A,2019,28.0,1991.0,16.0,1231,1102,128,20,1,10,29,108,0,0,0,0,1057,1,15,DF,25-29,Defender,Brazil,South America
618,Danilo,BRA,Juventus,Serie A,2019,28.0,1991.0,16.0,1231,1102,128,20,1,10,29,108,0,0,0,0,1057,1,15,DF,25-29,Defender,Brazil,South America
618,Danilo,BRA,Juventus,Serie A,2019,28.0,1991.0,16.0,1231,1102,128,20,1,10,29,108,0,0,0,0,1057,1,15,DF,25-29,Defender,Brazil,South America
618,Danilo,BRA,Juventus,Serie A,2019,28.0,1991.0,16.0,1231,1102,128,20,1,10,29,108,0,0,0,0,1057,1,15,DF,25-29,Defender,Brazil,South America
618,Danilo,BRA,Juventus,Serie A,2019,28.0,1991.0,16.0,1231,1102,128,20,1,10,29,108,0,0,0,0,1057,1,15,DF,25-29,Defender,Brazil,South America
618,Danilo,BRA,Juventus,Serie A,2019,28.0,1991.0,16.0,1231,1102,128,20,1,10,29,108,0,0,0,0,1057,1,15,DF,25-29,Defender,Brazil,South America
618,Danilo,BRA,Juventus,Serie A,2019,28.0,1991.0,16.0,1231,1102,128,20,1,10,29,108,0,0,0,0,1057,1,15,DF,25-29,Defender,Brazil,South America
618,Danilo,BRA,Juventus,Serie A,2019,28.0,1991.0,16.0,1231,1102,128,20,1,10,29,108,0,0,0,0,1057,1,15,DF,25-29,Defender,Brazil,South America
618,Danilo,BRA,Juventus,Serie A,2019,28.0,1991.0,16.0,1231,1102,128,20,1,10,29,108,0,0,0,0,1057,1,15,DF,25-29,Defender,Brazil,South America
618,Danilo,BRA,Juventus,Serie A,2019,28.0,1991.0,16.0,1231,1102,128,20,1,10,29,108,0,0,0,0,1057,1,15,DF,25-29,Defender,Brazil,South America
618,Danilo,BRA,Juventus,Serie A,2019,28.0,1991.0,16.0,1231,1102,128,20,1,10,29,108,0,0,0,0,1057,1,15,DF,25-29,Defender,Brazil,South America
618,Danilo,BRA,Juventus,Serie A,2019,28.0,1991.0,16.0,1231,1102,128,20,1,10,29,108,0,0,0,0,1057,1,15,DF,25-29,Defender,Brazil,South America
618,Danilo,BRA,Juventus,Serie A,2019,28.0,1991.0,16.0,1231,1102,128,20,1,10,29,108,0,0,0,0,1057,1,15,DF,25-29,Defender,Brazil,South America
618,Danilo,BRA,Juventus,Serie A,2019,28.0,1991.0,16.0,1231,1102,128,20,1,10,29,108,0,0,0,0,1057,1,15,DF,25-29,Defender,Brazil,South America
618,Danilo,BRA,Juventus,Serie A,2019,28.0,1991.0,16.0,1231,1102,128,20,1,10,29,108,0,0,0,0,1057,1,15,DF,25-29,Defender,Brazil,South America
618,Danilo,BRA,Juventus,Serie A,2019,28.0,1991.0,16.0,1231,1102,128,20,1,10,29,108,0,0,0,0,1057,1,15,DF,25-29,Defender,Brazil,South America
618,Danilo,BRA,Juventus,Serie A,2019,28.0,1991.0,16.0,1231,1102,128,20,1,10,29,108,0,0,0,0,1057,1,15,DF,25-29,Defender,Brazil,South America
618,Danilo,BRA,Juventus,Serie A,2019,28.0,1991.0,16.0,1231,1102,128,20,1,10,29,108,0,0,0,0,1057,1,15,DF,25-29,Defender,Brazil,South America
618,Danilo,BRA,Juventus,Serie A,2019,28.0,1991.0,16.0,1231,1102,128,20,1,10,29,108,0,0,0,0,1057,1,15,DF,25-29,Defender,Brazil,South America
618,Danilo,BRA,Juventus,Serie A,2019,28.0,1991.0,16.0,1231,1102,128,20,1,10,29,108,0,0,0,0,1057,1,15,DF,25-29,Defender,Brazil,South America
618,Danilo,BRA,Juventus,Serie A,2019,28.0,1991.0,16.0,1231,1102,128,20,1,10,29,108,0,0,0,0,1057,1,15,DF,25-29,Defender,Brazil,South America
618,Danilo,BRA,Juventus,Serie A,2019,28.0,1991.0,16.0,1231,1102,128,20,1,10,29,108,0,0,0,0,1057,1,15,DF,25-29,Defender,Brazil,South America
618,Danilo,BRA,Juventus,Serie A,2019,28.0,1991.0,16.0,1231,1102,128,20,1,10,29,108,0,0,0,0,1057,1,15,DF,25-29,Defender,Brazil,South America
619,Arnaut Danjuma,NED,Bournemouth,Premier League,2019,22.0,1997.0,7.0,233,225,7,3,0,1,9,2,2,2,0,0,183,1,9,MF,20-24,Midfielder,Netherlands,Europe
620,Scott Dann,ENG,Crystal Palace,Premier League,2019,32.0,1987.0,14.1,586,556,29,28,0,2,2,1,0,0,0,0,475,1,8,DF,30-34,Defender,England,Europe
621,Kevin Danso,AUT,Southampton,Premier League,2019,20.0,1998.0,3.1,167,134,33,1,0,1,4,32,0,0,0,0,116,0,1,DF,20-24,Defender,Austria,Europe
622,Dante,BRA,Nice,Ligue 1,2019,35.0,1983.0,21.0,1639,1589,48,42,5,20,1,6,0,0,0,0,1492,2,9,DF,35-39,Defender,Brazil,South America
623,Andrea Danzi,ITA,Hellas Verona,Serie A,2019,20.0,1999.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,MF,20-24,Midfielder,Italy,Europe
626,Matteo Darmian,ITA,Parma,Serie A,2019,29.0,1989.0,29.8,1523,1216,302,26,0,9,45,276,0,0,0,0,1199,5,27,DF,25-29,Defender,Italy,Europe
627,Alphonso Davies,CAN,Bayern Munich,Bundesliga,2019,18.0,2000.0,24.8,1818,1543,271,32,0,5,64,239,0,0,0,0,1556,4,30,DF,Under 20,Defender,Canada,North America
628,Ben Davies,WAL,Tottenham,Premier League,2019,26.0,1993.0,15.9,978,813,163,12,1,0,29,151,0,0,0,0,733,2,23,DF,25-29,Defender,Wales,Europe
628,Ben Davies,WAL,Tottenham,Premier League,2019,26.0,1993.0,15.9,978,813,163,12,1,0,29,151,0,0,0,0,733,2,23,DF,25-29,Defender,Wales,Europe
628,Ben Davies,WAL,Tottenham,Premier League,2019,26.0,1993.0,15.9,978,813,163,12,1,0,29,151,0,0,0,0,733,2,23,DF,25-29,Defender,Wales,Europe
628,Ben Davies,WAL,Tottenham,Premier League,2019,26.0,1993.0,15.9,978,813,163,12,1,0,29,151,0,0,0,0,733,2,23,DF,25-29,Defender,Wales,Europe
629,Tom Davies,ENG,Everton,Premier League,2019,21.0,1998.0,22.5,893,867,23,13,2,3,8,3,0,0,0,0,687,3,19,MF,20-24,Midfielder,England,Europe
629,Tom Davies,ENG,Everton,Premier League,2019,21.0,1998.0,22.5,893,867,23,13,2,3,8,3,0,0,0,0,687,3,19,MF,20-24,Midfielder,England,Europe
629,Tom Davies,ENG,Everton,Premier League,2019,21.0,1998.0,22.5,893,867,23,13,2,3,8,3,0,0,0,0,687,3,19,MF,20-24,Midfielder,England,Europe
629,Tom Davies,ENG,Everton,Premier League,2019,21.0,1998.0,22.5,893,867,23,13,2,3,8,3,0,0,0,0,687,3,19,MF,20-24,Midfielder,England,Europe
630,Keinan Davis,ENG,Aston Villa,Premier League,2019,21.0,1998.0,6.1,139,136,3,0,0,0,2,1,0,0,0,0,101,0,3,FW,20-24,Forward,England,Europe
632,Craig Dawson,ENG,Watford,Premier League,2019,29.0,1990.0,26.2,962,928,29,13,1,22,4,16,0,0,0,0,741,5,10,DF,25-29,Defender,England,Europe
633,Kevin De Bruyne,BEL,Manchester City,Premier League,2019,28.0,1991.0,31.0,2261,1982,265,51,32,48,304,36,175,70,44,7,1665,14,48,MF,25-29,Midfielder,Belgium,Europe
634,Sebastien De Maio,FRA,Udinese,Serie A,2019,32.0,1987.0,16.7,663,627,34,25,0,6,6,9,0,0,0,0,520,2,8,DF,30-34,Defender,France,Europe
635,Rodrigo De Paul,ARG,Udinese,Serie A,2019,25.0,1994.0,31.4,1837,1596,231,90,7,41,240,23,117,39,39,0,1357,10,44,MF,25-29,Midfielder,Argentina,South America
636,Mattia De Sciglio,ITA,Juventus,Serie A,2019,26.0,1992.0,5.2,342,289,53,9,0,3,8,44,0,0,0,0,282,0,7,DF,25-29,Defender,Italy,Europe
637,Lorenzo De Silvestri,ITA,Torino,Serie A,2019,31.0,1988.0,24.9,965,781,180,6,0,2,81,174,0,0,0,0,698,4,32,DF,30-34,Defender,Italy,Europe
638,Lucas Deaux,FRA,Nîmes,Ligue 1,2019,30.0,1988.0,14.8,702,681,21,15,1,15,15,4,1,0,1,0,531,0,8,MF,30-34,Midfielder,France,Europe
639,Mathieu Debuchy,FRA,Saint-Étienne,Ligue 1,2019,34.0,1985.0,19.7,1100,866,231,23,0,11,63,208,0,0,0,0,791,3,25,DF,30-34,Defender,France,Europe
640,Troy Deeney,ENG,Watford,Premier League,2019,31.0,1988.0,24.7,727,714,6,0,1,3,10,1,1,0,0,0,386,7,19,FW,30-34,Forward,England,Europe
642,Alessandro Deiola,ITA,Cagliari,Serie A,2019,23.0,1995.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,MF,20-24,Midfielder,Italy,Europe
643,Alessandro Deiola,ITA,Lecce,Serie A,2019,23.0,1995.0,8.0,295,288,6,5,1,7,10,0,0,0,0,0,222,1,9,MF,20-24,Midfielder,Italy,Europe
644,Romain Del Castillo,FRA,Rennes,Ligue 1,2019,23.0,1996.0,13.8,485,466,15,1,5,4,24,14,0,0,0,0,372,4,10,"FW,MF",20-24,Forward,France,Europe
645,Thomas Delaine,FRA,Metz,Ligue 1,2019,27.0,1992.0,13.9,687,531,152,14,0,3,67,138,0,0,0,0,473,4,26,DF,25-29,Defender,France,Europe
647,Paul Delecroix,FRA,Metz,Ligue 1,2019,30.0,1988.0,1.5,44,30,14,3,0,0,0,0,0,0,0,0,27,0,0,GK,30-34,Goalkeeper,France,Europe
648,Cristian Dell'Orco,ITA,Lecce,Serie A,2019,25.0,1994.0,11.2,559,493,66,13,0,10,27,53,0,0,0,0,442,0,18,DF,25-29,Defender,Italy,Europe
649,Andy Delort,ALG,Montpellier,Ligue 1,2019,27.0,1991.0,25.3,789,717,70,5,5,12,93,7,8,4,3,1,451,2,21,FW,25-29,Forward,Algeria,Africa
650,Fabian Delph,ENG,Everton,Premier League,2019,29.0,1989.0,13.2,793,772,18,15,1,9,8,1,0,0,0,0,682,3,5,MF,25-29,Midfielder,England,Europe
651,Moussa Dembélé,FRA,Lyon,Ligue 1,2019,23.0,1996.0,24.3,438,417,20,1,4,1,5,1,0,0,0,0,304,1,15,FW,20-24,Forward,France,Europe
652,Ousmane Dembélé,FRA,Barcelona,La Liga,2019,22.0,1997.0,4.0,260,235,25,2,1,4,20,4,19,9,4,0,192,0,11,FW,20-24,Forward,France,Europe
653,Merih Demiral,TUR,Juventus,Serie A,2019,21.0,1998.0,4.6,317,313,4,3,0,0,1,1,0,0,0,0,292,0,1,DF,20-24,Defender,Turkey,Asia
655,Diego Demme,GER,Napoli,Serie A,2019,27.0,1991.0,10.0,781,767,12,11,0,5,3,1,0,0,0,0,717,2,7,MF,25-29,Midfielder,Germany,Europe
656,Diego Demme,GER,RB Leipzig,Bundesliga,2019,27.0,1991.0,13.5,1104,1062,35,33,2,4,8,2,0,0,0,0,944,7,18,MF,25-29,Midfielder,Germany,Europe
657,Jason Denayer,BEL,Lyon,Ligue 1,2019,24.0,1995.0,23.7,1605,1560,45,43,1,8,1,2,0,0,0,0,1509,0,1,DF,20-24,Defender,Belgium,Europe
661,Fabio Depaoli,ITA,Sampdoria,Serie A,2019,22.0,1997.0,20.6,688,616,66,8,2,3,82,58,0,0,0,0,459,6,36,"MF,DF",20-24,Midfielder,Italy,Europe
662,Kastriot Dermaku,ALB,Parma,Serie A,2019,27.0,1992.0,11.4,389,364,24,15,0,5,1,3,0,0,0,0,325,1,3,DF,25-29,Defender,Albania,Europe
663,Daniele Dessena,ITA,Brescia,Serie A,2019,32.0,1987.0,20.8,690,668,20,7,2,10,19,9,0,0,0,0,545,2,12,MF,30-34,Midfielder,Italy,Europe
664,Mattia Destro,ITA,Bologna,Serie A,2019,28.0,1991.0,2.1,22,21,1,0,1,0,0,0,0,0,0,0,15,0,1,FW,25-29,Forward,Italy,Europe
665,Mattia Destro,ITA,Genoa,Serie A,2019,28.0,1991.0,1.7,24,19,5,0,0,0,1,0,0,0,0,0,18,0,2,"FW,MF",25-29,Forward,Italy,Europe
667,Deyverson,BRA,Getafe,La Liga,2019,28.0,1991.0,2.3,66,64,1,0,0,1,3,1,0,0,0,0,31,1,5,FW,25-29,Forward,Brazil,South America
668,Samuel Di Carmine,ITA,Hellas Verona,Serie A,2019,30.0,1988.0,14.4,247,221,25,1,0,0,10,0,0,0,0,0,166,1,13,"FW,MF",30-34,Forward,Italy,Europe
669,Federico Di Francesco,ITA,SPAL,Serie A,2019,25.0,1994.0,12.0,343,303,39,16,1,3,34,3,13,8,1,0,255,1,12,FW,25-29,Forward,Italy,Europe
670,Giovanni Di Lorenzo,ITA,Napoli,Serie A,2019,25.0,1993.0,33.0,2280,1987,291,70,0,14,60,221,0,0,0,0,1979,2,41,DF,25-29,Defender,Italy,Europe
672,Boulaye Dia,SEN,Reims,Ligue 1,2019,22.0,1996.0,20.1,325,290,32,2,1,0,4,1,0,0,0,0,236,3,7,FW,20-24,Forward,Senegal,Africa
674,Moussa Diaby,FRA,Leverkusen,Bundesliga,2019,20.0,1999.0,19.7,697,676,21,1,1,3,87,18,1,1,0,0,506,0,21,"FW,MF",20-24,Forward,France,Europe
675,Mouctar Diakhaby,GUI,Valencia,La Liga,2019,22.0,1996.0,16.0,813,782,26,24,0,6,1,2,0,0,0,0,718,5,2,DF,20-24,Defender,Guinea,Africa
676,Bafodé Diakité,FRA,Toulouse,Ligue 1,2019,18.0,2001.0,15.2,663,621,42,22,0,3,6,20,0,0,0,0,568,0,1,DF,Under 20,Defender,France,Europe
677,Abdou Diallo,SEN,Paris S-G,Ligue 1,2019,23.0,1996.0,13.3,1067,1013,53,24,1,6,4,29,0,0,0,0,985,1,6,DF,20-24,Defender,Senegal,Africa
679,Habib Diallo,SEN,Metz,Ligue 1,2019,24.0,1995.0,24.4,452,423,27,0,0,2,4,1,0,0,0,0,299,2,12,FW,20-24,Forward,Senegal,Africa
680,Ibrahima Diallo,FRA,Brest,Ligue 1,2019,20.0,1999.0,17.3,858,837,20,20,4,9,6,0,0,0,0,0,732,1,16,MF,20-24,Midfielder,France,Europe
680,Ibrahima Diallo,FRA,Brest,Ligue 1,2019,20.0,1999.0,17.3,858,837,20,20,4,9,6,0,0,0,0,0,732,1,16,MF,20-24,Midfielder,France,Europe
680,Ibrahima Diallo,FRA,Brest,Ligue 1,2019,20.0,1999.0,17.3,858,837,20,20,4,9,6,0,0,0,0,0,732,1,16,MF,20-24,Midfielder,France,Europe
680,Ibrahima Diallo,FRA,Brest,Ligue 1,2019,20.0,1999.0,17.3,858,837,20,20,4,9,6,0,0,0,0,0,732,1,16,MF,20-24,Midfielder,France,Europe
680,Ibrahima Diallo,FRA,Brest,Ligue 1,2019,20.0,1999.0,17.3,858,837,20,20,4,9,6,0,0,0,0,0,732,1,16,MF,20-24,Midfielder,France,Europe
680,Ibrahima Diallo,FRA,Brest,Ligue 1,2019,20.0,1999.0,17.3,858,837,20,20,4,9,6,0,0,0,0,0,732,1,16,MF,20-24,Midfielder,France,Europe
680,Ibrahima Diallo,FRA,Brest,Ligue 1,2019,20.0,1999.0,17.3,858,837,20,20,4,9,6,0,0,0,0,0,732,1,16,MF,20-24,Midfielder,France,Europe
680,Ibrahima Diallo,FRA,Brest,Ligue 1,2019,20.0,1999.0,17.3,858,837,20,20,4,9,6,0,0,0,0,0,732,1,16,MF,20-24,Midfielder,France,Europe
680,Ibrahima Diallo,FRA,Brest,Ligue 1,2019,20.0,1999.0,17.3,858,837,20,20,4,9,6,0,0,0,0,0,732,1,16,MF,20-24,Midfielder,France,Europe
681,Moussa Diarra,MLI,Toulouse,Ligue 1,2019,18.0,2000.0,1.0,55,50,4,4,0,0,0,0,0,0,0,0,41,1,0,DF,Under 20,Defender,Mali,Africa
682,Lucas Dias,FRA,Nîmes,Ligue 1,2019,20.0,1999.0,3.5,99,46,52,14,0,0,0,0,0,0,0,0,50,1,0,GK,20-24,Goalkeeper,France,Europe
684,Brahim Díaz,MAR,Real Madrid,La Liga,2019,19.0,1999.0,0.7,41,39,1,1,0,0,0,0,0,0,0,0,33,1,3,FW,Under 20,Forward,Morocco,Africa
686,Bakaye Dibassy,MLI,Amiens,Ligue 1,2019,29.0,1989.0,20.8,906,852,53,10,0,0,10,43,0,0,0,0,715,1,12,DF,25-29,Defender,Mali,Africa
687,Eric Dier,ENG,Tottenham,Premier League,2019,25.0,1994.0,14.9,922,897,21,19,3,9,3,1,0,0,0,0,738,4,7,"DF,MF",25-29,Defender,England,Europe
688,Lucas Digne,FRA,Everton,Premier League,2019,26.0,1993.0,33.7,2020,1472,541,64,2,13,270,369,108,56,44,0,1371,7,63,DF,25-29,Defender,France,Europe
691,Federico Dimarco,ITA,Hellas Verona,Serie A,2019,21.0,1997.0,5.8,425,361,64,13,0,3,57,27,24,9,15,0,308,0,8,DF,20-24,Defender,Italy,Europe
692,Federico Dimarco,ITA,Inter,Serie A,2019,21.0,1997.0,0.3,13,11,2,0,0,0,0,2,0,0,0,0,11,0,0,DF,20-24,Defender,Italy,Europe
693,Tristan Dingomé,CMR,Reims,Ligue 1,2019,28.0,1991.0,9.9,374,355,16,3,5,2,17,5,8,1,3,0,267,3,12,MF,25-29,Midfielder,Cameroon,Africa
695,Issa Diop,FRA,West Ham,Premier League,2019,22.0,1997.0,30.7,979,938,39,37,0,5,1,2,0,0,0,0,762,2,11,DF,20-24,Defender,France,Europe
697,Assane Dioussé,SEN,Saint-Étienne,Ligue 1,2019,21.0,1997.0,1.3,50,49,1,1,0,0,0,0,0,0,0,0,38,0,1,MF,20-24,Midfielder,Senegal,Africa
698,Axel Disasi,FRA,Reims,Ligue 1,2019,21.0,1998.0,27.0,1507,1468,36,29,2,17,4,7,0,0,0,0,1270,3,8,DF,20-24,Defender,France,Europe
702,Koffi Djidji,CIV,Torino,Serie A,2019,26.0,1992.0,9.5,394,377,15,11,0,3,0,4,0,0,0,0,338,2,0,DF,25-29,Defender,Ivory Coast,Africa
704,Berat Djimsiti,ALB,Atalanta,Serie A,2019,26.0,1993.0,30.9,1876,1763,111,57,0,20,3,54,0,0,0,0,1615,2,17,DF,25-29,Defender,Albania,Europe
707,Matt Doherty,IRL,Wolves,Premier League,2019,27.0,1992.0,31.5,1854,1518,333,3,1,11,45,330,0,0,0,0,1392,3,41,"MF,DF",25-29,Midfielder,Republic of Ireland,Europe
709,Keagan Dolly,RSA,Montpellier,Ligue 1,2019,26.0,1993.0,1.6,75,69,6,2,1,0,4,1,3,3,0,0,60,0,3,MF,25-29,Midfielder,South Africa,Africa
711,Nicolás Domínguez,ARG,Bologna,Serie A,2019,21.0,1998.0,7.8,407,376,29,18,2,3,5,10,0,0,0,0,337,2,8,MF,20-24,Midfielder,Argentina,South America
712,Giulio Donati,ITA,Lecce,Serie A,2019,29.0,1990.0,19.6,993,840,151,27,0,8,57,124,0,0,0,0,841,2,11,DF,25-29,Defender,Italy,Europe
714,Anastasios Donis,GRE,Reims,Ligue 1,2019,22.0,1996.0,6.8,122,113,9,0,0,0,23,3,1,0,1,0,66,0,8,FW,20-24,Forward,Greece,Europe
715,Alfredo Donnarumma,ITA,Brescia,Serie A,2019,28.0,1990.0,18.7,437,399,35,0,1,4,7,3,0,0,0,0,296,3,20,FW,25-29,Forward,Italy,Europe
716,Gianluigi Donnarumma,ITA,Milan,Serie A,2019,20.0,1999.0,35.6,1139,783,354,95,0,2,0,0,0,0,0,0,880,2,0,GK,20-24,Goalkeeper,Italy,Europe
719,Abdoulaye Doucouré,MLI,Watford,Premier League,2019,26.0,1993.0,35.1,1712,1693,14,8,0,4,29,0,2,0,0,0,1320,5,47,MF,25-29,Midfielder,Mali,Africa
720,Mamadou Doucouré,FRA,Gladbach,Bundesliga,2019,21.0,1998.0,0.0,9,9,0,0,0,0,0,0,0,0,0,0,9,0,0,MF,20-24,Midfielder,France,Europe
721,Moussa Doumbia,MLI,Reims,Ligue 1,2019,24.0,1994.0,19.1,689,646,41,14,6,6,46,8,18,4,7,1,532,2,16,"FW,MF",20-24,Forward,Mali,Africa
729,Dominick Drexler,GER,Köln,Bundesliga,2019,29.0,1990.0,17.6,667,618,47,13,3,1,48,30,4,1,3,0,483,2,18,"MF,FW",25-29,Midfielder,Germany,Europe
730,Danny Drinkwater,ENG,Aston Villa,Premier League,2019,29.0,1990.0,2.9,169,165,4,3,0,2,1,0,0,0,0,0,138,0,6,MF,25-29,Midfielder,England,Europe
731,Danny Drinkwater,ENG,Burnley,Premier League,2019,29.0,1990.0,0.6,24,20,4,1,0,0,0,0,0,0,0,0,14,0,0,MF,25-29,Midfielder,England,Europe
733,Domingos Duarte,POR,Granada,La Liga,2019,24.0,1995.0,34.3,1278,1171,100,83,1,17,1,17,0,0,0,0,988,7,3,DF,20-24,Defender,Portugal,Europe
735,Óscar Duarte,CRC,Levante,La Liga,2019,30.0,1989.0,5.4,239,225,12,12,0,3,0,0,0,0,0,0,196,2,1,DF,30-34,Defender,Costa Rica,North America
737,Edgaras Dubickas,LTU,Lecce,Serie A,2019,21.0,1998.0,0.0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,DF,20-24,Defender,Lithuania,Europe
739,Martin Dúbravka,SVK,Newcastle Utd,Premier League,2019,30.0,1989.0,38.0,1097,596,493,152,0,4,0,1,0,0,0,0,609,8,2,GK,30-34,Goalkeeper,Slovakia,Europe
740,Ondrej Duda,SVK,Norwich City,Premier League,2019,24.0,1994.0,8.0,382,344,38,10,3,2,43,1,27,10,16,0,295,0,9,MF,20-24,Midfielder,Slovakia,Europe
741,Ondrej Duda,SVK,Hertha BSC,Bundesliga,2019,24.0,1994.0,5.0,187,166,18,13,1,1,7,2,3,0,2,0,144,3,6,MF,20-24,Midfielder,Slovakia,Europe
742,Shane Duffy,IRL,Brighton,Premier League,2019,27.0,1992.0,13.8,647,615,31,27,0,11,1,4,0,0,0,0,521,1,4,DF,25-29,Defender,Republic of Ireland,Europe
744,Paul Dummett,WAL,Newcastle Utd,Premier League,2019,27.0,1991.0,13.6,506,454,50,10,0,2,15,40,0,0,0,0,359,2,15,DF,25-29,Defender,Wales,Europe
745,Alfred Duncan,GHA,Fiorentina,Serie A,2019,26.0,1993.0,9.9,407,394,10,5,2,2,15,5,0,0,0,0,341,3,9,MF,25-29,Midfielder,Ghana,Africa
746,Alfred Duncan,GHA,Sassuolo,Serie A,2019,26.0,1993.0,9.4,474,460,12,5,2,2,8,4,3,3,0,0,375,2,10,MF,25-29,Midfielder,Ghana,Africa
747,Lewis Dunk,ENG,Brighton,Premier League,2019,27.0,1991.0,35.9,2298,2172,117,80,1,45,1,37,0,0,0,0,1991,9,4,DF,25-29,Defender,England,Europe
748,Erik Durm,GER,Eint Frankfurt,Bundesliga,2019,27.0,1992.0,5.7,238,193,44,0,0,1,19,43,1,0,1,0,145,1,12,"DF,FW",25-29,Defender,Germany,Europe
752,Paulo Dybala,ARG,Juventus,Serie A,2019,25.0,1993.0,23.9,1524,1357,157,27,11,26,109,14,74,28,34,0,1264,10,24,"FW,MF",25-29,Forward,Argentina,South America
755,Bruno Ecuele Manga,GAB,Dijon,Ligue 1,2019,31.0,1988.0,28.0,1366,1307,57,52,0,6,2,5,0,0,0,0,1151,2,7,DF,30-34,Defender,Gabon,Africa
756,Simone Edera,ITA,Torino,Serie A,2019,22.0,1997.0,4.4,131,115,16,5,0,3,12,5,6,3,3,0,94,0,8,"MF,FW",20-24,Midfielder,Italy,Europe
757,Ederson,BRA,Manchester City,Premier League,2019,25.0,1993.0,34.1,1082,892,186,46,2,2,0,1,0,0,0,0,949,4,0,GK,25-29,Goalkeeper,Brazil,South America
757,Ederson,BRA,Manchester City,Premier League,2019,25.0,1993.0,34.1,1082,892,186,46,2,2,0,1,0,0,0,0,949,4,0,GK,25-29,Goalkeeper,Brazil,South America
757,Ederson,BRA,Manchester City,Premier League,2019,25.0,1993.0,34.1,1082,892,186,46,2,2,0,1,0,0,0,0,949,4,0,GK,25-29,Goalkeeper,Brazil,South America
757,Ederson,BRA,Manchester City,Premier League,2019,25.0,1993.0,34.1,1082,892,186,46,2,2,0,1,0,0,0,0,949,4,0,GK,25-29,Goalkeeper,Brazil,South America
