rk,player,nation,squad,comp,season,age,born,ninety_mins_played,passes_attempted,live_ball_passes,dead_ball_passes,free_kick_passes,through_balls,switches,crosses,throw_ins,corner_kicks,inswinging_corners,outswinging_corners,straight_corners,passes_completed,passes_offside,passes_blocked,position,age_range,general_position,country,continent
2900,Robin Zentner,GER,Mainz 05,Bundesliga,2021,26.0,1994.0,32.0,1008,705,297,61,0,3,0,0,0,0,0,0,698,6,0,GK,25-29,Goalkeeper,Germany,Europe
2902,Mehdi Zerkane,ALG,Bordeaux,Ligue 1,2021,22.0,1999.0,0.9,45,39,6,1,0,0,0,5,0,0,0,0,41,0,1,"MF,DF",20-24,Midfielder,Algeria,Africa
2904,Luca Zidane,FRA,Rayo Vallecano,La Liga,2021,23.0,1998.0,7.2,231,163,68,15,0,1,0,0,0,0,0,0,172,0,0,GK,20-24,Goalkeeper,France,Europe
2907,Christoph Zimmermann,GER,Norwich City,Premier League,2021,28.0,1993.0,1.7,63,60,3,3,0,0,0,0,0,0,0,0,46,0,1,DF,25-29,Defender,Germany,Europe
2908,Oleksandr Zinchenko,UKR,Manchester City,Premier League,2021,24.0,1996.0,11.6,1073,987,84,10,2,5,31,69,5,0,2,0,953,2,15,DF,20-24,Defender,Ukraine,Europe
2911,Simon Zoller,GER,Bochum,Bundesliga,2021,30.0,1991.0,6.6,157,141,14,0,0,0,10,8,0,0,0,0,116,2,1,FW,30-34,Forward,Germany,Europe
2912,Nadir Zortea,ITA,Salernitana,Serie A,2021,22.0,1999.0,15.7,484,388,95,2,0,0,85,83,10,2,8,0,310,1,32,"DF,MF",20-24,Defender,Italy,Europe
2913,Tanguy Zoukrou,FRA,Troyes,Ligue 1,2021,18.0,2003.0,0.9,26,25,1,1,0,0,0,0,0,0,0,0,24,0,0,DF,Under 20,Defender,France,Europe
2914,Kurt Zouma,FRA,West Ham,Premier League,2021,26.0,1994.0,23.1,999,965,34,28,0,7,1,2,0,0,0,0,875,0,4,DF,25-29,Defender,France,Europe
2915,Petar Zovko,BIH,Spezia,Serie A,2021,19.0,2002.0,0.3,10,7,3,1,0,0,0,0,0,0,0,0,7,0,0,GK,Under 20,Goalkeeper,Bosnia and Herzegovina,Europe
2053,Patric,ESP,Lazio,Serie A,2021,28.0,1993.0,18.3,1452,1402,50,37,1,14,1,11,0,0,0,0,1353,0,1,DF,25-29,Defender,Spain,Europe
2058,Strahinja Pavlović,SRB,Monaco,Ligue 1,2021,20.0,2001.0,5.0,399,388,9,8,0,3,5,1,0,0,0,0,330,2,4,DF,20-24,Defender,Serbia,Europe
2062,Alfonso Pedraza,ESP,Villarreal,La Liga,2021,25.0,1996.0,18.9,1012,824,183,9,0,5,101,174,0,0,0,0,723,5,51,DF,25-29,Defender,Spain,Europe
2063,Pedri,ESP,Barcelona,La Liga,2021,18.0,2002.0,9.8,606,577,25,3,5,6,18,5,17,4,9,0,513,4,18,MF,Under 20,Midfielder,Spain,Europe
2064,Pedro,ESP,Lazio,Serie A,2021,34.0,1987.0,22.6,936,907,27,3,3,9,31,13,1,0,0,0,785,2,14,FW,30-34,Forward,Spain,Europe
2064,Pedro,ESP,Lazio,Serie A,2021,34.0,1987.0,22.6,936,907,27,3,3,9,31,13,1,0,0,0,785,2,14,FW,30-34,Forward,Spain,Europe
2064,Pedro,ESP,Lazio,Serie A,2021,34.0,1987.0,22.6,936,907,27,3,3,9,31,13,1,0,0,0,785,2,14,FW,30-34,Forward,Spain,Europe
2064,Pedro,ESP,Lazio,Serie A,2021,34.0,1987.0,22.6,936,907,27,3,3,9,31,13,1,0,0,0,785,2,14,FW,30-34,Forward,Spain,Europe
2064,Pedro,ESP,Lazio,Serie A,2021,34.0,1987.0,22.6,936,907,27,3,3,9,31,13,1,0,0,0,785,2,14,FW,30-34,Forward,Spain,Europe
2064,Pedro,ESP,Lazio,Serie A,2021,34.0,1987.0,22.6,936,907,27,3,3,9,31,13,1,0,0,0,785,2,14,FW,30-34,Forward,Spain,Europe
2064,Pedro,ESP,Lazio,Serie A,2021,34.0,1987.0,22.6,936,907,27,3,3,9,31,13,1,0,0,0,785,2,14,FW,30-34,Forward,Spain,Europe
2064,Pedro,ESP,Lazio,Serie A,2021,34.0,1987.0,22.6,936,907,27,3,3,9,31,13,1,0,0,0,785,2,14,FW,30-34,Forward,Spain,Europe
2064,Pedro,ESP,Lazio,Serie A,2021,34.0,1987.0,22.6,936,907,27,3,3,9,31,13,1,0,0,0,785,2,14,FW,30-34,Forward,Spain,Europe
2064,Pedro,ESP,Lazio,Serie A,2021,34.0,1987.0,22.6,936,907,27,3,3,9,31,13,1,0,0,0,785,2,14,FW,30-34,Forward,Spain,Europe
2064,Pedro,ESP,Lazio,Serie A,2021,34.0,1987.0,22.6,936,907,27,3,3,9,31,13,1,0,0,0,785,2,14,FW,30-34,Forward,Spain,Europe
2064,Pedro,ESP,Lazio,Serie A,2021,34.0,1987.0,22.6,936,907,27,3,3,9,31,13,1,0,0,0,785,2,14,FW,30-34,Forward,Spain,Europe
2064,Pedro,ESP,Lazio,Serie A,2021,34.0,1987.0,22.6,936,907,27,3,3,9,31,13,1,0,0,0,785,2,14,FW,30-34,Forward,Spain,Europe
2064,Pedro,ESP,Lazio,Serie A,2021,34.0,1987.0,22.6,936,907,27,3,3,9,31,13,1,0,0,0,785,2,14,FW,30-34,Forward,Spain,Europe
2064,Pedro,ESP,Lazio,Serie A,2021,34.0,1987.0,22.6,936,907,27,3,3,9,31,13,1,0,0,0,785,2,14,FW,30-34,Forward,Spain,Europe
2064,Pedro,ESP,Lazio,Serie A,2021,34.0,1987.0,22.6,936,907,27,3,3,9,31,13,1,0,0,0,785,2,14,FW,30-34,Forward,Spain,Europe
2066,Adrià Pedrosa,ESP,Espanyol,La Liga,2021,23.0,1998.0,30.2,1265,1023,241,24,0,7,115,216,1,0,1,0,935,1,37,DF,20-24,Defender,Spain,Europe
2076,Rubén Peña,ESP,Villarreal,La Liga,2021,30.0,1991.0,1.5,52,49,3,0,0,0,6,2,1,1,0,0,38,0,3,"MF,FW",30-34,Midfielder,Spain,Europe
2080,Alberto Perea,ESP,Cádiz,La Liga,2021,30.0,1990.0,8.6,372,344,28,6,2,2,48,13,9,9,0,0,272,0,8,MF,30-34,Midfielder,Spain,Europe
