rk,player,nation,squad,comp,season,age,born,ninety_mins_played,goals,shots,shots_on_target,shots_on_target_pct,shots_per_90,shots_on_target_per_90,goals_per_shot,goals_per_shot_on_target,avg_shot_distance,free_kick_shots,penalty_kicks,penalty_kicks_attempted,xg,non_penalty_xg,non_penalty_xg_per_shot,goals_minus_xg,non_penalty_goals_minus_xg,position,age_range,general_position,country,continent
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2055,Paulinho,BRA,Leverkusen,Bundesliga,2021,21.0,2000.0,13.5,4,27,14,51.9,2.0,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,"FW,MF",20-24,Forward,Brazil,South America
2057,Benjamin Pavard,FRA,Bayern Munich,Bundesliga,2021,25.0,1996.0,23.1,0,18,3,16.7,0.78,0.13,0.0,0.0,21.5,0,0,0,0.7,0.7,0.04,-0.7,-0.7,DF,25-29,Defender,France,Europe
2059,Leonardo Pavoletti,ITA,Cagliari,Serie A,2021,32.0,1988.0,16.9,5,36,11,30.6,2.13,0.65,0.14,0.45,10.6,0,0,0,6.6,6.6,0.18,-1.6,-1.6,FW,30-34,Forward,Italy,Europe
2060,Dimitri Payet,FRA,Marseille,Ligue 1,2021,34.0,1987.0,28.8,12,61,18,29.5,2.12,0.62,0.08,0.28,24.4,24,7,7,10.6,5.1,0.08,1.4,-0.1,"FW,MF",30-34,Forward,France,Europe
2061,Mads Pedersen,DEN,Augsburg,Bundesliga,2021,24.0,1996.0,15.5,2,19,6,31.6,1.23,0.39,0.11,0.33,20.3,1,0,0,1.1,1.1,0.06,0.9,0.9,"MF,DF",20-24,Midfielder,Denmark,Europe
2061,Mads Pedersen,DEN,Augsburg,Bundesliga,2021,24.0,1996.0,15.5,2,19,6,31.6,1.23,0.39,0.11,0.33,20.3,1,0,0,1.1,1.1,0.06,0.9,0.9,"MF,DF",20-24,Midfielder,Denmark,Europe
2061,Mads Pedersen,DEN,Augsburg,Bundesliga,2021,24.0,1996.0,15.5,2,19,6,31.6,1.23,0.39,0.11,0.33,20.3,1,0,0,1.1,1.1,0.06,0.9,0.9,"MF,DF",20-24,Midfielder,Denmark,Europe
2061,Mads Pedersen,DEN,Augsburg,Bundesliga,2021,24.0,1996.0,15.5,2,19,6,31.6,1.23,0.39,0.11,0.33,20.3,1,0,0,1.1,1.1,0.06,0.9,0.9,"MF,DF",20-24,Midfielder,Denmark,Europe
2065,João Pedro,ITA,Cagliari,Serie A,2021,29.0,1992.0,36.9,13,87,34,39.1,2.36,0.92,0.11,0.29,15.4,2,3,4,12.3,9.3,0.11,0.7,0.7,FW,25-29,Forward,Italy,Europe
2065,João Pedro,ITA,Cagliari,Serie A,2021,29.0,1992.0,36.9,13,87,34,39.1,2.36,0.92,0.11,0.29,15.4,2,3,4,12.3,9.3,0.11,0.7,0.7,FW,25-29,Forward,Italy,Europe
2065,João Pedro,ITA,Cagliari,Serie A,2021,29.0,1992.0,36.9,13,87,34,39.1,2.36,0.92,0.11,0.29,15.4,2,3,4,12.3,9.3,0.11,0.7,0.7,FW,25-29,Forward,Italy,Europe
2065,João Pedro,ITA,Cagliari,Serie A,2021,29.0,1992.0,36.9,13,87,34,39.1,2.36,0.92,0.11,0.29,15.4,2,3,4,12.3,9.3,0.11,0.7,0.7,FW,25-29,Forward,Italy,Europe
2065,João Pedro,ITA,Cagliari,Serie A,2021,29.0,1992.0,36.9,13,87,34,39.1,2.36,0.92,0.11,0.29,15.4,2,3,4,12.3,9.3,0.11,0.7,0.7,FW,25-29,Forward,Italy,Europe
2065,João Pedro,ITA,Cagliari,Serie A,2021,29.0,1992.0,36.9,13,87,34,39.1,2.36,0.92,0.11,0.29,15.4,2,3,4,12.3,9.3,0.11,0.7,0.7,FW,25-29,Forward,Italy,Europe
2065,João Pedro,ITA,Cagliari,Serie A,2021,29.0,1992.0,36.9,13,87,34,39.1,2.36,0.92,0.11,0.29,15.4,2,3,4,12.3,9.3,0.11,0.7,0.7,FW,25-29,Forward,Italy,Europe
