rk,player,nation,squad,comp,season,age,born,ninety_mins_played,shot_creating_actions,sca_per_90,pass_live_sca,pass_dead_sca,take_on_sca,shot_sca,foul_drawn_sca,defensive_action_sca,goal_creating_actions,gca_per_90,pass_live_gca,pass_dead_gca,take_on_gca,shot_gca,foul_drawn_gca,defensive_action_gca,position,age_range,general_position,country,continent
165,Eric Bailly,CIV,Manchester Utd,Premier League,2019,25.0,1994.0,1.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,DF,25-29,Defender,Ivory Coast,Africa
167,Leighton Baines,ENG,Everton,Premier League,2019,34.0,1984.0,4.5,15,3.34,9,5,0,0,1,0,0,0.0,0,0,0,0,0,0,DF,30-34,Defender,England,Europe
168,Stefan Bajic,FRA,Saint-Étienne,Ligue 1,2019,17.0,2001.0,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,GK,Under 20,Goalkeeper,France,Europe
170,Lewis Baker,ENG,Düsseldorf,Bundesliga,2019,24.0,1995.0,6.1,20,3.3,7,3,4,3,3,0,2,0.33,1,0,0,1,0,0,MF,20-24,Midfielder,England,Europe
171,Mitchel Bakker,NED,Paris S-G,Ligue 1,2019,19.0,2000.0,1.0,1,1.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,DF,Under 20,Defender,Netherlands,Europe
172,Ridle Baku,GER,Mainz 05,Bundesliga,2019,21.0,1998.0,26.1,82,3.14,65,5,4,2,6,0,12,0.46,11,1,0,0,0,0,"DF,MF",20-24,Defender,Germany,Europe
174,Keita Baldé,SEN,Monaco,Ligue 1,2019,24.0,1995.0,9.5,30,3.15,21,0,2,4,3,0,5,0.52,3,0,0,1,1,0,"FW,MF",20-24,Forward,Senegal,Africa
175,George Baldock,GRE,Sheffield Utd,Premier League,2019,26.0,1993.0,38.0,71,1.87,54,5,6,0,6,0,6,0.16,4,0,1,0,1,0,DF,25-29,Defender,Greece,Europe
176,Gareth Bale,WAL,Real Madrid,La Liga,2019,30.0,1989.0,12.1,36,2.98,22,2,5,4,3,0,7,0.58,6,0,0,1,0,0,"FW,MF",30-34,Forward,Wales,Europe
178,Leonardo Balerdi,ARG,Dortmund,Bundesliga,2019,20.0,1999.0,1.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,"DF,MF",20-24,Defender,Argentina,South America
