rk,player,nation,squad,comp,season,age,born,ninety_mins_played,passes_completed,passes_attempted,pass_completion_pct,total_pass_distance,progressive_pass_distance,short_passes_completed,short_passes_attempted,short_pass_completion_pct,medium_passes_completed,medium_passes_attempted,medium_pass_completion_pct,long_passes_completed,long_passes_attempted,long_pass_completion_pct,assists,xag,xa,assists_minus_xag,key_passes,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,position,age_range,general_position,country,continent
1197,João Pedro,BRA,Watford,Premier League,2019,17.0,2001.0,0.3,8,12,66.7,118,21,4,4,100.0,4,5,80.0,0,1,0.0,0,0.0,0.3,0.0,0,0,1,1,1,"FW,MF",Under 20,Forward,Brazil,South America
1197,João Pedro,BRA,Watford,Premier League,2019,17.0,2001.0,0.3,8,12,66.7,118,21,4,4,100.0,4,5,80.0,0,1,0.0,0,0.0,0.3,0.0,0,0,1,1,1,"FW,MF",Under 20,Forward,Brazil,South America
1197,João Pedro,BRA,Watford,Premier League,2019,17.0,2001.0,0.3,8,12,66.7,118,21,4,4,100.0,4,5,80.0,0,1,0.0,0,0.0,0.3,0.0,0,0,1,1,1,"FW,MF",Under 20,Forward,Brazil,South America
1197,João Pedro,BRA,Watford,Premier League,2019,17.0,2001.0,0.3,8,12,66.7,118,21,4,4,100.0,4,5,80.0,0,1,0.0,0,0.0,0.3,0.0,0,0,1,1,1,"FW,MF",Under 20,Forward,Brazil,South America
1197,João Pedro,BRA,Watford,Premier League,2019,17.0,2001.0,0.3,8,12,66.7,118,21,4,4,100.0,4,5,80.0,0,1,0.0,0,0.0,0.3,0.0,0,0,1,1,1,"FW,MF",Under 20,Forward,Brazil,South America
1197,João Pedro,BRA,Watford,Premier League,2019,17.0,2001.0,0.3,8,12,66.7,118,21,4,4,100.0,4,5,80.0,0,1,0.0,0,0.0,0.3,0.0,0,0,1,1,1,"FW,MF",Under 20,Forward,Brazil,South America
1197,João Pedro,BRA,Watford,Premier League,2019,17.0,2001.0,0.3,8,12,66.7,118,21,4,4,100.0,4,5,80.0,0,1,0.0,0,0.0,0.3,0.0,0,0,1,1,1,"FW,MF",Under 20,Forward,Brazil,South America
1197,João Pedro,BRA,Watford,Premier League,2019,17.0,2001.0,0.3,8,12,66.7,118,21,4,4,100.0,4,5,80.0,0,1,0.0,0,0.0,0.3,0.0,0,0,1,1,1,"FW,MF",Under 20,Forward,Brazil,South America
1197,João Pedro,BRA,Watford,Premier League,2019,17.0,2001.0,0.3,8,12,66.7,118,21,4,4,100.0,4,5,80.0,0,1,0.0,0,0.0,0.3,0.0,0,0,1,1,1,"FW,MF",Under 20,Forward,Brazil,South America
1197,João Pedro,BRA,Watford,Premier League,2019,17.0,2001.0,0.3,8,12,66.7,118,21,4,4,100.0,4,5,80.0,0,1,0.0,0,0.0,0.3,0.0,0,0,1,1,1,"FW,MF",Under 20,Forward,Brazil,South America
1197,João Pedro,BRA,Watford,Premier League,2019,17.0,2001.0,0.3,8,12,66.7,118,21,4,4,100.0,4,5,80.0,0,1,0.0,0,0.0,0.3,0.0,0,0,1,1,1,"FW,MF",Under 20,Forward,Brazil,South America
1197,João Pedro,BRA,Watford,Premier League,2019,17.0,2001.0,0.3,8,12,66.7,118,21,4,4,100.0,4,5,80.0,0,1,0.0,0,0.0,0.3,0.0,0,0,1,1,1,"FW,MF",Under 20,Forward,Brazil,South America
1197,João Pedro,BRA,Watford,Premier League,2019,17.0,2001.0,0.3,8,12,66.7,118,21,4,4,100.0,4,5,80.0,0,1,0.0,0,0.0,0.3,0.0,0,0,1,1,1,"FW,MF",Under 20,Forward,Brazil,South America
1197,João Pedro,BRA,Watford,Premier League,2019,17.0,2001.0,0.3,8,12,66.7,118,21,4,4,100.0,4,5,80.0,0,1,0.0,0,0.0,0.3,0.0,0,0,1,1,1,"FW,MF",Under 20,Forward,Brazil,South America
1197,João Pedro,BRA,Watford,Premier League,2019,17.0,2001.0,0.3,8,12,66.7,118,21,4,4,100.0,4,5,80.0,0,1,0.0,0,0.0,0.3,0.0,0,0,1,1,1,"FW,MF",Under 20,Forward,Brazil,South America
1197,João Pedro,BRA,Watford,Premier League,2019,17.0,2001.0,0.3,8,12,66.7,118,21,4,4,100.0,4,5,80.0,0,1,0.0,0,0.0,0.3,0.0,0,0,1,1,1,"FW,MF",Under 20,Forward,Brazil,South America
1197,João Pedro,BRA,Watford,Premier League,2019,17.0,2001.0,0.3,8,12,66.7,118,21,4,4,100.0,4,5,80.0,0,1,0.0,0,0.0,0.3,0.0,0,0,1,1,1,"FW,MF",Under 20,Forward,Brazil,South America
1197,João Pedro,BRA,Watford,Premier League,2019,17.0,2001.0,0.3,8,12,66.7,118,21,4,4,100.0,4,5,80.0,0,1,0.0,0,0.0,0.3,0.0,0,0,1,1,1,"FW,MF",Under 20,Forward,Brazil,South America
1197,João Pedro,BRA,Watford,Premier League,2019,17.0,2001.0,0.3,8,12,66.7,118,21,4,4,100.0,4,5,80.0,0,1,0.0,0,0.0,0.3,0.0,0,0,1,1,1,"FW,MF",Under 20,Forward,Brazil,South America
1197,João Pedro,BRA,Watford,Premier League,2019,17.0,2001.0,0.3,8,12,66.7,118,21,4,4,100.0,4,5,80.0,0,1,0.0,0,0.0,0.3,0.0,0,0,1,1,1,"FW,MF",Under 20,Forward,Brazil,South America
1197,João Pedro,BRA,Watford,Premier League,2019,17.0,2001.0,0.3,8,12,66.7,118,21,4,4,100.0,4,5,80.0,0,1,0.0,0,0.0,0.3,0.0,0,0,1,1,1,"FW,MF",Under 20,Forward,Brazil,South America
1197,João Pedro,BRA,Watford,Premier League,2019,17.0,2001.0,0.3,8,12,66.7,118,21,4,4,100.0,4,5,80.0,0,1,0.0,0,0.0,0.3,0.0,0,0,1,1,1,"FW,MF",Under 20,Forward,Brazil,South America
1197,João Pedro,BRA,Watford,Premier League,2019,17.0,2001.0,0.3,8,12,66.7,118,21,4,4,100.0,4,5,80.0,0,1,0.0,0,0.0,0.3,0.0,0,0,1,1,1,"FW,MF",Under 20,Forward,Brazil,South America
1197,João Pedro,BRA,Watford,Premier League,2019,17.0,2001.0,0.3,8,12,66.7,118,21,4,4,100.0,4,5,80.0,0,1,0.0,0,0.0,0.3,0.0,0,0,1,1,1,"FW,MF",Under 20,Forward,Brazil,South America
1197,João Pedro,BRA,Watford,Premier League,2019,17.0,2001.0,0.3,8,12,66.7,118,21,4,4,100.0,4,5,80.0,0,1,0.0,0,0.0,0.3,0.0,0,0,1,1,1,"FW,MF",Under 20,Forward,Brazil,South America
1197,João Pedro,BRA,Watford,Premier League,2019,17.0,2001.0,0.3,8,12,66.7,118,21,4,4,100.0,4,5,80.0,0,1,0.0,0,0.0,0.3,0.0,0,0,1,1,1,"FW,MF",Under 20,Forward,Brazil,South America
1197,João Pedro,BRA,Watford,Premier League,2019,17.0,2001.0,0.3,8,12,66.7,118,21,4,4,100.0,4,5,80.0,0,1,0.0,0,0.0,0.3,0.0,0,0,1,1,1,"FW,MF",Under 20,Forward,Brazil,South America
1197,João Pedro,BRA,Watford,Premier League,2019,17.0,2001.0,0.3,8,12,66.7,118,21,4,4,100.0,4,5,80.0,0,1,0.0,0,0.0,0.3,0.0,0,0,1,1,1,"FW,MF",Under 20,Forward,Brazil,South America
1197,João Pedro,BRA,Watford,Premier League,2019,17.0,2001.0,0.3,8,12,66.7,118,21,4,4,100.0,4,5,80.0,0,1,0.0,0,0.0,0.3,0.0,0,0,1,1,1,"FW,MF",Under 20,Forward,Brazil,South America
1197,João Pedro,BRA,Watford,Premier League,2019,17.0,2001.0,0.3,8,12,66.7,118,21,4,4,100.0,4,5,80.0,0,1,0.0,0,0.0,0.3,0.0,0,0,1,1,1,"FW,MF",Under 20,Forward,Brazil,South America
1197,João Pedro,BRA,Watford,Premier League,2019,17.0,2001.0,0.3,8,12,66.7,118,21,4,4,100.0,4,5,80.0,0,1,0.0,0,0.0,0.3,0.0,0,0,1,1,1,"FW,MF",Under 20,Forward,Brazil,South America
1197,João Pedro,BRA,Watford,Premier League,2019,17.0,2001.0,0.3,8,12,66.7,118,21,4,4,100.0,4,5,80.0,0,1,0.0,0,0.0,0.3,0.0,0,0,1,1,1,"FW,MF",Under 20,Forward,Brazil,South America
1197,João Pedro,BRA,Watford,Premier League,2019,17.0,2001.0,0.3,8,12,66.7,118,21,4,4,100.0,4,5,80.0,0,1,0.0,0,0.0,0.3,0.0,0,0,1,1,1,"FW,MF",Under 20,Forward,Brazil,South America
1197,João Pedro,BRA,Watford,Premier League,2019,17.0,2001.0,0.3,8,12,66.7,118,21,4,4,100.0,4,5,80.0,0,1,0.0,0,0.0,0.3,0.0,0,0,1,1,1,"FW,MF",Under 20,Forward,Brazil,South America
1197,João Pedro,BRA,Watford,Premier League,2019,17.0,2001.0,0.3,8,12,66.7,118,21,4,4,100.0,4,5,80.0,0,1,0.0,0,0.0,0.3,0.0,0,0,1,1,1,"FW,MF",Under 20,Forward,Brazil,South America
1197,João Pedro,BRA,Watford,Premier League,2019,17.0,2001.0,0.3,8,12,66.7,118,21,4,4,100.0,4,5,80.0,0,1,0.0,0,0.0,0.3,0.0,0,0,1,1,1,"FW,MF",Under 20,Forward,Brazil,South America
1197,João Pedro,BRA,Watford,Premier League,2019,17.0,2001.0,0.3,8,12,66.7,118,21,4,4,100.0,4,5,80.0,0,1,0.0,0,0.0,0.3,0.0,0,0,1,1,1,"FW,MF",Under 20,Forward,Brazil,South America
1197,João Pedro,BRA,Watford,Premier League,2019,17.0,2001.0,0.3,8,12,66.7,118,21,4,4,100.0,4,5,80.0,0,1,0.0,0,0.0,0.3,0.0,0,0,1,1,1,"FW,MF",Under 20,Forward,Brazil,South America
1197,João Pedro,BRA,Watford,Premier League,2019,17.0,2001.0,0.3,8,12,66.7,118,21,4,4,100.0,4,5,80.0,0,1,0.0,0,0.0,0.3,0.0,0,0,1,1,1,"FW,MF",Under 20,Forward,Brazil,South America
1197,João Pedro,BRA,Watford,Premier League,2019,17.0,2001.0,0.3,8,12,66.7,118,21,4,4,100.0,4,5,80.0,0,1,0.0,0,0.0,0.3,0.0,0,0,1,1,1,"FW,MF",Under 20,Forward,Brazil,South America
1199,Joelinton,BRA,Newcastle Utd,Premier League,2019,22.0,1996.0,29.8,637,835,76.3,7959,1525,416,502,82.9,137,185,74.1,27,35,77.1,2,2.9,1.8,-0.9,30,38,13,2,56,FW,20-24,Forward,Brazil,South America
1201,Fabian Johnson,USA,Gladbach,Bundesliga,2019,31.0,1987.0,3.0,84,113,74.3,1185,397,48,58,82.8,26,34,76.5,6,8,75.0,0,0.6,0.2,-0.6,2,9,2,0,10,"MF,DF",30-34,Midfielder,United States,North America
1202,Curtis Jones,ENG,Liverpool,Premier League,2019,18.0,2001.0,1.4,107,123,87.0,1491,355,58,65,89.2,36,41,87.8,5,6,83.3,0,0.0,0.1,0.0,0,11,1,0,9,MF,Under 20,Midfielder,England,Europe
1203,Phil Jones,ENG,Manchester Utd,Premier League,2019,27.0,1992.0,1.5,82,99,82.8,1324,458,40,46,87.0,38,44,86.4,4,7,57.1,0,0.0,0.0,0.0,0,6,0,0,7,DF,25-29,Defender,England,Europe
1204,Frenkie de Jong,NED,Barcelona,La Liga,2019,22.0,1997.0,23.5,1519,1660,91.5,22524,5475,881,940,93.7,462,493,93.7,102,114,89.5,2,2.4,2.7,-0.4,25,157,19,0,146,MF,20-24,Midfielder,Netherlands,Europe
1208,Bruno Jordão,POR,Wolves,Premier League,2019,20.0,1998.0,0.1,4,6,66.7,77,34,1,2,50.0,3,3,100.0,0,0,,0,0.1,0.2,-0.1,1,0,1,0,1,FW,20-24,Forward,Portugal,Europe
1209,Jorginho,ITA,Chelsea,Premier League,2019,27.0,1991.0,26.4,2000,2277,87.8,32957,9262,990,1069,92.6,740,833,88.8,190,253,75.1,2,2.8,2.4,-0.8,23,248,27,1,218,MF,25-29,Midfielder,Italy,Europe
1209,Jorginho,ITA,Chelsea,Premier League,2019,27.0,1991.0,26.4,2000,2277,87.8,32957,9262,990,1069,92.6,740,833,88.8,190,253,75.1,2,2.8,2.4,-0.8,23,248,27,1,218,MF,25-29,Midfielder,Italy,Europe
1209,Jorginho,ITA,Chelsea,Premier League,2019,27.0,1991.0,26.4,2000,2277,87.8,32957,9262,990,1069,92.6,740,833,88.8,190,253,75.1,2,2.8,2.4,-0.8,23,248,27,1,218,MF,25-29,Midfielder,Italy,Europe
1209,Jorginho,ITA,Chelsea,Premier League,2019,27.0,1991.0,26.4,2000,2277,87.8,32957,9262,990,1069,92.6,740,833,88.8,190,253,75.1,2,2.8,2.4,-0.8,23,248,27,1,218,MF,25-29,Midfielder,Italy,Europe
1209,Jorginho,ITA,Chelsea,Premier League,2019,27.0,1991.0,26.4,2000,2277,87.8,32957,9262,990,1069,92.6,740,833,88.8,190,253,75.1,2,2.8,2.4,-0.8,23,248,27,1,218,MF,25-29,Midfielder,Italy,Europe
1209,Jorginho,ITA,Chelsea,Premier League,2019,27.0,1991.0,26.4,2000,2277,87.8,32957,9262,990,1069,92.6,740,833,88.8,190,253,75.1,2,2.8,2.4,-0.8,23,248,27,1,218,MF,25-29,Midfielder,Italy,Europe
1209,Jorginho,ITA,Chelsea,Premier League,2019,27.0,1991.0,26.4,2000,2277,87.8,32957,9262,990,1069,92.6,740,833,88.8,190,253,75.1,2,2.8,2.4,-0.8,23,248,27,1,218,MF,25-29,Midfielder,Italy,Europe
1209,Jorginho,ITA,Chelsea,Premier League,2019,27.0,1991.0,26.4,2000,2277,87.8,32957,9262,990,1069,92.6,740,833,88.8,190,253,75.1,2,2.8,2.4,-0.8,23,248,27,1,218,MF,25-29,Midfielder,Italy,Europe
1209,Jorginho,ITA,Chelsea,Premier League,2019,27.0,1991.0,26.4,2000,2277,87.8,32957,9262,990,1069,92.6,740,833,88.8,190,253,75.1,2,2.8,2.4,-0.8,23,248,27,1,218,MF,25-29,Midfielder,Italy,Europe
1209,Jorginho,ITA,Chelsea,Premier League,2019,27.0,1991.0,26.4,2000,2277,87.8,32957,9262,990,1069,92.6,740,833,88.8,190,253,75.1,2,2.8,2.4,-0.8,23,248,27,1,218,MF,25-29,Midfielder,Italy,Europe
1209,Jorginho,ITA,Chelsea,Premier League,2019,27.0,1991.0,26.4,2000,2277,87.8,32957,9262,990,1069,92.6,740,833,88.8,190,253,75.1,2,2.8,2.4,-0.8,23,248,27,1,218,MF,25-29,Midfielder,Italy,Europe
1209,Jorginho,ITA,Chelsea,Premier League,2019,27.0,1991.0,26.4,2000,2277,87.8,32957,9262,990,1069,92.6,740,833,88.8,190,253,75.1,2,2.8,2.4,-0.8,23,248,27,1,218,MF,25-29,Midfielder,Italy,Europe
1209,Jorginho,ITA,Chelsea,Premier League,2019,27.0,1991.0,26.4,2000,2277,87.8,32957,9262,990,1069,92.6,740,833,88.8,190,253,75.1,2,2.8,2.4,-0.8,23,248,27,1,218,MF,25-29,Midfielder,Italy,Europe
1209,Jorginho,ITA,Chelsea,Premier League,2019,27.0,1991.0,26.4,2000,2277,87.8,32957,9262,990,1069,92.6,740,833,88.8,190,253,75.1,2,2.8,2.4,-0.8,23,248,27,1,218,MF,25-29,Midfielder,Italy,Europe
1209,Jorginho,ITA,Chelsea,Premier League,2019,27.0,1991.0,26.4,2000,2277,87.8,32957,9262,990,1069,92.6,740,833,88.8,190,253,75.1,2,2.8,2.4,-0.8,23,248,27,1,218,MF,25-29,Midfielder,Italy,Europe
1209,Jorginho,ITA,Chelsea,Premier League,2019,27.0,1991.0,26.4,2000,2277,87.8,32957,9262,990,1069,92.6,740,833,88.8,190,253,75.1,2,2.8,2.4,-0.8,23,248,27,1,218,MF,25-29,Midfielder,Italy,Europe
1210,Jesse Joronen,FIN,Brescia,Serie A,2019,26.0,1993.0,29.0,586,855,68.5,17057,12351,120,120,100.0,258,263,98.1,205,466,44.0,0,0.0,0.0,0.0,1,8,0,0,0,GK,25-29,Goalkeeper,Finland,Europe
1211,Willian José,BRA,Real Sociedad,La Liga,2019,27.0,1991.0,22.3,402,568,70.8,6044,1077,236,301,78.4,114,155,73.5,32,52,61.5,1,1.9,1.4,-0.9,19,30,15,0,41,FW,25-29,Forward,Brazil,South America
1214,Diogo Jota,POR,Wolves,Premier League,2019,22.0,1996.0,25.4,682,886,77.0,9768,1810,377,444,84.9,212,262,80.9,39,54,72.2,1,2.7,1.9,-1.7,29,41,20,4,68,FW,20-24,Forward,Portugal,Europe
1224,James Justin,ENG,Leicester City,Premier League,2019,21.0,1998.0,11.2,665,820,81.1,9996,3251,372,405,91.9,243,288,84.4,39,78,50.0,1,1.0,0.5,0.0,12,47,11,6,56,"DF,MF",20-24,Defender,England,Europe
1227,Ozan Kabak,TUR,Schalke 04,Bundesliga,2019,19.0,2000.0,19.7,846,1040,81.3,17441,6322,274,306,89.5,447,516,86.6,118,197,59.9,1,0.5,0.3,0.5,3,65,1,0,62,DF,Under 20,Defender,Turkey,Asia
1228,Christian Kabasele,BEL,Watford,Premier League,2019,28.0,1991.0,25.0,488,671,72.7,9649,4109,175,219,79.9,227,279,81.4,74,150,49.3,2,0.9,0.1,1.1,6,33,1,0,36,DF,25-29,Defender,Belgium,Europe
1229,Abdoul Kader Bamba,FRA,Nantes,Ligue 1,2019,25.0,1994.0,16.3,566,726,78.0,8182,2195,342,398,85.9,174,209,83.3,32,68,47.1,3,5.0,4.2,-2.0,37,34,26,5,58,"FW,MF",25-29,Forward,France,Europe
1231,Florian Kainz,AUT,Köln,Bundesliga,2019,26.0,1992.0,17.3,444,748,59.4,8666,3633,185,228,81.1,176,267,65.9,74,190,38.9,6,6.8,5.2,-0.8,46,52,33,15,91,"FW,MF",25-29,Forward,Austria,Europe
1232,Gaël Kakuta,COD,Amiens,Ligue 1,2019,28.0,1991.0,22.2,565,850,66.5,8026,2590,333,421,79.1,167,242,69.0,34,98,34.7,5,2.6,2.6,2.4,27,61,31,7,101,"MF,FW",25-29,Midfielder,DR Congo,Africa
1235,Salomon Kalou,CIV,Hertha BSC,Bundesliga,2019,33.0,1985.0,1.6,27,42,64.3,392,153,13,18,72.2,9,16,56.3,2,4,50.0,0,0.6,0.1,-0.6,1,4,2,0,7,"FW,MF",30-34,Forward,Ivory Coast,Africa
1236,Samuel Kalu,NGA,Bordeaux,Ligue 1,2019,21.0,1997.0,15.1,380,523,72.7,5985,1384,198,235,84.3,135,183,73.8,28,55,50.9,1,1.4,1.5,-0.4,10,28,6,4,44,"DF,FW",20-24,Defender,Nigeria,Africa
1237,Daichi Kamada,JPN,Eint Frankfurt,Bundesliga,2019,22.0,1996.0,21.9,568,772,73.6,9653,2472,290,342,84.8,190,242,78.5,66,126,52.4,4,4.0,4.8,0.0,37,62,18,3,119,"MF,FW",20-24,Midfielder,Japan,Asia
1239,Boubacar Kamara,FRA,Marseille,Ligue 1,2019,19.0,1999.0,23.8,1120,1307,85.7,19620,7116,532,577,92.2,436,497,87.7,121,189,64.0,2,0.3,0.6,1.7,7,79,5,0,87,"DF,MF",Under 20,Defender,France,Europe
1240,Hassane Kamara,CIV,Reims,Ligue 1,2019,25.0,1994.0,19.0,891,1117,79.8,14733,4177,463,516,89.7,341,414,82.4,71,125,56.8,0,0.6,1.3,-0.6,12,57,16,7,81,"DF,FW",25-29,Defender,Ivory Coast,Africa
1242,Harry Kane,ENG,Tottenham,Premier League,2019,26.0,1993.0,28.7,380,581,65.4,5829,1736,221,300,73.7,102,150,68.0,37,76,48.7,2,3.3,2.7,-1.3,27,52,18,2,76,FW,25-29,Forward,England,Europe
1245,N'Golo Kanté,FRA,Chelsea,Premier League,2019,28.0,1991.0,19.2,975,1166,83.6,14537,3974,507,569,89.1,333,385,86.5,63,78,80.8,0,1.5,1.7,-1.5,27,104,27,10,132,MF,25-29,Midfielder,France,Europe
1247,Wilfrid Kaptoum,CMR,Betis,La Liga,2019,23.0,1996.0,2.2,57,73,78.1,820,231,36,39,92.3,17,23,73.9,3,8,37.5,0,0.0,0.0,0.0,1,6,0,0,8,MF,20-24,Midfielder,Cameroon,Africa
1249,Yann Karamoh,FRA,Parma,Serie A,2019,21.0,1998.0,6.4,107,146,73.3,1535,308,61,78,78.2,37,47,78.7,4,9,44.4,1,1.2,0.3,-0.2,11,3,3,0,15,"FW,MF",20-24,Forward,France,Europe
1251,Florian Kastenmeier,GER,Düsseldorf,Bundesliga,2019,22.0,1997.0,17.0,436,626,69.6,13520,10130,61,61,100.0,188,188,100.0,183,368,49.7,0,0.4,0.1,-0.4,2,13,1,0,0,GK,20-24,Goalkeeper,Germany,Europe
1252,Noah Katterbach,GER,Köln,Bundesliga,2019,18.0,2001.0,14.6,517,749,69.0,9010,4568,255,308,82.8,192,257,74.7,61,146,41.8,0,0.4,0.9,-0.4,9,50,10,4,60,DF,Under 20,Defender,Germany,Europe
1253,Moise Kean,ITA,Everton,Premier League,2019,19.0,2000.0,9.5,99,138,71.7,1173,310,55,71,77.5,20,25,80.0,4,7,57.1,2,2.0,0.6,0.0,10,8,6,2,12,FW,Under 20,Forward,Italy,Europe
1254,Michael Keane,ENG,Everton,Premier League,2019,26.0,1993.0,28.4,1203,1458,82.5,24542,8769,317,366,86.6,716,792,90.4,149,244,61.1,0,0.7,0.5,-0.7,6,61,3,0,84,DF,25-29,Defender,England,Europe
1255,Thilo Kehrer,GER,Paris S-G,Ligue 1,2019,22.0,1996.0,5.3,374,401,93.3,5843,1442,185,191,96.9,148,157,94.3,24,27,88.9,0,0.4,0.1,-0.4,2,18,2,0,26,DF,20-24,Defender,Germany,Europe
1256,Jules Keita,GUI,Dijon,Ligue 1,2019,21.0,1998.0,1.8,26,35,74.3,289,79,20,24,83.3,5,8,62.5,0,0,,0,0.4,0.2,-0.4,1,2,1,0,2,"MF,FW",20-24,Midfielder,Guinea,Africa
1257,Naby Keïta,GUI,Liverpool,Premier League,2019,24.0,1995.0,9.1,605,690,87.7,8228,2134,382,409,93.4,174,200,87.0,25,37,67.6,3,2.7,2.0,0.3,15,80,16,0,69,MF,20-24,Midfielder,Guinea,Africa
1258,Yannik Keitel,GER,Freiburg,Bundesliga,2019,19.0,2000.0,1.9,47,58,81.0,935,258,16,19,84.2,23,25,92.0,8,11,72.7,0,0.2,0.0,-0.2,1,2,0,0,5,MF,Under 20,Midfielder,Germany,Europe
1259,Lloyd Kelly,ENG,Bournemouth,Premier League,2019,20.0,1998.0,7.1,178,241,73.9,3484,1346,57,68,83.8,96,117,82.1,21,44,47.7,0,0.3,0.2,-0.3,2,8,0,0,9,DF,20-24,Defender,England,Europe
1260,Martin Kelly,ENG,Crystal Palace,Premier League,2019,29.0,1990.0,17.2,500,710,70.4,8740,3988,228,283,80.6,216,289,74.7,48,109,44.0,1,0.8,0.6,0.2,6,31,8,6,35,DF,25-29,Defender,England,Europe
1261,Kenedy,BRA,Getafe,La Liga,2019,23.0,1996.0,6.5,126,194,64.9,1988,747,65,81,80.2,36,58,62.1,16,32,50.0,3,1.8,1.1,1.2,10,13,12,8,13,MF,20-24,Midfielder,Brazil,South America
1262,Jonjoe Kenny,ENG,Schalke 04,Bundesliga,2019,22.0,1997.0,30.2,1168,1580,73.9,19996,8529,577,673,85.7,444,581,76.4,120,230,52.2,3,1.4,1.5,1.6,15,100,31,9,136,DF,20-24,Defender,England,Europe
1263,Franck Kessié,CIV,Milan,Serie A,2019,22.0,1996.0,32.3,1520,1715,88.6,24752,6483,768,834,92.1,616,678,90.9,99,134,73.9,1,2.6,2.5,-1.6,30,149,23,3,173,MF,20-24,Midfielder,Ivory Coast,Africa
1264,Saîf-Eddine Khaoui,TUN,Marseille,Ligue 1,2019,24.0,1995.0,1.2,40,61,65.6,495,166,20,24,83.3,12,20,60.0,2,7,28.6,0,0.1,0.2,-0.1,2,0,1,0,5,"MF,FW",20-24,Midfielder,Tunisia,Africa
1265,Wahbi Khazri,TUN,Saint-Étienne,Ligue 1,2019,28.0,1991.0,12.8,220,358,61.5,4047,940,96,128,75.0,74,110,67.3,33,73,45.2,2,1.5,1.3,0.5,19,22,12,2,36,"FW,MF",25-29,Forward,Tunisia,Africa
1266,Rani Khedira,GER,Augsburg,Bundesliga,2019,25.0,1994.0,29.4,616,891,69.1,9336,3412,325,410,79.3,204,274,74.5,43,111,38.7,2,1.7,0.7,0.3,11,54,5,1,68,MF,25-29,Midfielder,Germany,Europe
1267,Sami Khedira,GER,Juventus,Serie A,2019,32.0,1987.0,7.6,283,338,83.7,4084,915,167,176,94.9,92,109,84.4,14,25,56.0,1,0.8,0.8,0.2,8,16,7,2,23,MF,30-34,Midfielder,Germany,Europe
1269,Luca Kilian,GER,Paderborn 07,Bundesliga,2019,19.0,1999.0,14.0,641,718,89.3,12612,3632,178,198,89.9,385,406,94.8,72,96,75.0,0,0.2,0.4,-0.2,2,20,0,0,28,DF,Under 20,Defender,Germany,Europe
1271,Joshua Kimmich,GER,Bayern Munich,Bundesliga,2019,24.0,1995.0,31.3,2435,2870,84.8,45556,14452,1003,1085,92.4,1042,1154,90.3,321,496,64.7,7,8.3,11.2,-1.3,75,241,59,12,310,"MF,DF",20-24,Midfielder,Germany,Europe
1272,Presnel Kimpembe,FRA,Paris S-G,Ligue 1,2019,23.0,1995.0,13.6,1056,1114,94.8,17615,5899,467,482,96.9,516,534,96.6,53,64,82.8,0,0.0,0.1,0.0,1,34,0,0,58,DF,20-24,Defender,France,Europe
1274,Simon Kjær,DEN,Atalanta,Serie A,2019,30.0,1989.0,3.2,132,149,88.6,2711,862,31,35,88.6,83,91,91.2,15,18,83.3,0,0.0,0.0,0.0,0,2,0,0,2,DF,30-34,Defender,Denmark,Europe
1275,Simon Kjær,DEN,Milan,Serie A,2019,30.0,1989.0,13.8,617,701,88.0,12237,4710,222,238,93.3,308,335,91.9,76,109,69.7,0,0.0,0.2,0.0,0,34,1,0,35,DF,30-34,Defender,Denmark,Europe
1277,Felix Klaus,GER,Wolfsburg,Bundesliga,2019,26.0,1992.0,7.4,142,220,64.5,1967,554,91,125,72.8,33,45,73.3,7,16,43.8,1,1.7,1.3,-0.7,13,10,7,2,17,"MF,FW",25-29,Midfielder,Germany,Europe
1278,Ragnar Klavan,EST,Cagliari,Serie A,2019,33.0,1985.0,26.2,1086,1222,88.9,21605,8054,339,355,95.5,612,655,93.4,128,187,68.4,0,1.1,0.4,-1.1,5,63,1,0,77,DF,30-34,Defender,Estonia,Europe
1279,Timm Klose,SUI,Norwich City,Premier League,2019,31.0,1988.0,6.5,336,399,84.2,6321,1941,116,137,84.7,185,198,93.4,29,51,56.9,0,0.0,0.0,0.0,0,9,1,0,17,DF,30-34,Defender,Switzerland,Europe
1280,Lukas Klostermann,GER,RB Leipzig,Bundesliga,2019,23.0,1996.0,29.4,1536,1814,84.7,25158,8914,706,795,88.8,708,792,89.4,79,145,54.5,1,2.4,2.0,-1.4,15,89,13,4,132,DF,20-24,Defender,Germany,Europe
1281,Justin Kluivert,NED,Roma,Serie A,2019,20.0,1999.0,16.8,388,481,80.7,6160,1118,220,253,87.0,132,161,82.0,25,33,75.8,1,1.0,1.6,0.0,21,27,21,5,49,FW,20-24,Forward,Netherlands,Europe
1282,Lukas Klünter,GER,Hertha BSC,Bundesliga,2019,23.0,1996.0,20.9,557,818,68.1,9606,4292,250,299,83.6,265,368,72.0,34,99,34.3,2,1.6,1.1,0.4,11,22,12,8,49,DF,20-24,Defender,Germany,Europe
1283,Robin Knoche,GER,Wolfsburg,Bundesliga,2019,27.0,1992.0,17.7,807,979,82.4,16872,5917,206,233,88.4,476,540,88.1,115,181,63.5,0,0.2,0.4,-0.2,4,58,4,1,90,DF,25-29,Defender,Germany,Europe
