rk,player,nation,squad,comp,season,age,born,ninety_mins_played,yellow_cards,red_cards,second_yellow_cards,fouls,fouls_drawn,offsides,crosses,interceptions,tackles_won,penalties_won,penalties_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,position,age_range,general_position,country,continent
1015,Maxime Gonalons,FRA,Granada,La Liga,2020,31.0,1989.0,16.4,7,1,0,30,27,2,6,25,37,0,1,0,129,34,21,61.8,MF,30-34,Midfielder,France,Europe
1023,Anthony Gordon,ENG,Everton,Premier League,2020,19.0,2001.0,1.0,0,0,0,0,2,1,1,1,3,0,0,0,6,1,1,50.0,"FW,MF",Under 20,Forward,England,Europe
1024,Leon Goretzka,GER,Bayern Munich,Bundesliga,2020,25.0,1995.0,18.9,2,0,0,26,17,0,11,44,23,0,0,0,165,32,17,65.3,MF,25-29,Midfielder,Germany,Europe
1026,Robin Gosens,GER,Atalanta,Serie A,2020,26.0,1994.0,28.0,9,1,1,50,26,9,62,41,35,0,2,1,167,36,20,64.3,DF,25-29,Defender,Germany,Europe
1027,Amine Gouiri,ALG,Nice,Ligue 1,2020,20.0,2000.0,30.5,5,0,0,45,36,8,88,17,18,1,0,0,103,20,29,40.8,"FW,MF",20-24,Forward,Algeria,Africa
1028,Lucas Gourna-Douath,FRA,Saint-Étienne,Ligue 1,2020,16.0,2003.0,14.7,8,0,0,35,28,0,3,24,22,0,0,0,113,14,12,53.8,MF,Under 20,Midfielder,France,Europe
1029,Jeffrey Gouweleeuw,NED,Augsburg,Bundesliga,2020,29.0,1991.0,31.5,9,0,0,26,7,3,11,69,20,0,0,1,195,52,55,48.6,DF,25-29,Defender,Netherlands,Europe
1030,Jonathan Gradit,FRA,Lens,Ligue 1,2020,27.0,1992.0,31.4,9,1,1,51,62,0,4,56,39,0,2,0,149,55,54,50.5,DF,25-29,Defender,France,Europe
1031,Karlan Grant,ENG,West Brom,Premier League,2020,22.0,1997.0,12.5,1,0,0,9,13,6,14,5,3,0,0,0,27,14,59,19.2,"FW,MF",20-24,Forward,England,Europe
1032,Alberto Grassi,ITA,Parma,Serie A,2020,25.0,1995.0,13.1,3,0,0,16,27,1,11,26,11,0,0,1,63,13,9,59.1,"MF,DF",25-29,Midfielder,Italy,Europe
1034,Demarai Gray,JAM,Leicester City,Premier League,2020,24.0,1996.0,0.2,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,,FW,20-24,Forward,Jamaica,North America
1035,Demarai Gray,JAM,Leverkusen,Bundesliga,2020,24.0,1996.0,4.9,0,0,0,4,5,1,30,4,2,0,0,0,14,0,5,0.0,FW,20-24,Forward,Jamaica,North America
1037,Jack Grealish,ENG,Aston Villa,Premier League,2020,24.0,1995.0,24.3,6,0,0,40,110,7,76,12,14,2,0,0,125,25,27,48.1,"FW,MF",20-24,Forward,England,Europe
1038,Etienne Green,ENG,Saint-Étienne,Ligue 1,2020,20.0,2000.0,8.0,0,0,0,2,1,0,0,0,0,0,2,0,8,1,1,50.0,GK,20-24,Goalkeeper,England,Europe
1039,Mason Greenwood,ENG,Manchester Utd,Premier League,2020,18.0,2001.0,20.2,2,0,0,17,20,4,30,5,10,0,0,0,79,6,14,30.0,FW,Under 20,Forward,England,Europe
1040,Michael Gregoritsch,AUT,Augsburg,Bundesliga,2020,26.0,1994.0,9.3,1,0,0,12,15,4,15,3,10,0,0,0,37,26,38,40.6,"FW,MF",25-29,Forward,Austria,Europe
1041,Clément Grenier,FRA,Rennes,Ligue 1,2020,29.0,1991.0,12.0,3,0,0,28,15,0,56,5,8,0,0,0,63,8,12,40.0,"MF,FW",25-29,Midfielder,France,Europe
1042,Sebastian Griesbeck,GER,Union Berlin,Bundesliga,2020,29.0,1990.0,9.9,3,0,0,16,7,3,4,5,9,1,0,0,46,15,20,42.9,MF,25-29,Midfielder,Germany,Europe
1043,Antoine Griezmann,FRA,Barcelona,La Liga,2020,29.0,1991.0,28.9,4,0,0,13,34,13,22,12,22,2,0,0,100,18,17,51.4,"FW,MF",25-29,Forward,France,Europe
1044,Vincenzo Grifo,ITA,Freiburg,Bundesliga,2020,27.0,1993.0,25.7,2,0,0,11,18,2,134,27,7,0,0,0,135,12,13,48.0,"MF,FW",25-29,Midfielder,Italy,Europe
1045,Lennart Grill,GER,Leverkusen,Bundesliga,2020,21.0,1999.0,4.0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,,GK,20-24,Goalkeeper,Germany,Europe
1046,Florian Grillitsch,AUT,Hoffenheim,Bundesliga,2020,24.0,1995.0,20.9,6,1,1,30,30,0,12,51,21,1,1,0,181,30,30,50.0,"MF,DF",20-24,Midfielder,Austria,Europe
1047,Christian Groß,GER,Werder Bremen,Bundesliga,2020,31.0,1989.0,16.3,8,1,1,25,16,0,2,24,28,0,0,0,121,16,15,51.6,"MF,DF",30-34,Midfielder,Germany,Europe
1048,Pascal Groß,GER,Brighton,Premier League,2020,29.0,1991.0,27.6,3,0,0,19,16,5,219,23,24,1,0,0,149,22,43,33.8,"MF,DF",25-29,Midfielder,Germany,Europe
1050,Ilia Gruev,BUL,Werder Bremen,Bundesliga,2020,20.0,2000.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,FW,20-24,Forward,Bulgaria,Europe
1051,Carlos Gruezo,ECU,Augsburg,Bundesliga,2020,25.0,1995.0,23.2,4,0,0,35,12,0,2,35,32,0,0,0,154,6,24,20.0,MF,25-29,Midfielder,Ecuador,South America
1053,Andrés Guardado,MEX,Betis,La Liga,2020,33.0,1986.0,14.6,4,0,0,21,10,0,7,18,12,0,0,0,118,23,23,50.0,MF,30-34,Midfielder,Mexico,North America
1056,Gonçalo Guedes,POR,Valencia,La Liga,2020,23.0,1996.0,25.4,3,1,0,29,68,4,48,8,12,0,0,0,94,8,17,32.0,"MF,FW",20-24,Midfielder,Portugal,Europe
1057,Mattéo Guendouzi,FRA,Hertha BSC,Bundesliga,2020,21.0,1999.0,20.2,5,0,0,23,47,0,10,21,13,2,0,0,121,14,15,48.3,MF,20-24,Midfielder,France,Europe
1058,Raphaël Guerreiro,POR,Dortmund,Bundesliga,2020,26.0,1993.0,24.6,1,0,0,10,12,2,70,28,13,0,0,0,174,6,17,26.1,DF,25-29,Defender,Portugal,Europe
1059,Evann Guessand,CIV,Nice,Ligue 1,2020,19.0,2001.0,0.3,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,33.3,FW,Under 20,Forward,Ivory Coast,Africa
1060,Kelyan Guessoum,FRA,Nîmes,Ligue 1,2020,21.0,1999.0,12.5,2,0,0,6,13,0,0,24,7,1,0,0,36,16,12,57.1,DF,20-24,Defender,France,Europe
1062,Lamine Gueye,SEN,Metz,Ligue 1,2020,22.0,1998.0,16.2,1,0,0,12,37,9,69,21,9,0,0,0,67,26,42,38.2,"FW,MF",20-24,Forward,Senegal,Africa
1063,Pape Gueye,SEN,Marseille,Ligue 1,2020,21.0,1999.0,22.9,11,1,1,47,46,0,9,47,21,0,0,0,162,46,39,54.1,MF,20-24,Midfielder,Senegal,Africa
1064,John Guidetti,SWE,Alavés,La Liga,2020,28.0,1992.0,2.3,1,0,0,7,2,1,6,1,2,0,0,0,7,4,4,50.0,FW,25-29,Forward,Sweden,Europe
1065,Josuha Guilavogui,FRA,Wolfsburg,Bundesliga,2020,29.0,1990.0,8.3,3,0,0,16,4,0,2,29,9,0,0,0,66,22,13,62.9,"MF,DF",25-29,Midfielder,France,Europe
1068,Bruno Guimarães,BRA,Lyon,Ligue 1,2020,22.0,1997.0,19.5,6,0,0,33,37,0,18,14,34,1,0,0,142,9,7,56.3,MF,20-24,Midfielder,Brazil,South America
1069,Serhou Guirassy,GUI,Rennes,Ligue 1,2020,24.0,1996.0,19.6,3,0,0,38,55,6,4,5,1,1,0,0,37,69,56,55.2,FW,20-24,Forward,Guinea,Africa
1070,Péter Gulácsi,HUN,RB Leipzig,Bundesliga,2020,30.0,1990.0,33.0,0,0,0,0,1,0,0,2,0,0,0,0,73,3,0,100.0,GK,30-34,Goalkeeper,Hungary,Europe
1071,Manuel Gulde,GER,Freiburg,Bundesliga,2020,29.0,1991.0,21.7,3,0,0,17,20,2,3,37,15,0,0,0,97,47,36,56.6,DF,25-29,Defender,Germany,Europe
1073,İlkay Gündoğan,GER,Manchester City,Premier League,2020,29.0,1990.0,22.5,1,0,0,8,26,1,30,20,15,1,0,0,132,11,13,45.8,MF,25-29,Midfielder,Germany,Europe
1074,Christian Günter,GER,Freiburg,Bundesliga,2020,27.0,1993.0,34.0,2,0,0,31,18,2,213,29,19,0,0,0,131,14,16,46.7,"DF,MF",25-29,Defender,Germany,Europe
1082,Emmanuel Gyasi,GHA,Spezia,Serie A,2020,26.0,1994.0,31.7,4,0,0,65,52,28,30,14,16,1,0,0,134,27,51,34.6,FW,25-29,Forward,Ghana,Africa
1084,Janik Haberer,GER,Freiburg,Bundesliga,2020,26.0,1994.0,5.4,0,0,0,16,6,1,7,7,4,0,2,0,48,6,15,28.6,"MF,FW",25-29,Midfielder,Germany,Europe
1085,Alexander Hack,GER,Mainz 05,Bundesliga,2020,26.0,1993.0,15.2,2,0,0,14,13,0,4,41,21,0,1,0,106,46,30,60.5,DF,25-29,Defender,Germany,Europe
1086,Antwoine Hackford,ENG,Sheffield Utd,Premier League,2020,16.0,2004.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,DF,Under 20,Defender,England,Europe
1087,Munir El Haddadi,MAR,Sevilla,La Liga,2020,24.0,1995.0,9.4,2,0,0,22,28,7,17,5,8,0,0,0,55,8,15,34.8,FW,20-24,Forward,Morocco,Africa
1088,André Hahn,GER,Augsburg,Bundesliga,2020,29.0,1990.0,22.6,4,0,0,33,27,14,28,14,17,1,0,0,65,68,111,38.0,"FW,MF",25-29,Forward,Germany,Europe
1089,Amadou Haidara,MLI,RB Leipzig,Bundesliga,2020,22.0,1998.0,21.2,4,0,0,23,17,5,29,30,28,1,0,0,138,34,39,46.6,"MF,FW",20-24,Midfielder,Mali,Africa
1091,Achraf Hakimi,MAR,Inter,Serie A,2020,21.0,1998.0,29.6,6,0,0,31,36,7,115,22,32,2,0,0,124,16,28,36.4,DF,20-24,Defender,Morocco,Africa
1093,Marcel Halstenberg,GER,RB Leipzig,Bundesliga,2020,28.0,1991.0,18.3,2,0,0,17,9,4,39,16,18,0,0,0,134,43,17,71.7,DF,25-29,Defender,Germany,Europe
1094,Pierre-Yves Hamel,FRA,Lorient,Ligue 1,2020,26.0,1994.0,9.4,5,0,0,22,8,3,3,10,8,0,0,0,20,35,43,44.9,FW,25-29,Forward,France,Europe
1095,Romain Hamouma,FRA,Saint-Étienne,Ligue 1,2020,33.0,1987.0,19.7,5,0,0,31,36,9,96,7,7,1,0,0,69,18,47,27.7,"FW,MF",30-34,Forward,France,Europe
1098,Amine Harit,MAR,Schalke 04,Bundesliga,2020,23.0,1997.0,23.3,4,0,0,28,79,7,71,17,13,2,0,0,99,6,22,21.4,"MF,FW",20-24,Midfielder,Morocco,Africa
1099,Rekeem Harper,ENG,West Brom,Premier League,2020,20.0,2000.0,0.4,0,0,0,1,0,0,0,1,0,0,0,0,2,1,0,100.0,MF,20-24,Midfielder,England,Europe
1100,Jack Harrison,ENG,Leeds United,Premier League,2020,23.0,1996.0,31.6,2,0,0,28,23,12,167,15,38,0,0,0,153,26,40,39.4,"MF,FW",20-24,Midfielder,England,Europe
1101,Marcel Hartel,GER,Arminia,Bundesliga,2020,24.0,1996.0,18.7,1,0,0,5,15,5,61,26,19,0,0,0,117,11,19,36.7,MF,20-24,Midfielder,Germany,Europe
1102,Makoto Hasebe,JPN,Eint Frankfurt,Bundesliga,2020,36.0,1984.0,25.4,5,0,0,22,36,0,2,31,29,0,0,0,199,31,28,52.5,"DF,MF",35-39,Defender,Japan,Asia
1103,Hans Hateboer,NED,Atalanta,Serie A,2020,26.0,1994.0,19.6,3,0,0,20,8,3,24,17,17,0,1,0,65,23,20,53.5,DF,25-29,Defender,Netherlands,Europe
1104,Kortney Hause,ENG,Aston Villa,Premier League,2020,25.0,1995.0,7.0,2,0,0,5,3,0,0,8,2,0,0,0,33,39,17,69.6,DF,25-29,Defender,England,Europe
1105,Kai Havertz,GER,Chelsea,Premier League,2020,21.0,1999.0,16.9,2,0,0,27,15,7,11,4,9,2,0,0,71,28,32,46.7,"MF,FW",20-24,Midfielder,Germany,Europe
1106,Isaac Hayden,ENG,Newcastle Utd,Premier League,2020,25.0,1995.0,21.6,8,0,0,38,17,1,19,43,29,0,0,0,116,56,34,62.2,"MF,DF",25-29,Midfielder,England,Europe
1107,Eden Hazard,BEL,Real Madrid,La Liga,2020,29.0,1991.0,5.9,0,0,0,2,19,3,3,3,2,0,0,0,18,2,7,22.2,"FW,MF",25-29,Forward,Belgium,Europe
1109,Jonas Hector,GER,Köln,Bundesliga,2020,30.0,1990.0,14.3,2,0,0,11,22,1,28,19,22,1,0,0,82,54,39,58.1,"MF,FW",30-34,Midfielder,Germany,Europe
1110,Michael Hector,JAM,Fulham,Premier League,2020,28.0,1992.0,2.9,2,0,0,5,3,0,0,0,2,0,0,0,19,6,4,60.0,DF,25-29,Defender,Jamaica,North America
1113,Dominique Heintz,GER,Freiburg,Bundesliga,2020,26.0,1993.0,15.2,3,0,0,16,6,0,7,35,11,0,0,0,83,24,17,58.5,DF,25-29,Defender,Germany,Europe
1114,Dean Henderson,ENG,Manchester Utd,Premier League,2020,23.0,1997.0,12.5,3,0,0,0,0,0,0,0,1,0,0,0,9,7,0,100.0,GK,20-24,Goalkeeper,England,Europe
1116,Jeff Hendrick,IRL,Newcastle Utd,Premier League,2020,28.0,1992.0,15.8,3,1,1,15,12,3,6,19,3,0,0,0,68,11,27,28.9,MF,25-29,Midfielder,Republic of Ireland,Europe
1117,Benjamin Henrichs,GER,RB Leipzig,Bundesliga,2020,23.0,1997.0,6.0,3,0,0,8,12,0,13,8,7,0,0,0,43,2,4,33.3,"DF,MF",20-24,Defender,Germany,Europe
1120,Luis Henrique,BRA,Marseille,Ligue 1,2020,18.0,2001.0,7.5,0,0,0,2,5,8,27,7,4,0,0,0,50,3,0,100.0,"FW,DF",Under 20,Forward,Brazil,South America
1120,Luis Henrique,BRA,Marseille,Ligue 1,2020,18.0,2001.0,7.5,0,0,0,2,5,8,27,7,4,0,0,0,50,3,0,100.0,"FW,DF",Under 20,Forward,Brazil,South America
1120,Luis Henrique,BRA,Marseille,Ligue 1,2020,18.0,2001.0,7.5,0,0,0,2,5,8,27,7,4,0,0,0,50,3,0,100.0,"FW,DF",Under 20,Forward,Brazil,South America
1120,Luis Henrique,BRA,Marseille,Ligue 1,2020,18.0,2001.0,7.5,0,0,0,2,5,8,27,7,4,0,0,0,50,3,0,100.0,"FW,DF",Under 20,Forward,Brazil,South America
1122,Jérôme Hergault,FRA,Lorient,Ligue 1,2020,34.0,1986.0,18.1,0,0,0,19,26,5,39,22,23,0,0,0,98,19,26,42.2,"DF,MF",30-34,Defender,France,Europe
1125,Lucas Hernández,FRA,Bayern Munich,Bundesliga,2020,24.0,1996.0,17.7,4,0,0,16,31,0,47,19,31,1,1,0,104,39,21,65.0,DF,20-24,Defender,France,Europe
1127,Theo Hernández,FRA,Milan,Serie A,2020,22.0,1997.0,32.6,9,0,0,39,81,6,76,34,29,2,0,0,211,50,25,66.7,DF,20-24,Defender,France,Europe
1128,Hernani,BRA,Parma,Serie A,2020,26.0,1994.0,24.3,11,0,0,50,23,1,85,31,25,0,0,0,108,29,21,58.0,MF,25-29,Midfielder,Brazil,South America
1130,Héctor Herrera,MEX,Atlético Madrid,La Liga,2020,30.0,1990.0,7.6,2,0,0,9,6,1,5,14,7,0,0,0,59,15,14,51.7,MF,30-34,Midfielder,Mexico,North America
1132,Yangel Herrera,VEN,Granada,La Liga,2020,22.0,1998.0,25.7,7,0,0,69,59,5,11,26,26,1,1,0,145,122,115,51.5,MF,20-24,Midfielder,Venezuela,South America
1133,Patrick Herrmann,GER,Gladbach,Bundesliga,2020,29.0,1991.0,9.7,3,0,0,13,15,7,47,10,6,0,0,0,49,4,11,26.7,"FW,MF",25-29,Forward,Germany,Europe
1137,Aaron Hickey,SCO,Bologna,Serie A,2020,18.0,2002.0,8.4,3,1,0,11,14,0,7,15,8,0,0,0,51,6,5,54.5,DF,Under 20,Defender,Scotland,Europe
1139,Martin Hinteregger,AUT,Eint Frankfurt,Bundesliga,2020,27.0,1992.0,28.1,4,0,0,33,35,0,5,44,49,2,1,1,192,106,47,69.3,DF,25-29,Defender,Austria,Europe
1140,Marwin Hitz,SUI,Dortmund,Bundesliga,2020,32.0,1987.0,15.5,1,0,0,0,2,0,0,0,1,0,0,0,23,0,0,,GK,30-34,Goalkeeper,Switzerland,Europe
1142,Ki-Jana Hoever,NED,Wolves,Premier League,2020,18.0,2002.0,6.4,1,0,0,4,4,1,21,9,6,0,0,0,45,6,9,40.0,"DF,MF",Under 20,Defender,Netherlands,Europe
1143,Nicolas Höfler,GER,Freiburg,Bundesliga,2020,30.0,1990.0,30.3,11,0,0,70,34,0,10,66,28,1,2,0,183,62,45,57.9,MF,30-34,Midfielder,Germany,Europe
1144,Jonas Hofmann,GER,Gladbach,Bundesliga,2020,28.0,1992.0,20.2,1,0,0,19,19,9,141,27,20,0,0,0,121,7,15,31.8,"FW,MF",25-29,Forward,Germany,Europe
1144,Jonas Hofmann,GER,Gladbach,Bundesliga,2020,28.0,1992.0,20.2,1,0,0,19,19,9,141,27,20,0,0,0,121,7,15,31.8,"FW,MF",25-29,Forward,Germany,Europe
1144,Jonas Hofmann,GER,Gladbach,Bundesliga,2020,28.0,1992.0,20.2,1,0,0,19,19,9,141,27,20,0,0,0,121,7,15,31.8,"FW,MF",25-29,Forward,Germany,Europe
1144,Jonas Hofmann,GER,Gladbach,Bundesliga,2020,28.0,1992.0,20.2,1,0,0,19,19,9,141,27,20,0,0,0,121,7,15,31.8,"FW,MF",25-29,Forward,Germany,Europe
1145,Marco Höger,GER,Köln,Bundesliga,2020,30.0,1989.0,0.6,0,0,0,0,1,0,2,2,0,0,0,0,1,4,5,44.4,"DF,MF",30-34,Defender,Germany,Europe
1146,Rob Holding,ENG,Arsenal,Premier League,2020,24.0,1995.0,28.4,2,0,0,25,5,2,2,24,20,0,0,1,138,71,60,54.2,DF,20-24,Defender,England,Europe
1147,Lucas Höler,GER,Freiburg,Bundesliga,2020,26.0,1994.0,23.2,5,0,0,26,77,13,22,16,24,1,0,0,103,71,65,52.2,"FW,MF",25-29,Forward,Germany,Europe
1148,Mason Holgate,ENG,Everton,Premier League,2020,23.0,1996.0,25.4,9,0,0,29,29,1,26,35,36,0,0,0,139,39,20,66.1,DF,20-24,Defender,England,Europe
1150,Franck Honorat,FRA,Brest,Ligue 1,2020,23.0,1996.0,27.3,3,0,0,37,14,3,185,11,13,0,1,0,124,22,25,46.8,"MF,FW",20-24,Midfielder,France,Europe
1152,Jannes Horn,GER,Köln,Bundesliga,2020,23.0,1997.0,19.6,6,0,0,15,22,0,51,10,19,0,0,0,100,23,22,51.1,DF,20-24,Defender,Germany,Europe
1153,Timo Horn,GER,Köln,Bundesliga,2020,27.0,1993.0,33.4,0,0,0,0,1,0,0,0,0,0,0,0,59,3,1,75.0,GK,25-29,Goalkeeper,Germany,Europe
1154,Fraser Hornby,SCO,Reims,Ligue 1,2020,20.0,1999.0,0.4,1,0,0,1,0,0,0,1,0,0,0,0,2,2,2,50.0,"FW,MF",20-24,Forward,Scotland,Europe
1155,Conor Hourihane,IRL,Aston Villa,Premier League,2020,29.0,1991.0,2.5,0,0,0,1,0,0,27,0,0,0,0,0,11,2,0,100.0,MF,25-29,Midfielder,Republic of Ireland,Europe
1158,Florian Hübner,GER,Union Berlin,Bundesliga,2020,29.0,1991.0,5.8,3,0,0,10,8,0,1,13,5,0,0,0,26,19,11,63.3,DF,25-29,Defender,Germany,Europe
1159,Callum Hudson-Odoi,ENG,Chelsea,Premier League,2020,19.0,2000.0,11.8,0,0,0,11,8,5,58,6,15,0,0,0,47,1,9,10.0,"FW,DF",Under 20,Forward,England,Europe
1161,Mats Hummels,GER,Dortmund,Bundesliga,2020,31.0,1988.0,31.3,6,0,0,27,15,7,1,73,40,0,0,0,232,127,46,73.4,DF,30-34,Defender,Germany,Europe
1162,Adrien Hunou,FRA,Rennes,Ligue 1,2020,26.0,1994.0,6.5,1,0,0,7,8,1,1,1,3,0,0,0,14,9,13,40.9,"FW,MF",25-29,Forward,France,Europe
1164,Elseid Hysaj,ALB,Napoli,Serie A,2020,26.0,1994.0,19.6,2,0,0,16,20,0,18,30,17,0,1,0,116,18,13,58.1,DF,25-29,Defender,Albania,Europe
1166,Simone Iacoponi,ITA,Parma,Serie A,2020,33.0,1987.0,13.3,3,1,0,15,14,2,13,11,12,0,0,2,72,12,9,57.1,DF,30-34,Defender,Italy,Europe
1167,Iago,BRA,Augsburg,Bundesliga,2020,23.0,1997.0,17.3,2,0,0,11,11,0,48,22,27,0,1,0,80,21,28,42.9,DF,20-24,Defender,Brazil,South America
1172,Zlatan Ibrahimović,SWE,Milan,Serie A,2020,38.0,1981.0,16.6,2,1,0,33,25,40,15,6,4,2,0,0,21,83,41,66.9,FW,35-39,Forward,Sweden,Europe
1176,Odion Ighalo,NGA,Manchester Utd,Premier League,2020,31.0,1989.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,FW,30-34,Forward,Nigeria,Africa
1179,Igor,BRA,Fiorentina,Serie A,2020,22.0,1998.0,13.0,5,0,0,21,6,1,4,23,9,0,1,0,59,10,13,43.5,DF,20-24,Defender,Brazil,South America
1179,Igor,BRA,Fiorentina,Serie A,2020,22.0,1998.0,13.0,5,0,0,21,6,1,4,23,9,0,1,0,59,10,13,43.5,DF,20-24,Defender,Brazil,South America
1179,Igor,BRA,Fiorentina,Serie A,2020,22.0,1998.0,13.0,5,0,0,21,6,1,4,23,9,0,1,0,59,10,13,43.5,DF,20-24,Defender,Brazil,South America
1179,Igor,BRA,Fiorentina,Serie A,2020,22.0,1998.0,13.0,5,0,0,21,6,1,4,23,9,0,1,0,59,10,13,43.5,DF,20-24,Defender,Brazil,South America
1180,Kelechi Iheanacho,NGA,Leicester City,Premier League,2020,23.0,1996.0,16.2,1,0,0,26,13,9,13,2,5,0,1,0,59,7,38,15.6,FW,20-24,Forward,Nigeria,Africa
1186,Stefan Ilsanker,AUT,Eint Frankfurt,Bundesliga,2020,31.0,1989.0,17.5,4,0,0,29,12,1,6,30,20,0,1,0,121,28,23,54.9,"MF,DF",30-34,Midfielder,Austria,Europe
1188,Riccardo Improta,ITA,Benevento,Serie A,2020,26.0,1993.0,25.9,7,0,0,23,55,2,77,28,23,0,0,1,121,49,49,50.0,"DF,MF",25-29,Defender,Italy,Europe
1189,Roberto Inglese,ITA,Parma,Serie A,2020,28.0,1991.0,6.4,2,0,0,14,10,8,4,0,2,0,0,0,19,15,15,50.0,FW,25-29,Forward,Italy,Europe
1190,Danny Ings,ENG,Southampton,Premier League,2020,28.0,1992.0,24.1,1,0,0,19,18,18,19,3,13,0,1,0,73,23,72,24.2,FW,25-29,Forward,England,Europe
1192,Lorenzo Insigne,ITA,Napoli,Serie A,2020,29.0,1991.0,31.8,2,1,0,9,39,11,113,37,18,0,0,0,199,2,5,28.6,FW,25-29,Forward,Italy,Europe
1193,Roberto Insigne,ITA,Benevento,Serie A,2020,26.0,1994.0,17.8,2,0,0,13,15,3,47,7,10,0,0,0,79,5,19,20.8,"MF,FW",25-29,Midfielder,Italy,Europe
1195,Takashi Inui,JPN,Eibar,La Liga,2020,32.0,1988.0,20.2,0,0,0,28,18,7,87,12,8,1,0,0,89,6,20,23.1,"MF,FW",30-34,Midfielder,Japan,Asia
1197,Alexander Isak,SWE,Real Sociedad,La Liga,2020,20.0,1999.0,26.0,4,0,0,26,33,22,18,3,5,3,0,0,50,38,68,35.8,FW,20-24,Forward,Sweden,Europe
1199,Ardian Ismajli,ALB,Spezia,Serie A,2020,23.0,1996.0,14.4,3,1,1,19,13,0,0,23,9,0,0,0,68,40,28,58.8,DF,20-24,Defender,Albania,Europe
1202,Alex Iwobi,NGA,Everton,Premier League,2020,24.0,1996.0,17.1,0,0,0,13,12,0,69,16,10,0,0,0,93,3,8,27.3,"FW,MF",20-24,Forward,Nigeria,Africa
1205,Armando Izzo,ITA,Torino,Serie A,2020,28.0,1992.0,22.3,3,0,0,43,35,2,22,53,16,0,1,0,134,48,37,56.5,DF,25-29,Defender,Italy,Europe
1206,Phil Jagielka,ENG,Sheffield Utd,Premier League,2020,37.0,1982.0,5.8,1,1,0,8,1,0,1,10,4,0,0,1,36,13,11,54.2,DF,35-39,Defender,England,Europe
1208,Mato Jajalo,BIH,Udinese,Serie A,2020,32.0,1988.0,0.4,0,0,0,0,1,0,0,2,1,0,0,0,3,0,0,,MF,30-34,Midfielder,Bosnia and Herzegovina,Europe
1210,Daniel James,WAL,Manchester Utd,Premier League,2020,22.0,1997.0,10.1,3,0,0,14,14,4,20,0,9,0,0,0,45,5,15,25.0,FW,20-24,Forward,Wales,Europe
1211,Reece James,ENG,Chelsea,Premier League,2020,20.0,1999.0,26.4,3,0,0,31,17,1,144,17,35,0,1,0,153,40,24,62.5,DF,20-24,Defender,England,Europe
1211,Reece James,ENG,Chelsea,Premier League,2020,20.0,1999.0,26.4,3,0,0,31,17,1,144,17,35,0,1,0,153,40,24,62.5,DF,20-24,Defender,England,Europe
1211,Reece James,ENG,Chelsea,Premier League,2020,20.0,1999.0,26.4,3,0,0,31,17,1,144,17,35,0,1,0,153,40,24,62.5,DF,20-24,Defender,England,Europe
1211,Reece James,ENG,Chelsea,Premier League,2020,20.0,1999.0,26.4,3,0,0,31,17,1,144,17,35,0,1,0,153,40,24,62.5,DF,20-24,Defender,England,Europe
1213,Saidy Janko,GAM,Valladolid,La Liga,2020,24.0,1995.0,13.6,4,0,0,14,2,3,46,18,10,0,0,0,55,28,15,65.1,DF,20-24,Defender,Gambia,Africa
1215,Tony Jantschke,GER,Gladbach,Bundesliga,2020,30.0,1990.0,3.0,1,0,0,3,3,0,0,4,2,0,0,0,26,3,4,42.9,DF,30-34,Defender,Germany,Europe
1216,Adnan Januzaj,BEL,Real Sociedad,La Liga,2020,25.0,1995.0,11.3,2,0,0,8,36,2,73,3,8,1,0,0,60,8,11,42.1,"FW,MF",25-29,Forward,Belgium,Europe
1220,Corentin Jean,FRA,Lens,Ligue 1,2020,25.0,1995.0,6.4,3,0,0,14,16,2,17,2,3,2,0,0,19,5,17,22.7,"FW,MF",25-29,Forward,France,Europe
1223,Fredrik Jensen,FIN,Augsburg,Bundesliga,2020,22.0,1997.0,4.2,0,0,0,7,2,1,4,2,2,0,0,0,23,3,14,17.6,"FW,MF",20-24,Forward,Finland,Europe
1225,Gabriel Jesus,BRA,Manchester City,Premier League,2020,23.0,1997.0,22.9,2,0,0,28,46,17,11,15,6,1,1,0,86,18,53,25.4,FW,20-24,Forward,Brazil,South America
1226,Juan Jesus,BRA,Roma,Serie A,2020,29.0,1991.0,1.7,0,0,0,4,0,0,0,2,1,0,0,0,7,2,2,50.0,DF,25-29,Defender,Brazil,South America
1227,Raúl Jiménez,MEX,Wolves,Premier League,2020,29.0,1991.0,9.1,0,0,0,9,17,4,4,8,2,0,0,1,32,14,18,43.8,FW,25-29,Forward,Mexico,North America
1230,Joelinton,BRA,Newcastle Utd,Premier League,2020,23.0,1996.0,22.0,3,0,0,24,36,6,12,9,21,1,0,0,105,81,118,40.7,"FW,MF",20-24,Forward,Brazil,South America
1231,Marco John,GER,Hoffenheim,Bundesliga,2020,18.0,2002.0,11.1,1,0,0,5,14,1,27,16,15,0,1,0,57,8,23,25.8,DF,Under 20,Defender,Germany,Europe
