rk,player,nation,squad,comp,season,age,born,ninety_mins_played,yellow_cards,red_cards,second_yellow_cards,fouls,fouls_drawn,offsides,crosses,interceptions,tackles_won,penalties_won,penalties_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,position,age_range,general_position,country,continent
1371,Luca Kilian,GER,Mainz 05,Bundesliga,2021,21.0,1999.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,FW,20-24,Forward,Germany,Europe
1372,Luca Kilian,GER,Köln,Bundesliga,2021,21.0,1999.0,25.3,3,0,0,7,11,0,4,46,24,0,1,0,135,46,44,51.1,DF,20-24,Defender,Germany,Europe
1374,Joshua Kimmich,GER,Bayern Munich,Bundesliga,2021,26.0,1995.0,27.5,4,0,0,20,46,1,181,52,20,0,1,0,218,16,18,47.1,MF,25-29,Midfielder,Germany,Europe
1375,Presnel Kimpembe,FRA,Paris S-G,Ligue 1,2021,25.0,1995.0,28.6,6,0,0,28,26,0,2,38,19,0,2,0,138,49,20,71.0,DF,25-29,Defender,France,Europe
1379,Simon Kjær,DEN,Milan,Serie A,2021,32.0,1989.0,8.9,2,0,0,20,5,0,1,9,12,0,0,1,46,13,14,48.1,DF,30-34,Defender,Denmark,Europe
1381,Philipp Klement,GER,Stuttgart,Bundesliga,2021,28.0,1992.0,3.8,0,0,0,2,1,1,12,1,3,0,0,0,26,1,6,14.3,MF,25-29,Midfielder,Germany,Europe
1384,Mateo Klimowicz,GER,Stuttgart,Bundesliga,2021,21.0,2000.0,6.7,2,0,0,9,9,1,2,4,6,0,0,0,21,2,4,33.3,"MF,FW",20-24,Midfielder,Germany,Europe
1385,Fabian Klos,GER,Arminia,Bundesliga,2021,33.0,1987.0,15.8,2,1,0,30,18,3,11,0,5,0,0,0,38,114,107,51.6,FW,30-34,Forward,Germany,Europe
1386,Lukas Klostermann,GER,RB Leipzig,Bundesliga,2021,25.0,1996.0,18.3,1,0,0,9,4,0,3,26,16,0,0,0,101,23,11,67.6,DF,25-29,Defender,Germany,Europe
1387,Justin Kluivert,NED,Nice,Ligue 1,2021,22.0,1999.0,20.8,6,1,0,39,29,5,161,14,9,0,1,0,95,14,12,53.8,MF,20-24,Midfielder,Netherlands,Europe
