rk,player,nation,squad,comp,season,age,born,ninety_mins_played,tackles,tackles_won,def_third_tackles,mid_third_tackles,att_third_tackles,dribblers_tackled,dribblers_challenged,tackle_pct,challenges_lost,blocks,shots_blocked,passes_blocked,interceptions,tackles_interceptions,clearances,errors,position,age_range,general_position,country,continent
95,Djavan Anderson,NED,Lazio,Serie A,2020,25.0,1995.0,0.8,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,0,0,DF,25-29,Defender,Netherlands,Europe
97,Felipe Anderson,BRA,West Ham,Premier League,2020,27.0,1993.0,0.0,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,"FW,MF",25-29,Forward,Brazil,South America
98,Sebastian Andersson,SWE,Köln,Bundesliga,2020,29.0,1991.0,12.5,3,2,0,3,0,1,8,12.5,7,10,3,7,2,5,9,0,FW,25-29,Forward,Sweden,Europe
100,Benjamin André,FRA,Lille,Ligue 1,2020,29.0,1990.0,32.1,114,68,47,61,6,53,122,43.4,69,39,10,29,76,190,49,0,MF,25-29,Midfielder,France,Europe
101,Marcos André,BRA,Valladolid,La Liga,2020,23.0,1996.0,13.1,8,2,2,2,4,0,8,0.0,8,15,2,13,2,10,9,0,FW,20-24,Forward,Brazil,South America
101,Marcos André,BRA,Valladolid,La Liga,2020,23.0,1996.0,13.1,8,2,2,2,4,0,8,0.0,8,15,2,13,2,10,9,0,FW,20-24,Forward,Brazil,South America
101,Marcos André,BRA,Valladolid,La Liga,2020,23.0,1996.0,13.1,8,2,2,2,4,0,8,0.0,8,15,2,13,2,10,9,0,FW,20-24,Forward,Brazil,South America
101,Marcos André,BRA,Valladolid,La Liga,2020,23.0,1996.0,13.1,8,2,2,2,4,0,8,0.0,8,15,2,13,2,10,9,0,FW,20-24,Forward,Brazil,South America
102,Robert Andrich,GER,Union Berlin,Bundesliga,2020,25.0,1994.0,28.1,51,24,22,27,2,24,53,45.3,29,40,6,34,51,102,31,2,MF,25-29,Midfielder,Germany,Europe
110,Cristian Ansaldi,ARG,Torino,Serie A,2020,33.0,1986.0,21.6,48,33,25,14,9,24,38,63.2,14,21,7,14,16,64,38,0,"DF,FW",30-34,Defender,Argentina,South America
111,Waldemar Anton,GER,Stuttgart,Bundesliga,2020,24.0,1996.0,30.1,31,20,17,14,0,12,31,38.7,19,28,18,10,47,78,114,0,DF,20-24,Defender,Germany,Europe
112,Michail Antonio,JAM,West Ham,Premier League,2020,30.0,1990.0,21.9,7,4,1,5,1,1,7,14.3,6,20,3,17,7,14,7,0,FW,30-34,Forward,Jamaica,North America
114,Valentin Antov,BUL,Bologna,Serie A,2020,19.0,2000.0,2.6,4,2,3,1,0,3,10,30.0,7,6,5,1,4,8,13,0,DF,Under 20,Defender,Bulgaria,Europe
115,Houssem Aouar,ALG,Lyon,Ligue 1,2020,22.0,1998.0,19.8,17,12,0,13,4,8,25,32.0,17,17,1,16,17,34,4,0,"MF,FW",20-24,Midfielder,Algeria,Africa
116,Adil Aouchiche,FRA,Saint-Étienne,Ligue 1,2020,18.0,2002.0,19.2,38,20,12,17,9,13,49,26.5,36,15,1,14,10,48,6,0,"MF,FW",Under 20,Midfielder,France,Europe
117,Dennis Appiah,FRA,Nantes,Ligue 1,2020,28.0,1992.0,17.3,55,34,33,15,7,32,59,54.2,27,23,6,17,25,80,43,0,DF,25-29,Defender,France,Europe
119,Mauro Arambarri,URU,Getafe,La Liga,2020,24.0,1995.0,33.1,64,39,22,35,7,23,80,28.8,57,40,5,35,42,106,28,0,MF,20-24,Midfielder,Uruguay,South America
120,Charles Aránguiz,CHI,Leverkusen,Bundesliga,2020,31.0,1989.0,18.5,41,23,16,21,4,17,43,39.5,26,32,4,28,33,74,17,0,MF,30-34,Midfielder,Chile,South America
121,Luiz Araújo,BRA,Lille,Ligue 1,2020,24.0,1996.0,16.6,38,25,12,18,8,8,28,28.6,20,23,1,22,11,49,3,0,MF,20-24,Midfielder,Brazil,South America
125,Alphonse Areola,FRA,Fulham,Premier League,2020,27.0,1993.0,36.0,1,0,1,0,0,1,5,20.0,4,0,0,0,1,2,13,3,GK,25-29,Goalkeeper,France,Europe
126,Santiago Arias,COL,Leverkusen,Bundesliga,2020,28.0,1992.0,1.0,2,1,0,1,1,1,1,100.0,0,0,0,0,1,3,4,0,DF,25-29,Defender,Colombia,South America
127,Karim Aribi,ALG,Nîmes,Ligue 1,2020,26.0,1994.0,3.3,2,2,0,1,1,0,5,0.0,5,1,0,1,0,2,3,0,FW,25-29,Forward,Algeria,Africa
129,Nicolò Armini,ITA,Lazio,Serie A,2020,19.0,2001.0,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,DF,Under 20,Defender,Italy,Europe
130,Stuart Armstrong,SCO,Southampton,Premier League,2020,28.0,1992.0,30.7,60,41,19,32,9,27,75,36.0,48,26,1,25,24,84,19,0,MF,25-29,Midfielder,Scotland,Europe
