player_id,market_value_in_eur,player,competition_name,season,squad,decade
221316,15000000,Lucas Vázquez,La Liga,2018,Real Madrid,2010s
223725,9000000,Munir El Haddadi,La Liga,2018,Sevilla,2010s
225015,600000,Carlos Akapo,La Liga,2018,Huesca,2010s
225122,40000000,Gonçalo Guedes,Premier League,2018,Valencia,2010s
227081,10000000,Joaquín Correa,Serie A,2018,Lazio,2010s
227961,1000000,Jaime Mata,La Liga,2018,Getafe,2010s
228761,1500000,Jony,Serie A,2018,Alavs,2010s
228917,500000,Jorge Miramón,La Liga,2018,Huesca,2010s
229804,2500000,Aritz Elustondo,La Liga,2018,Real Sociedad,2010s
230784,8000000,Thomas Partey,Premier League,2018,Atltico Madrid,2010s
231572,30000000,Nélson Semedo,Premier League,2018,Barcelona,2010s
234523,7500000,Antonio Sanabria,Serie A,2018,Genoa,2010s
238868,1000000,Rubén Peña,La Liga,2018,Eibar,2010s
242497,5000000,Pere Pons,La Liga,2018,Girona,2010s
245056,1000000,Saša Lukić,Premier League,2018,Torino,2010s
246277,1500000,Burgui,La Liga,2018,Alavs,2010s
710131,12000000,Diego Llorente,La Liga,2018,Real Sociedad,2010s
247250,600000,Rubén Alcaraz,La Liga,2018,Valladolid,2010s
249730,1500000,Guillermo Maripán,Serie A,2018,Alavs,2010s
250845,35000000,José María Giménez,La Liga,2018,Atltico Madrid,2010s
251106,6000000,Enes Ünal,Premier League,2018,Valladolid,2010s
251876,5000000,Pablo Maffeo,La Liga,2018,Stuttgart,2010s
251878,15000000,Aarón Martín,Serie A,2018,Mainz 05,2010s
252677,2500000,José Luis Morales,La Liga,2018,Levante,2010s
253839,2000000,Álvaro Medrán,La Liga,2018,Rayo Vallecano,2010s
255284,2500000,Álex Granell,La Liga,2018,Girona,2010s
255488,7500000,Yeray Álvarez,La Liga,2018,Athletic Club,2010s
255508,25000000,Iñaki Williams,La Liga,2018,Athletic Club,2010s
255653,10000000,Santi Mina,La Liga,2018,Valencia,2010s
256120,300000,Wilfrid Kaptoum,La Liga,2018,Betis,2010s
1064403,5000000,Álvaro García,La Liga,2018,Rayo Vallecano,2010s
261504,1000000,Aleix García,Bundesliga,2018,Girona,2010s
262980,1500000,Jefferson Lerma,Premier League,2018,Bournemouth,2010s
263727,3500000,Joan Jordán,La Liga,2018,Eibar,2010s
263856,6000000,Víctor Camarasa,La Liga,2018,Cardiff City,2010s
266795,2500000,Gonzalo Escalante,La Liga,2018,Eibar,2010s
266807,20000000,Ángel Correa,La Liga,2018,Atltico Madrid,2010s
268176,2000000,Sergi Palencia,Ligue 1,2018,Bordeaux,2010s
268670,800000,Gerard Gumbau,La Liga,2018,Legans,2010s
276111,3500000,David Costas,La Liga,2018,Celta Vigo,2010s
278359,800000,Borja Iglesias,La Liga,2018,Espanyol,2010s
280730,20000000,Álvaro Odriozola,La Liga,2018,Real Madrid,2010s
281963,20000000,Lucas Hernández,Ligue 1,2018,Atltico Madrid,2010s
284727,5000000,Jonathan Calleri,La Liga,2018,Alavs,2010s
284854,10000000,Carles Aleñá,La Liga,2018,Barcelona,2010s
288230,80000000,Ousmane Dembélé,Ligue 1,2018,Barcelona,2010s
289236,3000000,Jon Bautista,La Liga,2018,Real Sociedad,2010s
289286,300000,Luca Sangalli,La Liga,2018,Real Sociedad,2010s
298976,7500000,Borja Mayoral,La Liga,2018,Levante,2010s
309110,500000,Brais Méndez,La Liga,2018,Celta Vigo,2010s
319745,17000000,Dani Ceballos,La Liga,2018,Real Madrid,2010s
327126,400000,Anuar,La Liga,2018,Valladolid,2010s
337066,800000,Toni Villa,La Liga,2018,Valladolid,2010s
338285,10000000,Unai Núñez,La Liga,2018,Athletic Club,2010s
339808,20000000,Theo Hernández,Serie A,2018,Real Sociedad,2010s
355628,2000000,Igor Zubeldia,La Liga,2018,Real Sociedad,2010s
356197,3500000,Alfonso Pedraza,La Liga,2018,Villarreal,2010s
357884,300000,Fernando Calero,La Liga,2018,Valladolid,2010s
357885,15000000,Pablo Fornals,La Liga,2018,Villarreal,2010s
369081,3000000,Federico Valverde,La Liga,2018,Real Madrid,2010s
370691,300000,Francis Guerrero,La Liga,2018,Betis,2010s
372246,25000000,Carlos Soler,Premier League,2018,Valencia,2010s
374139,100000,Junior Firpo,Premier League,2018,Betis,2010s
380598,800000,Santi Comesaña,La Liga,2018,Rayo Vallecano,2010s
398073,5000000,Achraf Hakimi,Ligue 1,2018,Dortmund,2010s
399887,1000000,Esteban Rolón,Serie A,2018,Genoa,2010s
423444,1500000,Fran Beltrán,La Liga,2018,Celta Vigo,2010s
447052,250000,Peru Nolaskoain,La Liga,2018,Athletic Club,2010s
448344,600000,Óscar Melendo,La Liga,2018,Espanyol,2010s
471474,100000,Javi Martínez,La Liga,2018,Bayern Munich,2010s
3333,12000000,James Milner,Premier League,2018,Liverpool,2010s
10003,3000000,Wes Morgan,Premier League,2018,Leicester City,2010s
11111,12000000,Ramiro Funes Mori,La Liga,2018,Villarreal,2010s
13507,10000000,Leighton Baines,Premier League,2018,Everton,2010s
13573,2500000,Simon Francis,Premier League,2018,Bournemouth,2010s
14086,5000000,Ashley Young,Premier League,2018,Manchester Utd,2010s
14221,5000000,Aaron Lennon,Premier League,2018,Burnley,2010s
15773,1500000,Phil Bardsley,Premier League,2018,Burnley,2010s
15799,5000000,Santi Cazorla,La Liga,2018,Villarreal,2010s
20007,5000000,Pablo Zabaleta,Premier League,2018,West Ham,2010s
389324,15000000,Fernandinho,Premier League,2018,Manchester City,2010s
26399,75000000,Sergio Agüero,La Liga,2018,Manchester City,2010s
29975,2500000,Andrew Surman,Premier League,2018,Bournemouth,2010s
33713,20000000,Theo Walcott,Premier League,2018,Everton,2010s
34691,3000000,Stephen Ward,Premier League,2018,Burnley,2010s
86759,30000000,David Silva,La Liga,2018,Manchester City,2010s
35564,8000000,Fernando Llorente,Serie A,2018,Tottenham,2010s
37304,8000000,Shane Long,Premier League,2018,Southampton,2010s
38145,1500000,Adrian Mariappa,Premier League,2018,Watford,2010s
40433,70000000,Alexis Sánchez,Serie A,2018,Manchester Utd,2010s
40611,20000000,Ryan Bertrand,Premier League,2018,Southampton,2010s
40613,9000000,Jack Cork,Premier League,2018,Burnley,2010s
41416,6000000,James McArthur,Premier League,2018,Crystal Palace,2010s
43003,13000000,Nacho Monreal,La Liga,2018,Arsenal,2010s
43530,25000000,Adam Lallana,Premier League,2018,Liverpool,2010s
43763,7000000,Erik Pieters,Premier League,2018,Amiens,2010s
44741,1250000,Beram Kayal,Premier League,2018,Brighton,2010s
546212,50000000,Diego Costa,Premier League,2018,Atltico Madrid,2010s
44983,3000000,Dan Gosling,Premier League,2018,Bournemouth,2010s
45693,3000000,Glenn Murray,Premier League,2018,Brighton,2010s
46001,20000000,Moussa Sissoko,Ligue 1,2018,Tottenham,2010s
46741,28000000,David Luiz,Premier League,2018,Chelsea,2010s
48002,9000000,Angelo Ogbonna,Premier League,2018,West Ham,2010s
48066,10000000,Andy Carroll,Premier League,2018,West Ham,2010s
49499,30000000,Georginio Wijnaldum,Serie A,2018,Liverpool,2010s
49501,3500000,Elias Kachunga,Premier League,2018,Huddersfield,2010s
49755,6000000,Dale Stephens,Premier League,2018,Brighton,2010s
646658,40000000,Aaron Ramsey,Ligue 1,2018,Arsenal,2010s
50174,30000000,Danny Rose,Premier League,2018,Tottenham,2010s
50201,22000000,Christian Benteke,Premier League,2018,Crystal Palace,2010s
50202,100000000,Eden Hazard,La Liga,2018,Chelsea,2010s
50362,10000000,Fabian Delph,Premier League,2018,Manchester City,2010s
51152,8000000,Aleksandar Mitrović,Premier League,2018,Fulham,2010s
55338,32000000,Willian,Premier League,2018,Chelsea,2010s
53622,30000000,İlkay Gündoğan,Premier League,2018,Manchester City,2010s
55125,1500000,Chris Löwe,Premier League,2018,Huddersfield,2010s
55735,35000000,Henrikh Mkhitaryan,Serie A,2018,Arsenal,2010s
55742,7000000,Harry Arter,Premier League,2018,Cardiff City,2010s
57500,35000000,César Azpilicueta,La Liga,2018,Chelsea,2010s
57842,3000000,Christopher Schindler,Premier League,2018,Huddersfield,2010s
59606,4000000,Craig Cathcart,Premier League,2018,Watford,2010s
61573,2000000,Jonathan Hogg,Premier League,2018,Huddersfield,2010s
61592,7000000,James Tomkins,Premier League,2018,Crystal Palace,2010s
61819,3500000,Charlie Daniels,Premier League,2018,Bournemouth,2010s
163532,5000000,Adam Smith,Premier League,2018,Bournemouth,2010s
62688,5000000,Scott Dann,Premier League,2018,Crystal Palace,2010s
63200,4000000,Ashley Barnes,Premier League,2018,Burnley,2010s
63494,8000000,Étienne Capoue,La Liga,2018,Watford,2010s
1004741,25000000,Pedro,Serie A,2018,Chelsea,2010s
65477,10000000,Troy Deeney,Premier League,2018,Watford,2010s
66100,12000000,Oriol Romeu,La Liga,2018,Southampton,2010s
66934,12000000,Cheikhou Kouyaté,Premier League,2018,Crystal Palace,2010s
68390,15000000,Séamus Coleman,Premier League,2018,Everton,2010s
69633,70000000,Christian Eriksen,Premier League,2018,Tottenham,2010s
70950,5000000,Mohamed Diamé,Premier League,2018,Newcastle Utd,2010s
73484,9000000,Tom Cleverley,Premier League,2018,Watford,2010s
74810,8000000,Ben Mee,Premier League,2018,Burnley,2010s
74869,12000000,Francis Coquelin,Ligue 1,2018,Valencia,2010s
76277,20000000,Laurent Koscielny,Ligue 1,2018,Arsenal,2010s
76467,5000000,Kiko Femenía,La Liga,2018,Watford,2010s
77760,30000000,Victor Wanyama,Premier League,2018,Tottenham,2010s
80197,13000000,Salomón Rondón,Premier League,2018,Newcastle Utd,2010s
80444,90000000,Philippe Coutinho,Premier League,2018,Barcelona,2010s
81512,7000000,Christian Kabasele,Serie A,2018,Watford,2010s
81999,4000000,Joselu,La Liga,2018,Newcastle Utd,2010s
82442,20000000,Olivier Giroud,Serie A,2018,Chelsea,2010s
82873,9000000,Pascal Groß,Bundesliga,2018,Brighton,2010s
86202,30000000,Antonio Rüdiger,La Liga,2018,Chelsea,2010s
86792,18000000,Xherdan Shaqiri,Ligue 1,2018,Liverpool,2010s
