player_id,player,nation,squad,comp,season,age,born,ninety_mins_played,shot_creating_actions,sca_per_90,pass_live_sca,pass_dead_sca,take_on_sca,shot_sca,foul_drawn_sca,defensive_action_sca,goal_creating_actions,gca_per_90,pass_live_gca,pass_dead_gca,take_on_gca,shot_gca,foul_drawn_gca,defensive_action_gca,position,age_range,general_position,country,continent
63531,Kwadwo Asamoah,GHA,Inter,Serie A,2019,30.0,1988.0,7.1,20,2.82,17,0,2,0,0,1,4,0.56,3,0,1,0,0,0,"DF,FW",30-34,Defender,Ghana,Africa
263183,Roger Assal,CIV,Legans,La Liga,2019,25.0,1993.0,5.9,19,3.22,12,0,2,0,5,0,3,0.51,1,0,0,0,2,0,"FW,MF",25-29,Forward,Ivory Coast,Africa
58864,Pierre-Emerick Aubameyang,GAB,Arsenal,Premier League,2019,30.0,1989.0,34.8,69,1.98,48,0,6,7,6,2,12,0.34,8,0,0,2,1,1,FW,30-34,Forward,Gabon,Africa
264956,Jean-Kvin Augustin,FRA,Monaco,Ligue 1,2019,22.0,1997.0,3.0,6,2.03,2,0,0,0,4,0,2,0.68,0,0,0,0,2,0,FW,20-24,Forward,France,Europe
127032,Serge Aurier,CIV,Tottenham,Premier League,2019,26.0,1992.0,30.0,50,1.67,44,2,2,0,1,1,6,0.2,6,0,0,0,0,0,DF,25-29,Defender,Ivory Coast,Africa
295313,Taiwo Awoniyi,NGA,Mainz 05,Bundesliga,2019,21.0,1997.0,5.4,13,2.43,9,0,4,0,0,0,0,0.0,0,0,0,0,0,0,"FW,MF",20-24,Forward,Nigeria,Africa
372713,Florian Ay,FRA,Brescia,Serie A,2019,22.0,1997.0,15.3,36,2.35,22,1,2,7,4,0,2,0.13,1,0,0,0,1,0,"FW,MF",20-24,Forward,France,Europe
108354,Jordan Ayew,GHA,Crystal Palace,Premier League,2019,27.0,1991.0,35.0,81,2.32,48,0,13,4,13,3,8,0.23,3,0,2,2,1,0,FW,25-29,Forward,Ghana,Africa
131667,Ramon Azeez,NGA,Granada,La Liga,2019,26.0,1992.0,15.1,22,1.46,13,1,0,3,3,2,1,0.07,1,0,0,0,0,0,MF,25-29,Midfielder,Nigeria,Africa
442805,Iddrisu Baba,GHA,Mallorca,La Liga,2019,23.0,1996.0,32.3,28,0.87,25,0,0,0,2,1,1,0.03,1,0,0,0,0,0,MF,20-24,Midfielder,Ghana,Africa
119235,Carlos Bacca,COL,Villarreal,La Liga,2019,32.0,1986.0,7.6,15,1.97,9,0,3,1,1,1,2,0.26,1,0,0,0,1,0,FW,30-34,Forward,Colombia,South America
463603,Benot Badiashile,FRA,Monaco,Ligue 1,2019,18.0,2001.0,15.7,9,0.57,7,1,0,1,0,0,0,0.0,0,0,0,0,0,0,DF,Under 20,Defender,France,Europe
4018,Daniel Baier,GER,Augsburg,Bundesliga,2019,35.0,1984.0,21.6,35,1.62,31,0,0,1,2,1,2,0.09,2,0,0,0,0,0,MF,35-39,Midfielder,Germany,Europe
387626,Leon Bailey,JAM,Leverkusen,Bundesliga,2019,21.0,1997.0,12.1,42,3.47,23,9,3,4,2,1,9,0.74,5,2,0,1,1,0,"FW,MF",20-24,Forward,Jamaica,North America
198589,Lewis Baker,ENG,Dsseldorf,Bundesliga,2019,24.0,1995.0,6.1,20,3.3,7,3,4,3,3,0,2,0.33,1,0,0,1,0,0,MF,20-24,Midfielder,England,Europe
238752,Keita Bald,SEN,Monaco,Ligue 1,2019,24.0,1995.0,9.5,30,3.15,21,0,2,4,3,0,5,0.52,3,0,0,1,1,0,"FW,MF",20-24,Forward,Senegal,Africa
146690,George Baldock,GRE,Sheffield Utd,Premier League,2019,26.0,1993.0,38.0,71,1.87,54,5,6,0,6,0,6,0.16,4,0,1,0,1,0,DF,25-29,Defender,Greece,Europe
39381,Gareth Bale,WAL,Real Madrid,La Liga,2019,30.0,1989.0,12.1,36,2.98,22,2,5,4,3,0,7,0.58,6,0,0,1,0,0,"FW,MF",30-34,Forward,Wales,Europe
296422,Fod Ballo-Tour,SEN,Monaco,Ligue 1,2019,22.0,1997.0,18.7,31,1.66,20,3,3,1,3,1,0,0.0,0,0,0,0,0,0,DF,20-24,Defender,Senegal,Africa
5348,Florent Balmont,FRA,Dijon,Ligue 1,2019,39.0,1980.0,4.5,8,1.8,4,2,0,2,0,0,0,0.0,0,0,0,0,0,0,MF,35-39,Midfielder,France,Europe
292818,Jonathan Bamba,CIV,Lille,Ligue 1,2019,23.0,1996.0,21.5,87,4.04,49,13,11,7,6,1,7,0.33,5,0,0,1,1,0,"FW,MF",20-24,Forward,Ivory Coast,Africa
12249,ver Banega,ARG,Sevilla,La Liga,2019,31.0,1988.0,27.5,132,4.8,79,43,2,2,5,1,11,0.4,6,3,1,0,1,0,MF,30-34,Midfielder,Argentina,South America
165873,Federico Barba,ITA,Valladolid,La Liga,2019,25.0,1993.0,5.0,6,1.2,4,1,0,0,1,0,1,0.2,1,0,0,0,0,0,DF,25-29,Defender,Italy,Europe
273438,Danilo Barbosa,BRA,Nice,Ligue 1,2019,23.0,1996.0,12.5,20,1.6,17,0,0,1,1,1,2,0.16,2,0,0,0,0,0,"DF,MF",20-24,Defender,Brazil,South America
15773,Phil Bardsley,SCO,Burnley,Premier League,2019,34.0,1985.0,21.0,22,1.05,14,4,0,1,0,3,2,0.1,0,1,0,0,0,1,DF,30-34,Defender,Scotland,Europe
255942,Nicol Barella,ITA,Inter,Serie A,2019,22.0,1997.0,22.4,61,2.73,50,1,3,2,5,0,5,0.22,4,0,0,0,1,0,MF,20-24,Midfielder,Italy,Europe
39828,Antonino Barill,ITA,Parma,Serie A,2019,31.0,1988.0,18.8,23,1.23,17,2,0,2,2,0,3,0.16,3,0,0,0,0,0,MF,30-34,Midfielder,Italy,Europe
131978,Ross Barkley,ENG,Chelsea,Premier League,2019,25.0,1993.0,12.3,52,4.24,35,1,6,5,3,2,6,0.49,5,0,0,1,0,0,MF,25-29,Midfielder,England,Europe
63200,Ashley Barnes,ENG,Burnley,Premier League,2019,29.0,1989.0,15.0,24,1.6,16,0,1,2,5,0,3,0.2,2,0,0,0,1,0,FW,25-29,Forward,England,Europe
398065,Harvey Barnes,ENG,Leicester City,Premier League,2019,21.0,1997.0,23.1,87,3.76,66,0,11,6,4,0,16,0.69,11,0,4,1,0,0,"MF,FW",20-24,Midfielder,England,Europe
241889,Antonio Barreca,ITA,Genoa,Serie A,2019,24.0,1995.0,12.2,15,1.23,11,2,1,1,0,0,1,0.08,1,0,0,0,0,0,"DF,FW",20-24,Defender,Italy,Europe
486624,Musa Barrow,GAM,Bologna,Serie A,2019,20.0,1998.0,15.0,80,5.32,52,8,12,6,2,0,10,0.66,5,0,4,1,0,0,"FW,MF",20-24,Forward,Gambia,Africa
36207,Fin Bartels,GER,Werder Bremen,Bundesliga,2019,32.0,1987.0,3.8,11,2.93,9,0,1,1,0,0,0,0.0,0,0,0,0,0,0,"MF,FW",30-34,Midfielder,Germany,Europe
134883,Daniele Baselli,ITA,Torino,Serie A,2019,27.0,1992.0,14.2,41,2.89,25,14,0,1,0,1,4,0.28,2,1,0,1,0,0,MF,25-29,Midfielder,Italy,Europe
334835,Toma Bai,CRO,Bordeaux,Ligue 1,2019,22.0,1996.0,11.0,35,3.18,22,12,1,0,0,0,4,0.36,1,3,0,0,0,0,MF,20-24,Midfielder,Croatia,Europe
315853,Alessandro Bastoni,ITA,Inter,Serie A,2019,20.0,1999.0,21.3,36,1.69,29,1,2,3,0,1,2,0.09,2,0,0,0,0,0,DF,20-24,Defender,Italy,Europe
34787,Julian Baumgartlinger,AUT,Leverkusen,Bundesliga,2019,31.0,1988.0,19.9,34,1.71,31,0,0,3,0,0,4,0.2,4,0,0,0,0,0,MF,30-34,Midfielder,Austria,Europe
324278,Christoph Baumgartner,AUT,Hoffenheim,Bundesliga,2019,19.0,1999.0,16.6,53,3.19,29,3,7,8,6,0,4,0.24,1,1,0,2,0,0,"MF,FW",Under 20,Midfielder,Austria,Europe
283001,Noah Joel Sarenren Bazee,NGA,Augsburg,Bundesliga,2019,22.0,1996.0,4.2,9,2.13,5,0,2,0,2,0,0,0.0,0,0,0,0,0,0,FW,20-24,Forward,Nigeria,Africa
188888,Sheraldo Becker,SUR,Union Berlin,Bundesliga,2019,24.0,1995.0,6.0,16,2.67,13,0,2,0,1,0,3,0.5,3,0,0,0,0,0,"MF,FW",20-24,Midfielder,Suriname,South America
282349,Timo Becker,GER,Schalke 04,Bundesliga,2019,22.0,1997.0,3.7,7,1.87,6,0,0,0,0,1,0,0.0,0,0,0,0,0,0,"DF,MF",20-24,Defender,Germany,Europe
21905,Valon Behrami,SUI,Genoa,Serie A,2019,34.0,1985.0,12.3,14,1.14,9,0,0,1,3,1,0,0.0,0,0,0,0,0,0,MF,30-34,Midfielder,Switzerland,Europe
111039,Ishak Belfodil,ALG,Hoffenheim,Bundesliga,2019,27.0,1992.0,3.0,11,3.69,8,0,2,1,0,0,0,0.0,0,0,0,0,0,0,"FW,MF",25-29,Forward,Algeria,Africa
138055,Haris Belkebla,ALG,Brest,Ligue 1,2019,25.0,1994.0,20.2,25,1.24,21,0,0,1,2,1,2,0.1,2,0,0,0,0,0,MF,25-29,Midfielder,Algeria,Africa
61087,Karim Bellarabi,GER,Leverkusen,Bundesliga,2019,29.0,1990.0,15.8,57,3.6,39,3,6,6,3,0,9,0.57,7,0,1,0,1,0,"FW,DF",25-29,Forward,Germany,Europe
450050,Jean-Ricner Bellegarde,FRA,Strasbourg,Ligue 1,2019,21.0,1998.0,16.6,51,3.07,40,5,2,0,4,0,5,0.3,4,0,0,0,1,0,MF,20-24,Midfielder,France,Europe
146854,Wissam Ben Yedder,FRA,Monaco,Ligue 1,2019,28.0,1990.0,24.0,90,3.74,70,0,9,6,4,1,10,0.42,5,0,1,2,2,0,FW,25-29,Forward,France,Europe
30059,Lars Bender,GER,Leverkusen,Bundesliga,2019,30.0,1989.0,15.3,36,2.36,27,5,1,2,1,0,2,0.13,2,0,0,0,0,0,"DF,MF",30-34,Defender,Germany,Europe
29993,Sven Bender,GER,Leverkusen,Bundesliga,2019,30.0,1989.0,30.3,14,0.46,12,0,0,1,1,0,2,0.07,2,0,0,0,0,0,DF,30-34,Defender,Germany,Europe
92693,Daro Benedetto,ARG,Marseille,Ligue 1,2019,29.0,1990.0,23.3,43,1.84,27,0,3,7,5,1,9,0.39,2,0,2,2,3,0,FW,25-29,Forward,Argentina,South America
119085,Loris Benito,SUI,Bordeaux,Ligue 1,2019,27.0,1992.0,21.1,31,1.47,26,3,0,1,0,1,4,0.19,3,1,0,0,0,0,DF,25-29,Defender,Switzerland,Europe
351816,Ismal Bennacer,ALG,Milan,Serie A,2019,21.0,1997.0,27.6,76,2.75,59,9,2,0,4,2,6,0.22,4,0,0,0,1,1,MF,20-24,Midfielder,Algeria,Africa
284732,Ramy Bensebaini,ALG,Gladbach,Bundesliga,2019,24.0,1995.0,16.1,27,1.68,21,1,0,2,2,1,5,0.31,4,0,0,1,0,0,DF,20-24,Defender,Algeria,Africa
50201,Christian Benteke,BEL,Crystal Palace,Premier League,2019,28.0,1990.0,14.0,42,3.0,30,0,3,4,3,2,6,0.43,6,0,0,0,0,0,FW,25-29,Forward,Belgium,Europe
18922,Karim Benzema,FRA,Real Madrid,La Liga,2019,31.0,1987.0,34.9,121,3.47,102,0,12,5,2,0,17,0.49,15,0,2,0,0,0,FW,30-34,Forward,France,Europe
177843,Domenico Berardi,ITA,Sassuolo,Serie A,2019,24.0,1994.0,27.7,119,4.3,77,13,4,14,10,1,13,0.47,10,0,0,2,1,0,FW,20-24,Forward,Italy,Europe
197300,Federico Bernardeschi,ITA,Juventus,Serie A,2019,25.0,1994.0,17.5,66,3.78,45,9,3,3,6,0,2,0.11,2,0,0,0,0,0,"MF,FW",25-29,Midfielder,Italy,Europe
719646,Bernardo,BRA,Brighton,Premier League,2019,24.0,1995.0,7.5,10,1.33,9,1,0,0,0,0,0,0.0,0,0,0,0,0,0,"DF,MF",20-24,Defender,Brazil,South America
40611,Ryan Bertrand,ENG,Southampton,Premier League,2019,29.0,1989.0,30.5,73,2.4,51,18,0,1,3,0,1,0.03,0,1,0,0,0,0,DF,25-29,Defender,England,Europe
320411,Philip Billing,DEN,Bournemouth,Premier League,2019,23.0,1996.0,28.1,50,1.78,38,3,3,3,2,1,3,0.11,3,0,0,0,0,0,MF,20-24,Midfielder,Denmark,Europe
124555,Cristiano Biraghi,ITA,Inter,Serie A,2019,26.0,1992.0,17.5,58,3.31,36,15,3,0,4,0,11,0.63,9,1,1,0,0,0,DF,25-29,Defender,Italy,Europe
163216,Dimitri Bisoli,ITA,Brescia,Serie A,2019,25.0,1994.0,23.9,47,1.97,35,0,4,3,4,1,3,0.13,2,0,0,0,1,0,MF,25-29,Midfielder,Italy,Europe
410425,Yves Bissouma,MLI,Brighton,Premier League,2019,22.0,1996.0,14.0,15,1.07,13,0,0,1,1,0,1,0.07,1,0,0,0,0,0,MF,20-24,Midfielder,Mali,Africa
288225,Ludovic Blas,FRA,Nantes,Ligue 1,2019,21.0,1997.0,20.5,64,3.12,48,0,9,2,2,3,6,0.29,4,0,1,0,0,1,"FW,MF",20-24,Forward,France,Europe
75446,Pablo de Blasis,ARG,Eibar,La Liga,2019,31.0,1988.0,17.8,43,2.41,33,6,1,2,0,1,3,0.17,2,0,0,1,0,0,"DF,MF",30-34,Defender,Argentina,South America
16922,Kevin-Prince Boateng,GHA,Fiorentina,Serie A,2019,32.0,1987.0,6.7,21,3.16,19,0,0,0,2,0,2,0.3,2,0,0,0,0,0,FW,30-34,Forward,Ghana,Africa
20778,Adam Bodzek,GER,Dsseldorf,Bundesliga,2019,33.0,1985.0,22.4,25,1.12,22,1,0,0,1,1,1,0.04,1,0,0,0,0,0,MF,30-34,Midfielder,Germany,Europe
182574,Jean-Paul Botius,NED,Mainz 05,Bundesliga,2019,25.0,1994.0,25.2,88,3.5,70,2,4,4,5,3,13,0.52,9,0,2,0,1,1,MF,25-29,Midfielder,Netherlands,Europe
412671,Quentin Boisgard,FRA,Toulouse,Ligue 1,2019,22.0,1997.0,12.7,43,3.38,23,9,5,2,2,2,4,0.31,2,2,0,0,0,0,"MF,FW",20-24,Midfielder,France,Europe
142310,Willy Boly,CIV,Wolves,Premier League,2019,28.0,1991.0,22.0,13,0.59,13,0,0,0,0,0,1,0.05,1,0,0,0,0,0,DF,25-29,Defender,Ivory Coast,Africa
57280,Giacomo Bonaventura,ITA,Milan,Serie A,2019,29.0,1989.0,14.9,78,5.26,53,1,8,9,7,0,13,0.88,7,0,1,2,3,0,"MF,FW",25-29,Midfielder,Italy,Europe
241527,Federico Bonazzoli,ITA,Sampdoria,Serie A,2019,22.0,1997.0,8.3,37,4.48,21,1,2,6,5,2,3,0.36,2,0,0,1,0,0,FW,20-24,Forward,Italy,Europe
247377,Kevin Bonifazi,ITA,Torino,Serie A,2019,23.0,1996.0,2.7,1,0.36,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,DF,20-24,Defender,Italy,Europe
338629,Sebastiaan Bornauw,BEL,Kln,Bundesliga,2019,20.0,1999.0,27.2,20,0.74,17,0,1,1,0,1,0,0.0,0,0,0,0,0,0,DF,20-24,Defender,Belgium,Europe
293592,Brandon Borrello,AUS,Freiburg,Bundesliga,2019,24.0,1995.0,3.3,6,1.81,2,0,2,0,2,0,1,0.3,0,0,0,0,1,0,"MF,FW",20-24,Midfielder,Australia,Oceania
236045,Denis Bouanga,GAB,Saint-tienne,Ligue 1,2019,24.0,1994.0,22.7,63,2.78,29,3,12,10,8,1,7,0.31,3,2,0,2,0,0,"FW,MF",20-24,Forward,Gabon,Africa
560593,Hicham Boudaoui,ALG,Nice,Ligue 1,2019,19.0,1999.0,5.4,13,2.39,9,0,1,1,2,0,3,0.55,3,0,0,0,0,0,"MF,FW",Under 20,Midfielder,Algeria,Africa
77826,Ryad Boudebouz,ALG,Saint-tienne,Ligue 1,2019,29.0,1990.0,17.7,67,3.78,41,21,3,1,1,0,5,0.28,3,1,0,1,0,0,"MF,FW",25-29,Midfielder,Algeria,Africa
202318,Farid Boulaya,ALG,Metz,Ligue 1,2019,26.0,1993.0,9.1,38,4.17,24,7,4,2,1,0,2,0.22,1,1,0,0,0,0,FW,25-29,Forward,Algeria,Africa
266359,Benjamin Bourigeaud,FRA,Rennes,Ligue 1,2019,25.0,1994.0,21.1,67,3.17,41,18,3,3,2,0,6,0.28,3,2,0,0,1,0,MF,25-29,Midfielder,France,Europe
314875,Jarrod Bowen,ENG,West Ham,Premier League,2019,22.0,1996.0,10.2,29,2.85,11,7,2,4,4,1,5,0.49,3,2,0,0,0,0,"FW,MF",20-24,Forward,England,Europe
85585,John Boye,GHA,Metz,Ligue 1,2019,32.0,1987.0,23.5,9,0.38,8,0,0,1,0,0,0,0.0,0,0,0,0,0,0,DF,30-34,Defender,Ghana,Africa
187492,Julian Brandt,GER,Dortmund,Bundesliga,2019,23.0,1996.0,24.5,84,3.43,69,3,8,3,1,0,19,0.78,16,0,2,1,0,0,"MF,FW",20-24,Midfielder,Germany,Europe
190338,Anthony Brianon,FRA,Nmes,Ligue 1,2019,24.0,1994.0,19.3,13,0.67,9,1,0,2,0,1,0,0.0,0,0,0,0,0,0,DF,20-24,Defender,France,Europe
18909,Jimmy Briand,FRA,Bordeaux,Ligue 1,2019,33.0,1985.0,16.9,32,1.89,22,1,1,1,5,2,2,0.12,1,0,1,0,0,0,FW,30-34,Forward,France,Europe
450417,Dylan Bronn,TUN,Metz,Ligue 1,2019,24.0,1995.0,9.0,2,0.22,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,DF,20-24,Defender,Tunisia,Africa
277033,David Brooks,WAL,Bournemouth,Premier League,2019,22.0,1997.0,5.6,12,2.13,8,1,0,1,1,1,1,0.18,0,0,0,1,0,0,"MF,FW",20-24,Midfielder,Wales,Europe
124732,John Brooks,USA,Wolfsburg,Bundesliga,2019,26.0,1993.0,24.7,14,0.57,11,0,0,3,0,0,1,0.04,0,0,0,1,0,0,DF,25-29,Defender,United States,North America
43984,Daniel Brosinski,GER,Mainz 05,Bundesliga,2019,31.0,1988.0,19.0,93,4.9,47,41,2,1,1,1,5,0.26,1,4,0,0,0,0,DF,30-34,Defender,Germany,Europe
131109,Gastn Brugman,URU,Parma,Serie A,2019,26.0,1992.0,16.2,32,1.98,24,2,2,0,2,2,3,0.19,3,0,0,0,0,0,MF,25-29,Midfielder,Uruguay,South America
46413,Ante Budimir,CRO,Mallorca,La Liga,2019,28.0,1991.0,30.7,53,1.73,28,2,3,11,8,1,7,0.23,4,0,2,0,1,0,FW,25-29,Forward,Croatia,Europe
