player_id,player,nation,squad,comp,season,age,born,ninety_mins_played,passes_attempted,live_ball_passes,dead_ball_passes,free_kick_passes,through_balls,switches,crosses,throw_ins,corner_kicks,inswinging_corners,outswinging_corners,straight_corners,passes_completed,passes_offside,passes_blocked,position,age_range,general_position,country,continent
59016,David Alaba,AUT,Bayern Munich,Bundesliga,2019,27.0,1992.0,27.8,2516,2397,115,55,5,14,29,56,4,0,1,0,2263,4,19,DF,25-29,Defender,Austria,Europe
434358,Sofiane Alakouch,MAR,Nmes,Ligue 1,2019,21.0,1998.0,15.6,798,601,196,13,0,4,29,183,0,0,0,0,648,1,20,DF,20-24,Defender,Morocco,Africa
193782,Lucas Alario,ARG,Leverkusen,Bundesliga,2019,26.0,1992.0,13.0,310,274,32,2,1,3,4,2,0,0,0,0,219,4,12,FW,25-29,Forward,Argentina,South America
314353,Trent Alexander-Arnold,ENG,Liverpool,Premier League,2019,20.0,1998.0,35.3,3230,2573,645,87,5,103,382,396,162,45,76,2,2278,12,69,DF,20-24,Defender,England,Europe
193130,Rachid Alioui,MAR,Angers,Ligue 1,2019,27.0,1992.0,17.4,476,438,38,2,0,2,15,2,1,1,0,0,345,0,10,FW,25-29,Forward,Morocco,Africa
385271,Allan,BRA,Napoli,Serie A,2019,28.0,1991.0,14.2,842,806,33,17,2,6,13,16,0,0,0,0,726,3,16,MF,25-29,Midfielder,Brazil,South America
207929,Dele Alli,ENG,Tottenham,Premier League,2019,23.0,1996.0,20.5,841,760,75,14,4,3,7,18,4,0,0,0,632,6,34,"MF,FW",20-24,Midfielder,England,Europe
476237,Steven Alzate,COL,Brighton,Premier League,2019,20.0,1998.0,13.2,661,605,55,6,1,2,8,49,0,0,0,0,556,1,15,"MF,DF",20-24,Midfielder,Colombia,South America
205503,Ibrahim Amadou,FRA,Norwich City,Premier League,2019,26.0,1993.0,8.4,374,364,9,6,0,0,1,3,0,0,0,0,324,1,3,"DF,MF",25-29,Defender,France,Europe
137841,Romain Amalfitano,FRA,Dijon,Ligue 1,2019,29.0,1989.0,18.8,898,873,24,12,5,9,25,8,4,1,3,0,702,1,8,MF,25-29,Midfielder,France,Europe
241229,Jordan Amavi,FRA,Marseille,Ligue 1,2019,25.0,1994.0,24.0,1236,1021,215,14,0,1,31,201,0,0,0,0,974,0,22,DF,25-29,Defender,France,Europe
344072,Kelvin Amian,FRA,Toulouse,Ligue 1,2019,21.0,1998.0,18.1,676,533,141,21,1,2,12,120,0,0,0,0,546,2,12,DF,20-24,Defender,France,Europe
232454,Nadiem Amiri,GER,Leverkusen,Bundesliga,2019,22.0,1996.0,20.6,1145,972,162,48,7,7,114,34,77,45,25,1,886,11,25,"MF,FW",20-24,Midfielder,Germany,Europe
260827,Joachim Andersen,DEN,Lyon,Ligue 1,2019,23.0,1996.0,17.0,1333,1303,27,26,2,19,1,1,0,0,0,0,1195,3,3,DF,20-24,Defender,Denmark,Europe
159372,Felipe Anderson,BRA,West Ham,Premier League,2019,26.0,1993.0,16.6,945,913,29,8,5,11,34,13,5,2,2,0,727,3,30,"MF,FW",25-29,Midfielder,Brazil,South America
147573,Sebastian Andersson,SWE,Union Berlin,Bundesliga,2019,28.0,1991.0,29.8,800,778,18,0,0,2,31,0,0,0,0,0,463,4,26,FW,25-29,Forward,Sweden,Europe
