rk,player,nation,squad,comp,season,age,born,ninety_mins_played,ga,penalties_allowed,free_kick_goals_allowed,corner_goals_allowed,own_goals,post_shot_xg,post_shot_xg_on_target,post_shot_xg_minus_ga,post_shot_xg_minus_ga_per_90,passes_completed_plus_40_yards,passes_attempted_plus_40_yards,passes_pct_plus_40_yards,total_passes_attempted,throws_attempted,launch_pct,avg_pass_length,goal_kicks_attempted,goal_kick_launch_pct,avg_goal_kick_length,crosses_faced,crosses_stopped,crosses_stopped_pct,defensive_actions_outside_penalty_area,defensive_opa_per_90,avg_defensive_action_distance,position,age_range,general_position,country,continent
117,Keylor Navas,CRC,Paris S-G,Ligue 1,2019,32,1986,21.0,18,0,0,0,1,17.5,0.27,+0.5,+0.02,35,91,38.5,405,76,16.5,26.8,137,17.5,26.7,188,3,1.6,8,0.38,12.5,GK,30-34,Goalkeeper,Costa Rica,North America
118,Neto,BRA,Barcelona,La Liga,2019,30,1989,2.0,2,0,0,0,0,1.6,0.54,-0.4,-0.19,5,10,50.0,46,5,15.2,24.5,15,20.0,24.2,22,1,4.5,4,2.00,16.6,GK,30-34,Goalkeeper,Brazil,South America
119,Manuel Neuer,GER,Bayern Munich,Bundesliga,2019,33,1986,33.0,31,3,0,6,1,34.6,0.28,+4.6,+0.14,139,276,50.4,1267,203,19.6,26.4,180,15.6,27.8,303,10,3.3,123,3.73,23.7,GK,30-34,Goalkeeper,Germany,Europe
120,Moritz Nicolas,GER,Union Berlin,Bundesliga,2019,21,1997,1.0,4,0,0,0,0,3.0,0.37,-1.0,-1.01,9,18,50.0,28,1,50.0,42.3,7,57.1,47.4,11,0,0.0,1,1.00,16.0,GK,20-24,Goalkeeper,Germany,Europe
121,Alexander Nübel,GER,Schalke 04,Bundesliga,2019,22,1996,25.7,40,4,1,5,2,35.8,0.28,-2.2,-0.09,132,394,33.5,791,109,34.8,33.8,207,57.5,45.0,339,22,6.5,23,0.89,13.8,GK,20-24,Goalkeeper,Germany,Europe
125,Robin Olsen,SWE,Cagliari,Serie A,2019,29,1990,16.9,24,4,0,1,2,23.2,0.22,+1.2,+0.07,87,246,35.4,328,62,49.7,40.2,159,52.2,42.4,293,8,2.7,5,0.30,10.1,GK,25-29,Goalkeeper,Sweden,Europe
126,David Ospina,COL,Napoli,Serie A,2019,30,1988,16.3,17,2,1,2,0,14.8,0.25,-2.2,-0.13,34,77,44.2,383,55,16.2,25.7,85,17.6,22.1,184,11,6.0,17,1.04,16.2,GK,30-34,Goalkeeper,Colombia,South America
127,Alexandre Oukidja,ALG,Metz,Ligue 1,2019,31,1988,26.5,31,3,0,5,0,30.4,0.22,-0.6,-0.02,186,593,31.4,675,101,60.6,43.8,208,88.5,59.4,471,32,6.8,31,1.17,14.1,GK,30-34,Goalkeeper,Algeria,Africa
129,Daniele Padelli,ITA,Inter,Serie A,2019,33,1985,3.0,4,1,0,2,0,3.7,0.34,-0.3,-0.10,3,17,17.6,69,14,20.3,29.9,24,12.5,25.2,55,2,3.6,2,0.67,12.2,GK,30-34,Goalkeeper,Italy,Europe
131,Rui Patrício,POR,Wolves,Premier League,2019,31,1988,38.0,40,1,1,6,1,35.5,0.26,-3.5,-0.09,250,528,47.3,578,127,53.1,39.0,283,78.1,48.7,530,20,3.8,11,0.29,11.7,GK,30-34,Goalkeeper,Portugal,Europe
133,Gianluca Pegolo,ITA,Sassuolo,Serie A,2019,38,1981,5.0,4,0,0,0,1,5.7,0.22,+2.7,+0.54,12,29,41.4,122,24,18.9,24.2,36,16.7,19.9,71,1,1.4,5,1.00,17.4,GK,35-39,Goalkeeper,Italy,Europe
134,Yohann Pelé,FRA,Marseille,Ligue 1,2019,36,1982,1.7,2,0,0,0,0,2.4,0.20,+0.4,+0.25,3,12,25.0,33,7,15.2,25.0,14,50.0,40.8,22,0,0.0,3,1.80,16.2,GK,35-39,Goalkeeper,France,Europe
135,Philipp Pentke,GER,Hoffenheim,Bundesliga,2019,34,1985,4.0,4,1,0,0,0,6.2,0.25,+2.2,+0.55,13,46,28.3,133,26,27.1,30.5,30,33.3,37.9,80,4,5.0,11,2.75,17.0,GK,30-34,Goalkeeper,Germany,Europe
138,Mattia Perin,ITA,Genoa,Serie A,2019,26,1992,21.0,38,1,1,3,1,34.6,0.33,-2.4,-0.12,129,373,34.6,538,90,51.3,40.1,189,51.3,41.6,341,18,5.3,12,0.57,12.8,GK,25-29,Goalkeeper,Italy,Europe
139,Pavao Pervan,AUT,Wolfsburg,Bundesliga,2019,31,1987,8.0,8,1,0,0,0,11.4,0.28,+3.4,+0.42,48,120,40.0,202,37,44.1,36.4,62,50.0,44.0,104,3,2.9,12,1.50,16.3,GK,30-34,Goalkeeper,Austria,Europe
140,Danijel Petković,MNE,Angers,Ligue 1,2019,26,1993,2.0,1,0,0,0,0,1.1,0.16,+0.1,+0.06,15,27,55.6,34,10,44.1,35.0,19,63.2,46.6,43,4,9.3,0,0.00,4.7,GK,25-29,Goalkeeper,Montenegro,Europe
142,Jordan Pickford,ENG,Everton,Premier League,2019,25,1994,38.0,56,3,3,5,3,50.2,0.32,-2.8,-0.07,270,730,37.0,1115,195,50.8,40.1,264,62.1,48.5,510,24,4.7,25,0.66,13.4,GK,25-29,Goalkeeper,England,Europe
143,Carlo Pinsoglio,ITA,Juventus,Serie A,2019,29,1990,0.2,0,0,0,0,0,0.0,,0.0,0.00,0,0,,1,0,0.0,17.0,2,0.0,19.0,0,0,,0,0.00,,GK,25-29,Goalkeeper,Italy,Europe
144,Nick Pope,ENG,Burnley,Premier League,2019,27,1992,38.0,50,4,0,7,1,45.7,0.25,-3.3,-0.09,263,870,30.2,883,180,67.6,47.1,304,89.8,63.7,623,52,8.3,48,1.26,14.9,GK,25-29,Goalkeeper,England,Europe
145,Ionuț Radu,ROU,Genoa,Serie A,2019,22,1997,17.0,35,6,2,4,1,31.3,0.26,-2.7,-0.16,61,169,36.1,504,90,29.0,31.0,152,15.1,26.1,252,8,3.2,7,0.41,11.1,GK,20-24,Goalkeeper,Romania,Europe
147,Rafael,BRA,Cagliari,Serie A,2019,37,1982,5.0,11,2,0,0,0,7.6,0.33,-3.4,-0.68,33,71,46.5,109,18,51.4,37.0,46,32.6,31.3,98,3,3.1,3,0.59,11.1,GK,35-39,Goalkeeper,Brazil,South America
149,Aaron Ramsdale,ENG,Bournemouth,Premier League,2019,21,1998,37.0,62,5,4,4,0,60.7,0.30,-1.3,-0.04,183,607,30.1,843,185,48.2,39.2,288,69.8,53.5,591,20,3.4,25,0.68,11.6,GK,20-24,Goalkeeper,England,Europe
150,Darren Randolph,IRL,West Ham,Premier League,2019,32,1987,2.0,5,1,0,1,0,4.5,0.32,-0.5,-0.25,14,29,48.3,26,4,61.5,43.1,14,92.9,57.3,34,0,0.0,3,1.50,16.8,GK,30-34,Goalkeeper,Republic of Ireland,Europe
155,Baptiste Reynet,FRA,Toulouse,Ligue 1,2019,28,1990,22.6,49,3,1,3,1,36.9,0.27,-11.1,-0.49,181,463,39.1,616,80,50.0,38.2,228,68.0,48.6,357,9,2.5,23,1.02,16.1,GK,25-29,Goalkeeper,France,Europe
160,Antonio Rosati,ITA,Torino,Serie A,2019,36,1983,1.0,1,0,0,0,0,0.4,0.09,-0.6,-0.57,9,16,56.3,20,6,35.0,30.9,15,60.0,40.9,13,0,0.0,0,0.00,9.3,GK,35-39,Goalkeeper,Italy,Europe
161,Francesco Rossi,ITA,Atalanta,Serie A,2019,28,1991,0.1,1,0,0,0,0,0.4,0.45,-0.6,-4.53,1,1,100.0,3,1,33.3,30.3,0,,,0,0,,0,0.00,,GK,25-29,Goalkeeper,Italy,Europe
163,Stéphane Ruffier,FRA,Saint-Étienne,Ligue 1,2019,32,1986,22.0,40,3,0,1,0,33.3,0.30,-6.7,-0.31,102,287,35.5,463,72,41.3,34.8,159,60.4,43.1,249,9,3.6,15,0.68,12.7,GK,30-34,Goalkeeper,France,Europe
164,Gerónimo Rulli,ARG,Montpellier,Ligue 1,2019,27,1992,25.0,27,3,1,2,1,28.4,0.20,+2.4,+0.10,186,359,51.8,677,150,35.6,33.7,203,58.1,45.2,360,16,4.4,25,1.00,15.0,GK,25-29,Goalkeeper,Argentina,South America
165,Mathew Ryan,AUS,Brighton,Premier League,2019,27,1992,38.0,54,2,0,7,2,50.2,0.29,-1.8,-0.05,207,412,50.2,1201,255,25.3,29.0,274,39.4,33.4,526,20,3.8,26,0.68,13.7,GK,25-29,Goalkeeper,Australia,Oceania
166,Frederik Rønnow,DEN,Eint Frankfurt,Bundesliga,2019,26,1992,9.0,14,2,0,0,0,14.3,0.26,+0.3,+0.04,78,172,45.3,280,37,48.9,37.9,62,56.5,45.0,116,4,3.4,11,1.22,17.4,GK,25-29,Goalkeeper,Denmark,Europe
167,Romain Salin,FRA,Rennes,Ligue 1,2019,35,1984,4.0,5,0,0,0,0,5.4,0.24,+0.4,+0.10,21,54,38.9,94,24,30.9,33.4,36,69.4,47.3,80,2,2.5,3,0.75,14.6,GK,35-39,Goalkeeper,France,Europe
168,Kasper Schmeichel,DEN,Leicester City,Premier League,2019,32,1986,38.0,41,8,0,5,2,44.3,0.26,+5.3,+0.14,180,398,45.2,951,159,31.5,33.0,241,40.7,36.1,507,14,2.8,34,0.89,17.2,GK,30-34,Goalkeeper,Denmark,Europe
169,Markus Schubert,GER,Schalke 04,Bundesliga,2019,21,1998,8.2,18,2,1,4,0,18.5,0.31,+0.5,+0.06,44,155,28.4,252,29,46.0,37.6,60,65.0,46.4,149,6,4.0,8,0.97,12.7,GK,20-24,Goalkeeper,Germany,Europe
170,Alexander Schwolow,GER,Freiburg,Bundesliga,2019,27,1992,23.2,32,3,0,5,0,31.9,0.25,-0.1,0.00,153,429,35.7,726,120,34.4,34.3,249,71.9,55.1,381,13,3.4,14,0.60,12.9,GK,25-29,Goalkeeper,Germany,Europe
171,Matz Sels,BEL,Strasbourg,Ligue 1,2019,27,1992,27.0,32,6,0,3,0,33.4,0.26,+1.4,+0.05,199,458,43.4,651,111,49.3,39.6,201,68.2,51.3,335,17,5.1,9,0.33,11.0,GK,25-29,Goalkeeper,Belgium,Europe
172,Luigi Sepe,ITA,Parma,Serie A,2019,28,1991,34.0,53,6,1,10,0,54.8,0.25,+1.8,+0.05,225,471,47.8,801,115,42.4,37.1,327,40.1,32.0,624,20,3.2,10,0.29,12.2,GK,25-29,Goalkeeper,Italy,Europe
173,Rui Silva,POR,Granada,La Liga,2019,25,1994,35.0,42,4,1,5,0,42.8,0.27,+0.8,+0.02,304,823,36.9,974,115,59.9,43.1,299,80.3,55.8,499,25,5.0,66,1.89,16.6,GK,25-29,Goalkeeper,Portugal,Europe
174,Marco Silvestri,ITA,Hellas Verona,Serie A,2019,28,1991,35.0,43,7,1,6,1,44.9,0.24,+2.9,+0.08,182,687,26.5,650,74,63.1,43.7,330,83.9,55.3,547,17,3.1,15,0.43,11.0,GK,25-29,Goalkeeper,Italy,Europe
176,Salvatore Sirigu,ITA,Torino,Serie A,2019,32,1987,36.0,64,9,3,6,3,59.1,0.26,-1.9,-0.05,243,523,46.5,823,112,40.0,35.4,333,58.3,41.1,588,22,3.7,18,0.50,14.4,GK,30-34,Goalkeeper,Italy,Europe
179,Dennis Smarsch,GER,Hertha BSC,Bundesliga,2019,20,1999,1.7,4,0,0,1,0,2.3,0.21,-1.7,-0.99,10,26,38.5,53,8,30.2,32.7,16,62.5,45.1,15,1,6.7,3,1.79,12.9,GK,20-24,Goalkeeper,Germany,Europe
180,Yann Sommer,SUI,Gladbach,Bundesliga,2019,30,1988,34.0,40,1,1,3,0,47.5,0.29,+7.5,+0.22,180,418,43.1,1263,169,25.7,29.8,282,33.3,34.6,501,13,2.6,49,1.44,16.9,GK,30-34,Goalkeeper,Switzerland,Europe
183,Marco Sportiello,ITA,Atalanta,Serie A,2019,27,1992,5.8,5,0,0,0,0,4.8,0.26,-0.2,-0.04,9,28,32.1,124,32,12.1,26.9,26,50.0,38.8,52,3,5.8,10,1.71,19.7,GK,25-29,Goalkeeper,Italy,Europe
184,Jed Steer,ENG,Aston Villa,Premier League,2019,26,1992,0.1,,,,,,0.0,,,,,1,,1,,0.0,26.0,1,100.0,65.0,1,,,,,,GK,25-29,Goalkeeper,England,Europe
185,Zack Steffen,USA,Düsseldorf,Bundesliga,2019,24,1995,17.0,36,1,1,4,1,32.5,0.32,-2.5,-0.15,129,296,43.6,472,102,42.6,36.9,144,66.0,51.2,264,14,5.3,16,0.94,12.9,GK,20-24,Goalkeeper,United States,North America
186,Thomas Strakosha,ALB,Lazio,Serie A,2019,24,1995,38.0,42,7,1,7,1,44.4,0.24,+3.4,+0.09,148,368,40.2,938,143,32.0,31.2,291,23.4,26.0,474,10,2.1,18,0.47,13.6,GK,20-24,Goalkeeper,Albania,Europe
188,Ciprian Tătărușanu,ROU,Lyon,Ligue 1,2019,33,1986,2.0,2,0,0,0,0,1.9,0.18,-0.1,-0.03,8,12,66.7,54,16,18.5,27.2,7,28.6,32.1,10,3,30.0,7,3.50,15.4,GK,30-34,Goalkeeper,Romania,Europe
189,Marc-André ter Stegen,GER,Barcelona,La Liga,2019,27,1992,36.0,36,6,2,1,0,34.8,0.25,-1.2,-0.03,122,239,51.0,1206,177,15.3,25.7,224,24.6,29.4,379,18,4.7,39,1.08,15.2,GK,25-29,Goalkeeper,Germany,Europe
190,Pietro Terracciano,ITA,Fiorentina,Serie A,2019,29,1990,6.9,5,3,0,0,0,7.5,0.20,+2.5,+0.36,18,78,23.1,149,36,38.9,35.2,59,33.9,34.7,103,6,5.8,5,0.72,12.2,GK,25-29,Goalkeeper,Italy,Europe
191,Demba Thiam,SEN,SPAL,Serie A,2019,21,1998,2.0,4,1,0,1,0,3.2,0.14,-0.8,-0.40,8,21,38.1,42,10,31.0,31.0,27,29.6,25.9,36,2,5.6,0,0.00,10.3,GK,20-24,Goalkeeper,Senegal,Africa
192,Niclas Thiede,GER,Freiburg,Bundesliga,2019,20,1999,0.8,1,0,0,0,0,1.5,0.39,+0.5,+0.72,1,9,11.1,34,11,26.5,29.2,7,0.0,21.1,13,0,0.0,1,1.32,18.0,GK,20-24,Goalkeeper,Germany,Europe
193,Kevin Trapp,GER,Eint Frankfurt,Bundesliga,2019,29,1990,22.0,38,1,1,3,2,32.1,0.30,-3.9,-0.18,153,359,42.6,792,89,36.7,33.2,145,46.9,39.7,261,15,5.7,32,1.45,16.1,GK,25-29,Goalkeeper,Germany,Europe
194,Mark Travers,IRL,Bournemouth,Premier League,2019,20,1999,1.0,3,0,0,0,0,1.9,0.39,-1.1,-1.07,2,9,22.2,23,5,21.7,29.2,7,57.1,43.4,12,0,0.0,1,1.00,13.3,GK,20-24,Goalkeeper,Republic of Ireland,Europe
195,Stefano Turati,ITA,Sassuolo,Serie A,2019,17,2001,2.0,4,1,0,0,0,4.1,0.25,+0.1,+0.03,6,10,60.0,38,7,18.4,24.8,14,21.4,24.0,34,1,2.9,3,1.50,18.8,GK,Under 20,Goalkeeper,Italy,Europe
197,Sven Ulreich,GER,Bayern Munich,Bundesliga,2019,30,1988,1.0,1,0,0,0,0,1.1,0.42,+0.1,+0.12,2,7,28.6,42,5,14.3,24.0,10,10.0,20.4,11,0,0.0,1,1.00,14.3,GK,30-34,Goalkeeper,Germany,Europe
200,Mauro Vigorito,ITA,Lecce,Serie A,2019,29,1990,4.7,9,1,0,1,0,8.7,0.30,-0.3,-0.06,21,53,39.6,100,27,35.0,32.2,48,37.5,30.3,90,2,2.2,3,0.64,12.0,GK,25-29,Goalkeeper,Italy,Europe
202,Felix Wiedwald,GER,Eint Frankfurt,Bundesliga,2019,29,1990,3.0,8,0,0,2,0,5.5,0.27,-2.5,-0.85,22,40,55.0,77,15,35.1,33.2,24,54.2,40.5,41,1,2.4,5,1.67,13.5,GK,25-29,Goalkeeper,Germany,Europe
204,Robin Zentner,GER,Mainz 05,Bundesliga,2019,24,1994,21.5,40,1,0,6,1,36.6,0.31,-2.4,-0.11,129,389,33.2,594,146,44.8,36.8,197,62.4,49.2,347,20,5.8,17,0.79,13.6,GK,20-24,Goalkeeper,Germany,Europe
205,Leopold Zingerle,GER,Paderborn 07,Bundesliga,2019,25,1994,28.0,57,3,3,6,2,48.5,0.30,-6.5,-0.23,132,287,46.0,978,188,22.9,29.0,233,27.0,29.9,454,9,2.0,22,0.79,13.3,GK,25-29,Goalkeeper,Germany,Europe
1,Antonio Adán,ESP,Atlético Madrid,La Liga,2019,32,1987,0.3,0,0,0,0,0,0.0,0.04,0.0,+0.13,1,3,33.3,5,1,40.0,30.2,1,100.0,65.0,1,0,0.0,0,0.00,,GK,30-34,Goalkeeper,Spain,Europe
2,Adrián,ESP,Liverpool,Premier League,2019,32,1987,9.7,10,0,1,1,0,7.5,0.28,-2.5,-0.26,36,99,36.4,241,51,33.2,33.0,70,27.1,29.2,127,7,5.5,14,1.44,15.3,GK,30-34,Goalkeeper,Spain,Europe
6,Sergio Álvarez,ESP,Celta Vigo,La Liga,2019,32,1986,2.0,1,0,0,0,0,1.0,0.34,0.0,+0.01,5,18,27.8,35,6,25.7,30.1,19,47.4,38.8,37,0,0.0,1,0.50,16.0,GK,30-34,Goalkeeper,Spain,Europe
8,Miguel Ángel Moyá,ESP,Real Sociedad,La Liga,2019,35,1984,13.0,16,0,0,1,1,15.4,0.30,+0.4,+0.03,81,158,51.3,361,57,24.7,30.3,100,69.0,44.3,150,7,4.7,23,1.77,17.7,GK,35-39,Goalkeeper,Spain,Europe
11,Kepa Arrizabalaga,ESP,Chelsea,Premier League,2019,24,1994,33.0,47,2,2,7,2,33.7,0.32,-11.3,-0.34,83,250,33.2,892,151,20.6,28.3,198,33.3,32.7,343,20,5.8,35,1.06,16.0,GK,20-24,Goalkeeper,Spain,Europe
12,Sergio Asenjo,ESP,Villarreal,La Liga,2019,30,1989,34.0,41,5,0,8,1,38.7,0.23,-1.3,-0.04,130,397,32.7,750,157,33.2,33.2,282,52.5,41.6,576,16,2.8,27,0.79,14.1,GK,30-34,Goalkeeper,Spain,Europe
21,Rubén Blanco,ESP,Celta Vigo,La Liga,2019,24,1995,32.9,43,5,3,3,0,41.1,0.28,-1.9,-0.06,184,518,35.5,691,122,46.2,37.4,292,68.2,49.6,523,19,3.6,11,0.33,9.8,GK,20-24,Goalkeeper,Spain,Europe
28,Marcin Bułka,POL,Paris S-G,Ligue 1,2019,19,1999,1.0,0,0,0,0,0,0.4,0.20,+0.4,+0.40,0,0,,12,3,0.0,16.3,6,0.0,20.8,5,1,20.0,0,0.00,5.0,GK,Under 20,Goalkeeper,Poland,Europe
32,Churripi,ESP,Valladolid,La Liga,2019,25,1994,2.7,3,0,0,2,0,3.4,0.27,+0.4,+0.16,19,76,25.0,73,8,75.3,49.5,24,87.5,64.0,49,3,6.1,3,1.11,10.5,GK,25-29,Goalkeeper,Spain,Europe
41,Iván Cuéllar,ESP,Leganés,La Liga,2019,35,1984,27.0,33,1,1,7,0,30.7,0.30,-2.3,-0.09,213,598,35.6,605,107,66.0,46.1,217,91.7,63.2,396,11,2.8,38,1.41,16.2,GK,35-39,Goalkeeper,Spain,Europe
44,Marko Dmitrović,SRB,Eibar,La Liga,2019,27,1992,35.0,51,4,2,3,1,45.8,0.35,-4.2,-0.12,266,822,32.4,815,88,72.1,51.6,244,95.9,70.9,419,24,5.7,75,2.14,17.9,GK,25-29,Goalkeeper,Serbia,Europe
45,Jaume Doménech,ESP,Valencia,La Liga,2019,28,1990,14.7,23,1,1,3,0,21.0,0.26,-2.0,-0.13,95,233,40.8,329,68,41.9,34.2,132,72.0,48.7,234,6,2.6,6,0.41,10.8,GK,25-29,Goalkeeper,Spain,Europe
47,Bartłomiej Drągowski,POL,Fiorentina,Serie A,2019,21,1997,31.0,43,6,2,5,0,42.7,0.25,-0.3,-0.01,109,338,32.2,677,196,34.9,33.6,221,46.2,39.1,440,13,3.0,30,0.97,14.2,GK,20-24,Goalkeeper,Poland,Europe
50,Aarón Escandell,ESP,Granada,La Liga,2019,23,1995,3.0,3,0,0,0,0,3.1,0.22,+0.1,+0.03,25,76,32.9,100,22,62.0,42.5,26,53.8,46.7,39,2,5.1,2,0.67,13.6,GK,20-24,Goalkeeper,Spain,Europe
51,Łukasz Fabiański,POL,West Ham,Premier League,2019,34,1985,23.5,34,3,1,2,2,32.1,0.27,+0.1,0.00,189,455,41.5,480,100,60.2,43.5,192,86.5,58.6,382,11,2.9,8,0.34,10.3,GK,30-34,Goalkeeper,Poland,Europe
52,Fabricio,ESP,Mallorca,La Liga,2019,31,1987,1.0,3,1,0,1,0,2.3,0.23,-0.7,-0.74,6,14,42.9,24,6,41.7,38.0,9,44.4,40.1,7,0,0.0,0,0.00,8.3,GK,30-34,Goalkeeper,Spain,Europe
55,Aitor Fernández,ESP,Levante,La Liga,2019,28,1991,36.0,51,3,1,8,2,52.7,0.24,+3.7,+0.10,170,491,34.6,772,193,43.3,37.6,333,47.1,39.8,590,20,3.4,45,1.25,14.4,GK,25-29,Goalkeeper,Spain,Europe
56,Andrés Fernández,ESP,Villarreal,La Liga,2019,32,1986,4.0,8,3,0,2,1,6.5,0.19,-0.5,-0.11,16,45,35.6,112,16,25.0,28.0,43,39.5,34.3,72,3,4.2,0,0.00,10.2,GK,30-34,Goalkeeper,Spain,Europe
62,David de Gea,ESP,Manchester Utd,Premier League,2019,28,1990,38.0,36,3,1,8,1,34.7,0.25,-0.3,-0.01,83,262,31.7,672,153,28.4,30.6,268,26.5,29.0,489,10,2.0,22,0.58,15.0,GK,25-29,Goalkeeper,Spain,Europe
63,Rafał Gikiewicz,POL,Union Berlin,Bundesliga,2019,31,1987,33.0,54,3,0,7,1,48.9,0.29,-4.1,-0.12,374,823,45.4,1079,121,56.1,41.7,269,81.0,56.7,518,32,6.2,37,1.12,13.4,GK,30-34,Goalkeeper,Poland,Europe
67,Vicente Guaita,ESP,Crystal Palace,Premier League,2019,32,1987,35.0,42,0,0,3,2,47.4,0.33,+7.4,+0.21,202,625,32.3,783,173,51.3,38.8,274,81.4,56.8,591,23,3.9,24,0.69,12.3,GK,30-34,Goalkeeper,Spain,Europe
71,Samir Handanović,SVN,Inter,Serie A,2019,35,1984,35.0,32,2,0,3,1,29.3,0.24,-1.7,-0.05,111,222,50.0,853,189,18.2,27.2,267,25.1,28.9,490,24,4.9,19,0.54,11.8,GK,35-39,Goalkeeper,Slovenia,Europe
75,Sergio Herrera,ESP,Osasuna,La Liga,2019,26,1993,18.4,27,1,2,4,0,27.4,0.33,+0.4,+0.02,149,453,32.9,462,73,69.3,47.1,147,90.5,59.2,235,16,6.8,31,1.69,16.4,GK,25-29,Goalkeeper,Spain,Europe
76,Iago Herrerín,ESP,Athletic Club,La Liga,2019,31,1988,4.7,9,0,1,0,0,5.2,0.29,-3.8,-0.80,41,101,40.6,138,27,55.8,41.4,30,80.0,54.8,52,6,11.5,0,0.00,10.0,GK,30-34,Goalkeeper,Spain,Europe
81,Rune Jarstein,NOR,Hertha BSC,Bundesliga,2019,34,1984,28.3,46,7,3,5,2,42.2,0.25,-1.8,-0.06,262,563,46.5,786,117,50.8,39.2,224,73.2,50.6,458,33,7.2,20,0.71,12.0,GK,30-34,Goalkeeper,Norway,Europe
86,Tomáš Koubek,CZE,Augsburg,Bundesliga,2019,26,1992,24.0,51,0,0,3,2,42.7,0.35,-6.3,-0.26,145,457,31.7,623,102,49.3,40.3,212,70.8,53.4,366,13,3.6,34,1.42,15.7,GK,25-29,Goalkeeper,Czech Republic,Europe
98,Diego López,ESP,Espanyol,La Liga,2019,37,1981,35.9,58,6,0,4,2,53.9,0.31,-2.1,-0.06,218,661,33.0,834,118,54.1,41.1,302,69.5,49.8,474,26,5.5,50,1.39,15.9,GK,35-39,Goalkeeper,Spain,Europe
99,Pau López,ESP,Roma,Serie A,2019,24,1994,32.0,45,8,1,4,0,44.3,0.27,-0.7,-0.02,143,317,45.1,838,175,29.1,31.4,208,35.1,34.9,373,9,2.4,44,1.38,18.2,GK,20-24,Goalkeeper,Spain,Europe
103,Daniel Martín,ESP,Betis,La Liga,2019,21,1998,5.9,12,0,0,1,0,7.9,0.33,-4.1,-0.69,23,58,39.7,147,34,29.3,30.8,36,41.7,40.6,69,2,2.9,8,1.36,18.3,GK,20-24,Goalkeeper,Spain,Europe
106,Jordi Masip,ESP,Valladolid,La Liga,2019,30,1989,35.0,39,6,2,3,0,43.6,0.30,+4.6,+0.13,238,711,33.5,714,122,61.9,43.6,336,80.1,55.4,540,12,2.2,15,0.43,10.9,GK,30-34,Goalkeeper,Spain,Europe
108,Michael McGovern,NIR,Norwich City,Premier League,2019,35,1984,1.8,6,0,0,0,0,4.8,0.30,-1.2,-0.66,4,22,18.2,37,11,43.2,34.4,14,42.9,33.2,24,0,0.0,3,1.70,14.5,GK,35-39,Goalkeeper,Northern Ireland,Europe
122,Ørjan Nyland,NOR,Aston Villa,Premier League,2019,28,1990,6.0,12,0,0,0,0,8.5,0.31,-3.5,-0.59,33,104,31.7,128,29,46.9,40.0,53,83.0,57.1,80,4,5.0,1,0.17,9.9,GK,25-29,Goalkeeper,Norway,Europe
123,Jan Oblak,SVN,Atlético Madrid,La Liga,2019,26,1993,37.7,27,3,1,4,3,29.8,0.25,+5.8,+0.15,232,589,39.4,635,111,56.7,41.2,316,72.5,49.9,532,12,2.3,12,0.32,13.1,GK,25-29,Goalkeeper,Slovenia,Europe
124,Oier Olazábal,ESP,Espanyol,La Liga,2019,29,1989,2.0,0,0,0,0,0,0.5,0.18,+0.5,+0.27,6,17,35.3,51,15,21.6,31.1,12,50.0,41.4,21,3,14.3,0,0.00,7.8,GK,25-29,Goalkeeper,Spain,Europe
128,Fernando Pacheco,ESP,Alavés,La Liga,2019,27,1992,26.2,37,8,3,2,0,34.3,0.24,-2.7,-0.10,262,572,45.8,558,85,62.0,42.5,250,90.4,56.7,386,8,2.1,11,0.42,13.1,GK,25-29,Goalkeeper,Spain,Europe
130,Miquel Parera,ESP,Mallorca,La Liga,2019,23,1996,1.0,2,0,0,0,0,0.6,0.12,-1.4,-1.41,6,12,50.0,21,3,47.6,37.6,4,50.0,57.0,12,0,0.0,0,0.00,,GK,20-24,Goalkeeper,Spain,Europe
132,Jiří Pavlenka,CZE,Werder Bremen,Bundesliga,2019,27,1992,33.0,67,1,1,11,3,49.5,0.29,-14.5,-0.44,198,490,40.4,894,152,37.6,35.0,298,51.7,41.7,593,12,2.0,30,0.91,14.0,GK,25-29,Goalkeeper,Czech Republic,Europe
136,Juan Pérez,ESP,Osasuna,La Liga,2019,23,1996,2.0,3,1,0,0,0,2.6,0.18,-0.4,-0.22,12,38,31.6,50,10,56.0,44.6,14,71.4,52.9,27,0,0.0,3,1.50,18.2,GK,20-24,Goalkeeper,Spain,Europe
137,Samu Pérez,ESP,Valladolid,La Liga,2019,22,1997,0.3,1,1,0,0,0,1.0,0.00,0.0,-0.02,1,6,16.7,2,0,50.0,49.5,5,100.0,65.2,1,0,0.0,0,0.00,,GK,20-24,Goalkeeper,Spain,Europe
141,Denis Petrić,SRB,Nantes,Ligue 1,2019,31,1988,1.0,2,0,0,1,0,2.6,0.43,+0.6,+0.58,3,13,23.1,9,2,66.7,46.2,11,63.6,43.2,13,1,7.7,0,0.00,10.0,GK,30-34,Goalkeeper,Serbia,Europe
146,Boris Radunović,SRB,Hellas Verona,Serie A,2019,23,1996,3.0,8,2,1,1,0,6.2,0.28,-1.8,-0.59,12,33,36.4,47,10,42.6,37.3,14,92.9,65.6,23,0,0.0,1,0.33,12.6,GK,20-24,Goalkeeper,Serbia,Europe
