rk,player,nation,squad,comp,season,age,born,ninety_mins_played,ga,penalties_allowed,free_kick_goals_allowed,corner_goals_allowed,own_goals,post_shot_xg,post_shot_xg_on_target,post_shot_xg_minus_ga,post_shot_xg_minus_ga_per_90,passes_completed_plus_40_yards,passes_attempted_plus_40_yards,passes_pct_plus_40_yards,total_passes_attempted,throws_attempted,launch_pct,avg_pass_length,goal_kicks_attempted,goal_kick_launch_pct,avg_goal_kick_length,crosses_faced,crosses_stopped,crosses_stopped_pct,defensive_actions_outside_penalty_area,defensive_opa_per_90,avg_defensive_action_distance,position,age_range,general_position,country,continent
45,Stole Dimitrievski,MKD,Rayo Vallecano,La Liga,2018,24,1993,21.0,35,6,0,5,0,32.9,0.27,-2.1,-0.10,132,322,41.0,472,115,46.2,37.5,168,61.9,46.6,319,8,2.5,17,0.81,14.4,GK,20-24,Goalkeeper,North Macedonia,Europe
48,Gianluigi Donnarumma,ITA,Milan,Serie A,2018,19,1999,34.3,31,3,1,5,1,34.8,0.25,+4.8,+0.14,146,305,47.9,873,203,20.6,27.5,300,41.7,36.5,546,15,2.7,22,0.64,12.8,GK,Under 20,Goalkeeper,Italy,Europe
52,Martin Dúbravka,SVK,Newcastle Utd,Premier League,2018,29,1989,38.0,48,6,2,9,1,42.3,0.27,-4.7,-0.12,250,708,35.3,850,140,51.1,38.9,323,84.8,57.9,651,43,6.6,33,0.87,12.0,GK,25-29,Goalkeeper,Slovakia,Europe
53,Maxime Dupé,FRA,Nantes,Ligue 1,2018,25,1993,10.4,17,2,2,2,0,13.3,0.30,-3.7,-0.36,73,188,38.8,207,36,52.2,38.7,91,87.9,58.0,160,7,4.4,7,0.67,13.8,GK,25-29,Goalkeeper,France,Europe
54,Ederson,BRA,Manchester City,Premier League,2018,24,1993,38.0,23,4,1,5,0,23.3,0.25,+0.3,+0.01,98,239,41.0,919,188,17.1,26.8,189,43.4,42.9,282,19,6.7,41,1.08,16.9,GK,20-24,Goalkeeper,Brazil,South America
55,Michael Esser,GER,Hannover 96,Bundesliga,2018,30,1987,32.0,66,5,1,10,1,60.8,0.26,-4.2,-0.13,299,609,49.1,943,144,46.2,36.9,295,58.6,43.3,551,24,4.4,38,1.19,14.6,GK,30-34,Goalkeeper,Germany,Europe
56,Neil Etheridge,PHI,Cardiff City,Premier League,2018,28,1990,38.0,69,4,1,12,0,68.2,0.30,-0.8,-0.02,337,1076,31.3,876,51,86.6,53.9,319,99.4,65.6,536,15,2.8,46,1.21,15.4,GK,25-29,Goalkeeper,Philippines,Asia
59,Ralf Fährmann,GER,Schalke 04,Bundesliga,2018,29,1988,16.3,26,2,1,4,1,22.8,0.27,-2.2,-0.14,103,233,44.2,394,71,40.6,36.4,120,60.8,45.8,198,10,5.1,21,1.29,14.7,GK,25-29,Goalkeeper,Germany,Europe
62,Mark Flekken,NED,Freiburg,Bundesliga,2018,25,1993,1.0,1,0,0,0,0,0.9,0.18,-0.1,-0.11,5,11,45.5,24,1,37.5,38.1,5,40.0,44.6,7,0,0.0,0,0.00,15.5,GK,25-29,Goalkeeper,Netherlands,Europe
63,Fraser Forster,ENG,Southampton,Premier League,2018,30,1988,1.0,3,0,0,0,0,1.9,0.31,-1.1,-1.15,5,18,27.8,16,4,68.8,42.6,7,100.0,65.1,5,0,0.0,0,0.00,2.0,GK,30-34,Goalkeeper,England,Europe
64,Ben Foster,ENG,Watford,Premier League,2018,35,1983,38.0,59,4,2,6,3,55.5,0.30,-0.5,-0.01,340,941,36.1,942,98,69.9,45.9,308,91.9,63.2,575,31,5.4,72,1.89,16.9,GK,35-39,Goalkeeper,England,Europe
65,Pierluigi Frattali,ITA,Parma,Serie A,2018,32,1985,1.0,2,0,0,0,1,0.9,0.11,-0.1,-0.13,5,16,31.3,24,5,37.5,35.0,15,46.7,37.3,29,0,0.0,0,0.00,6.5,GK,30-34,Goalkeeper,Italy,Europe
67,Paulo Gazzaniga,ARG,Tottenham,Premier League,2018,26,1992,3.0,2,0,0,0,0,4.3,0.33,+2.3,+0.77,15,44,34.1,82,13,29.3,29.3,26,76.9,54.7,42,2,4.8,2,0.67,13.1,GK,25-29,Goalkeeper,Argentina,South America
69,Fabian Giefer,GER,Augsburg,Bundesliga,2018,28,1990,4.0,7,0,0,1,0,5.5,0.29,-1.5,-0.38,28,61,45.9,88,16,48.9,39.3,29,62.1,47.7,54,3,5.6,1,0.25,10.1,GK,25-29,Goalkeeper,Germany,Europe
70,Mauro Goicoechea,URU,Toulouse,Ligue 1,2018,30,1988,7.9,12,1,1,1,0,8.1,0.20,-3.9,-0.49,48,128,37.5,180,36,44.4,36.6,72,66.7,49.1,121,6,5.0,10,1.26,14.5,GK,30-34,Goalkeeper,Uruguay,South America
71,Pierluigi Gollini,ITA,Atalanta,Serie A,2018,23,1995,20.0,21,3,2,1,0,21.2,0.27,+0.2,+0.01,95,257,37.0,454,83,34.4,33.2,137,73.7,53.8,240,4,1.7,30,1.50,17.8,GK,20-24,Goalkeeper,Italy,Europe
72,Alfred Gomis,SEN,SPAL,Serie A,2018,24,1993,19.2,27,1,0,7,0,23.0,0.30,-4.0,-0.21,113,286,39.5,531,121,38.8,34.0,151,53.0,42.9,263,7,2.7,10,0.52,12.1,GK,20-24,Goalkeeper,Senegal,Africa
73,Mathieu Gorgelin,FRA,Lyon,Ligue 1,2018,27,1990,4.0,5,0,1,1,0,3.7,0.25,-1.3,-0.33,11,21,52.4,83,24,10.8,24.2,29,41.4,39.1,46,0,0.0,9,2.25,16.7,GK,25-29,Goalkeeper,France,Europe
75,Guido Guerrieri,ITA,Lazio,Serie A,2018,22,1996,1.0,3,0,0,1,0,2.0,0.50,-1.0,-1.00,2,8,25.0,26,8,15.4,27.3,9,44.4,40.7,16,0,0.0,2,2.00,16.0,GK,20-24,Goalkeeper,Italy,Europe
76,Péter Gulácsi,HUN,RB Leipzig,Bundesliga,2018,28,1990,32.5,27,4,1,4,1,37.9,0.30,+11.9,+0.37,236,588,40.1,797,124,50.6,39.6,223,83.0,56.2,379,16,4.2,57,1.75,19.5,GK,25-29,Goalkeeper,Hungary,Europe
