rk,player,nation,squad,comp,season,age,born,mp,starts,min,ninety_mins_played,goals_against,ga_per_90,shots_on_target_against,saves,save_pct,wins,draws,losses,clean_sheets,clean_sheet_pct,penalties_faced,penalties_allowed,penalties_saved,penalties_missed,penalty_save_pct,position,age_range,general_position,country,continent
186,Ciprian Tătărușanu,ROU,Nantes,Ligue 1,2018,32,1986,27,27,2391,26.6,30,1.13,95,62,69.5,8,6,13,7,25.9,4,1,3,0,75.0,GK,30-34,Goalkeeper,Romania,Europe
187,Marc-André ter Stegen,GER,Barcelona,La Liga,2018,26,1992,35,35,3150,35.0,32,0.91,116,85,73.3,25,8,2,16,45.7,1,1,0,0,0.0,GK,25-29,Goalkeeper,Germany,Europe
188,Pietro Terracciano,ITA,Fiorentina,Serie A,2018,28,1990,2,2,180,2.0,3,1.50,11,8,72.7,0,1,1,0,0.0,0,0,0,0,,GK,25-29,Goalkeeper,Italy,Europe
189,Pietro Terracciano,ITA,Empoli,Serie A,2018,28,1990,8,8,720,8.0,10,1.25,35,26,71.4,1,2,5,2,25.0,0,0,0,0,,GK,25-29,Goalkeeper,Italy,Europe
190,Kevin Trapp,GER,Eint Frankfurt,Bundesliga,2018,28,1990,33,33,2938,32.6,48,1.47,158,111,70.3,14,9,10,8,24.2,1,1,0,0,0.0,GK,25-29,Goalkeeper,Germany,Europe
191,Mark Travers,IRL,Bournemouth,Premier League,2018,19,1999,2,2,180,2.0,5,2.50,13,9,61.5,1,0,1,1,50.0,0,0,0,0,,GK,Under 20,Goalkeeper,Republic of Ireland,Europe
192,Philipp Tschauner,GER,Hannover 96,Bundesliga,2018,32,1985,1,1,90,1.0,3,3.00,6,3,66.7,0,0,1,0,0.0,1,1,0,0,0.0,GK,30-34,Goalkeeper,Germany,Europe
193,Sven Ulreich,GER,Bayern Munich,Bundesliga,2018,29,1988,9,8,757,8.4,9,1.07,23,14,69.6,4,3,1,2,25.0,3,2,0,1,0.0,GK,25-29,Goalkeeper,Germany,Europe
196,Emiliano Viviano,ITA,SPAL,Serie A,2018,32,1985,17,17,1525,16.9,25,1.48,84,59,75.0,7,3,7,3,17.6,4,4,0,0,0.0,GK,30-34,Goalkeeper,Italy,Europe
197,Michel Vorm,NED,Tottenham,Premier League,2018,34,1983,2,2,180,2.0,4,2.00,13,9,69.2,0,0,2,0,0.0,0,0,0,0,,GK,30-34,Goalkeeper,Netherlands,Europe
198,Axel Werner,ARG,Huesca,La Liga,2018,22,1996,6,6,540,6.0,16,2.67,32,17,53.1,1,1,4,0,0.0,1,1,0,0,0.0,GK,20-24,Goalkeeper,Argentina,South America
200,Robin Zentner,GER,Mainz 05,Bundesliga,2018,23,1994,10,10,900,10.0,14,1.40,49,35,71.4,4,4,2,2,20.0,0,0,0,0,,GK,20-24,Goalkeeper,Germany,Europe
201,Luca Zidane,FRA,Real Madrid,La Liga,2018,20,1998,1,1,90,1.0,2,2.00,3,1,33.3,1,0,0,0,0.0,0,0,0,0,,GK,20-24,Goalkeeper,France,Europe
202,Ron-Robert Zieler,GER,Stuttgart,Bundesliga,2018,29,1989,34,34,3060,34.0,70,2.06,179,113,62.0,7,7,20,6,17.6,3,2,0,1,0.0,GK,25-29,Goalkeeper,Germany,Europe
1,Antonio Adán,ESP,Atlético Madrid,La Liga,2018,31,1987,2,1,90,1.0,2,2.00,7,5,71.4,0,1,0,0,0.0,0,0,0,0,,GK,30-34,Goalkeeper,Spain,Europe
5,Sergio Álvarez,ESP,Celta Vigo,La Liga,2018,31,1986,13,13,1170,13.0,22,1.69,58,37,65.5,3,5,5,2,15.4,2,2,0,0,0.0,GK,30-34,Goalkeeper,Spain,Europe
6,Miguel Ángel Moyá,ESP,Real Sociedad,La Liga,2018,34,1984,11,11,990,11.0,11,1.00,33,22,66.7,3,2,6,2,18.2,0,0,0,0,,GK,30-34,Goalkeeper,Spain,Europe
8,Kepa Arrizabalaga,ESP,Chelsea,Premier League,2018,23,1994,36,36,3240,36.0,39,1.08,121,81,68.6,20,8,8,14,38.9,2,1,1,0,50.0,GK,20-24,Goalkeeper,Spain,Europe
9,Sergio Asenjo,ESP,Villarreal,La Liga,2018,29,1989,32,32,2880,32.0,45,1.41,162,119,73.5,7,12,13,9,28.1,4,2,1,1,33.3,GK,25-29,Goalkeeper,Spain,Europe
20,Rubén Blanco,ESP,Celta Vigo,La Liga,2018,23,1995,25,25,2250,25.0,40,1.60,109,69,67.0,7,6,12,6,24.0,5,4,0,1,0.0,GK,20-24,Goalkeeper,Spain,Europe
21,Artur Boruc,POL,Bournemouth,Premier League,2018,38,1980,12,12,1080,12.0,18,1.50,56,38,73.2,4,3,5,4,33.3,3,3,0,0,0.0,GK,35-39,Goalkeeper,Poland,Europe
34,Petr Čech,CZE,Arsenal,Premier League,2018,36,1982,7,7,585,6.5,9,1.38,37,28,75.7,5,0,2,1,14.3,0,0,0,0,,GK,35-39,Goalkeeper,Czech Republic,Europe
