rk,player,nation,squad,comp,season,age,born,mp,starts,min,ninety_mins_played,goals_against,ga_per_90,shots_on_target_against,saves,save_pct,wins,draws,losses,clean_sheets,clean_sheet_pct,penalties_faced,penalties_allowed,penalties_saved,penalties_missed,penalty_save_pct,position,age_range,general_position,country,continent
66,Alfred Gomis,SEN,Dijon,Ligue 1,2019,25,1993,19,19,1620,18.0,20,1.11,81,62,76.5,6,7,6,6,31.6,1,1,0,0,0.0,GK,25-29,Goalkeeper,Senegal,Africa
68,Péter Gulácsi,HUN,RB Leipzig,Bundesliga,2019,29,1990,32,32,2880,32.0,34,1.06,116,82,72.4,16,12,4,10,31.3,2,2,0,0,0.0,GK,25-29,Goalkeeper,Hungary,Europe
69,Angus Gunn,SCO,Southampton,Premier League,2019,23,1996,10,10,900,10.0,25,2.50,55,30,58.2,2,2,6,2,20.0,2,2,0,0,0.0,GK,20-24,Goalkeeper,Scotland,Europe
70,Régis Gurtner,FRA,Amiens,Ligue 1,2019,32,1986,28,28,2520,28.0,50,1.79,142,93,65.5,4,11,13,5,17.9,1,1,0,0,0.0,GK,30-34,Goalkeeper,France,Europe
72,Tom Heaton,ENG,Aston Villa,Premier League,2019,33,1986,20,20,1794,19.9,35,1.76,102,68,68.6,6,3,11,4,20.0,3,3,0,0,0.0,GK,30-34,Goalkeeper,England,Europe
73,Dean Henderson,ENG,Sheffield Utd,Premier League,2019,22,1997,36,36,3240,36.0,33,0.92,128,94,75.0,14,11,11,13,36.1,3,1,1,1,50.0,GK,20-24,Goalkeeper,England,Europe
74,Wayne Hennessey,WAL,Crystal Palace,Premier League,2019,32,1987,3,3,270,3.0,8,2.67,23,15,65.2,0,1,2,0,0.0,0,0,0,0,,GK,30-34,Goalkeeper,Wales,Europe
77,Marwin Hitz,SUI,Dortmund,Bundesliga,2019,31,1987,4,3,290,3.2,1,0.31,7,6,85.7,2,1,0,3,100.0,0,0,0,0,,GK,30-34,Goalkeeper,Switzerland,Europe
78,Timo Horn,GER,Köln,Bundesliga,2019,26,1993,34,34,3060,34.0,69,2.03,156,87,58.3,10,6,18,6,17.6,6,4,2,0,33.3,GK,25-29,Goalkeeper,Germany,Europe
79,Lukáš Hrádecký,FIN,Leverkusen,Bundesliga,2019,29,1989,34,34,3060,34.0,44,1.29,143,99,70.6,19,6,9,10,29.4,2,2,0,0,0.0,GK,25-29,Goalkeeper,Finland,Europe
80,Jannik Huth,GER,Paderborn 07,Bundesliga,2019,25,1994,6,6,540,6.0,17,2.83,33,16,51.5,0,1,5,0,0.0,1,1,0,0,0.0,GK,25-29,Goalkeeper,Germany,Europe
82,Jesse Joronen,FIN,Brescia,Serie A,2019,26,1993,29,29,2610,29.0,59,2.03,181,124,72.4,5,6,18,5,17.2,10,9,1,0,10.0,GK,25-29,Goalkeeper,Finland,Europe
83,Lovre Kalinić,CRO,Toulouse,Ligue 1,2019,29,1990,4,4,306,3.4,4,1.18,15,11,73.3,0,1,3,1,25.0,0,0,0,0,,GK,25-29,Goalkeeper,Croatia,Europe
84,Stefanos Kapino,GRE,Werder Bremen,Bundesliga,2019,25,1994,1,1,90,1.0,2,2.00,5,3,60.0,0,1,0,0,0.0,0,0,0,0,,GK,25-29,Goalkeeper,Greece,Europe
85,Florian Kastenmeier,GER,Düsseldorf,Bundesliga,2019,22,1997,17,17,1530,17.0,31,1.82,78,49,62.8,2,9,6,2,11.8,3,2,1,0,33.3,GK,20-24,Goalkeeper,Germany,Europe
87,Thomas Kraft,GER,Hertha BSC,Bundesliga,2019,31,1988,4,4,360,4.0,9,2.25,19,10,52.6,0,3,1,0,0.0,0,0,0,0,,GK,30-34,Goalkeeper,Germany,Europe
88,Tim Krul,NED,Norwich City,Premier League,2019,31,1988,36,36,3240,36.0,68,1.89,195,128,66.7,5,6,25,5,13.9,5,3,2,0,40.0,GK,30-34,Goalkeeper,Netherlands,Europe
89,Alban Lafont,FRA,Nantes,Ligue 1,2019,20,1999,27,27,2430,27.0,29,1.07,95,64,72.6,11,4,12,10,37.0,6,3,2,1,40.0,GK,20-24,Goalkeeper,France,Europe
90,Gautier Larsonneur,FRA,Brest,Ligue 1,2019,22,1997,27,27,2398,26.6,34,1.28,132,96,76.5,7,10,10,7,25.9,5,3,2,0,40.0,GK,20-24,Goalkeeper,France,Europe
91,Benjamin Lecomte,FRA,Monaco,Ligue 1,2019,28,1991,28,28,2520,28.0,44,1.57,134,91,71.6,11,7,10,7,25.0,6,6,0,0,0.0,GK,25-29,Goalkeeper,France,Europe
92,Nicolas Lemaître,FRA,Reims,Ligue 1,2019,22,1997,1,1,90,1.0,3,3.00,4,1,50.0,0,0,1,0,0.0,1,1,0,0,0.0,GK,20-24,Goalkeeper,France,Europe
93,Bernd Leno,GER,Arsenal,Premier League,2019,27,1992,30,30,2649,29.4,39,1.33,151,111,78.1,9,13,8,7,23.3,7,6,1,0,14.3,GK,25-29,Goalkeeper,Germany,Europe
95,Karlo Letica,CRO,SPAL,Serie A,2019,22,1997,10,10,900,10.0,29,2.90,65,36,55.4,0,1,9,0,0.0,1,0,1,0,100.0,GK,20-24,Goalkeeper,Croatia,Europe
96,Hugo Lloris,FRA,Tottenham,Premier League,2019,32,1986,21,21,1807,20.1,21,1.05,99,78,80.8,11,6,4,6,28.6,3,2,1,0,33.3,GK,30-34,Goalkeeper,France,Europe
97,Anthony Lopes,POR,Lyon,Ligue 1,2019,28,1990,26,26,2340,26.0,25,0.96,86,64,73.3,10,7,9,8,30.8,3,2,0,1,0.0,GK,25-29,Goalkeeper,Portugal,Europe
100,Andreas Luthe,GER,Augsburg,Bundesliga,2019,32,1987,10,10,900,10.0,12,1.20,33,22,63.6,3,3,4,3,30.0,0,0,0,0,,GK,30-34,Goalkeeper,Germany,Europe
101,Mike Maignan,FRA,Lille,Ligue 1,2019,24,1995,28,28,2520,28.0,27,0.96,83,58,72.3,15,4,9,12,42.9,6,4,1,1,20.0,GK,20-24,Goalkeeper,France,Europe
102,Steve Mandanda,FRA,Marseille,Ligue 1,2019,34,1985,27,27,2371,26.3,27,1.02,92,67,75.0,15,8,4,11,40.7,4,4,0,0,0.0,GK,30-34,Goalkeeper,France,Europe
104,David Martin,ENG,West Ham,Premier League,2019,33,1986,5,4,436,4.8,6,1.24,21,15,71.4,2,0,2,2,50.0,0,0,0,0,,GK,30-34,Goalkeeper,England,Europe
105,Emiliano Martínez,ARG,Arsenal,Premier League,2019,26,1992,9,8,771,8.6,9,1.05,42,33,81.0,5,1,2,3,37.5,1,1,0,0,0.0,GK,25-29,Goalkeeper,Argentina,South America
107,Alex McCarthy,ENG,Southampton,Premier League,2019,29,1989,28,28,2520,28.0,35,1.25,113,78,69.9,13,5,10,7,25.0,2,1,1,0,50.0,GK,25-29,Goalkeeper,England,Europe
109,Edouard Mendy,SEN,Rennes,Ligue 1,2019,27,1992,24,24,2160,24.0,19,0.79,79,60,79.7,13,5,6,9,37.5,4,3,1,0,25.0,GK,25-29,Goalkeeper,Senegal,Africa
110,Alex Meret,ITA,Napoli,Serie A,2019,22,1997,22,21,1951,21.7,33,1.52,84,51,66.7,9,5,7,3,14.3,6,5,1,0,16.7,GK,20-24,Goalkeeper,Italy,Europe
111,Antonio Mirante,ITA,Roma,Serie A,2019,36,1983,5,5,450,5.0,5,1.00,24,19,83.3,2,1,2,2,40.0,1,1,0,0,0.0,GK,35-39,Goalkeeper,Italy,Europe
112,Simon Moore,ENG,Sheffield Utd,Premier League,2019,29,1990,2,2,180,2.0,6,3.00,11,5,45.5,0,1,1,0,0.0,0,0,0,0,,GK,25-29,Goalkeeper,England,Europe
113,Jessy Moulin,FRA,Saint-Étienne,Ligue 1,2019,33,1986,5,5,450,5.0,4,0.80,23,19,91.3,2,2,1,2,40.0,2,2,0,0,0.0,GK,30-34,Goalkeeper,France,Europe
114,Florian Müller,GER,Mainz 05,Bundesliga,2019,21,1997,13,12,1125,12.5,25,2.00,66,40,65.2,3,2,7,2,16.7,3,2,1,0,33.3,GK,20-24,Goalkeeper,Germany,Europe
115,Juan Musso,ARG,Udinese,Serie A,2019,25,1994,38,38,3420,38.0,51,1.34,194,141,77.8,12,9,17,14,36.8,10,8,2,0,20.0,GK,25-29,Goalkeeper,Argentina,South America
116,Yvon Mvogo,SUI,RB Leipzig,Bundesliga,2019,25,1994,2,2,180,2.0,3,1.50,5,2,40.0,2,0,0,0,0.0,0,0,0,0,,GK,25-29,Goalkeeper,Switzerland,Europe
117,Keylor Navas,CRC,Paris S-G,Ligue 1,2019,32,1986,21,21,1890,21.0,18,0.86,66,49,72.7,17,2,2,11,52.4,0,0,0,0,,GK,30-34,Goalkeeper,Costa Rica,North America
118,Neto,BRA,Barcelona,La Liga,2019,30,1989,2,2,180,2.0,2,1.00,3,1,33.3,1,1,0,1,50.0,0,0,0,0,,GK,30-34,Goalkeeper,Brazil,South America
119,Manuel Neuer,GER,Bayern Munich,Bundesliga,2019,33,1986,33,33,2970,33.0,31,0.94,110,79,74.5,25,4,4,15,45.5,4,3,1,0,25.0,GK,30-34,Goalkeeper,Germany,Europe
120,Moritz Nicolas,GER,Union Berlin,Bundesliga,2019,21,1997,1,1,90,1.0,4,4.00,8,4,50.0,0,0,1,0,0.0,0,0,0,0,,GK,20-24,Goalkeeper,Germany,Europe
121,Alexander Nübel,GER,Schalke 04,Bundesliga,2019,22,1996,26,26,2315,25.7,40,1.56,118,80,69.5,8,9,9,5,19.2,4,4,0,0,0.0,GK,20-24,Goalkeeper,Germany,Europe
125,Robin Olsen,SWE,Cagliari,Serie A,2019,29,1990,17,17,1524,16.9,24,1.42,89,67,77.5,8,5,4,4,23.5,4,4,0,0,0.0,GK,25-29,Goalkeeper,Sweden,Europe
126,David Ospina,COL,Napoli,Serie A,2019,30,1988,17,17,1469,16.3,17,1.04,54,37,72.2,9,3,5,4,23.5,2,2,0,0,0.0,GK,30-34,Goalkeeper,Colombia,South America
127,Alexandre Oukidja,ALG,Metz,Ligue 1,2019,31,1988,27,27,2385,26.5,31,1.17,129,98,78.3,8,10,9,8,29.6,3,3,0,0,0.0,GK,30-34,Goalkeeper,Algeria,Africa
129,Daniele Padelli,ITA,Inter,Serie A,2019,33,1985,4,4,270,3.0,4,1.33,8,4,62.5,2,0,1,1,25.0,1,1,0,0,0.0,GK,30-34,Goalkeeper,Italy,Europe
131,Rui Patrício,POR,Wolves,Premier League,2019,31,1988,38,38,3420,38.0,40,1.05,129,88,69.8,15,14,9,13,34.2,3,1,2,0,66.7,GK,30-34,Goalkeeper,Portugal,Europe
133,Gianluca Pegolo,ITA,Sassuolo,Serie A,2019,38,1981,5,5,450,5.0,4,0.80,27,24,85.2,2,2,1,2,40.0,0,0,0,0,,GK,35-39,Goalkeeper,Italy,Europe
134,Yohann Pelé,FRA,Marseille,Ligue 1,2019,36,1982,2,1,149,1.7,2,1.21,7,4,71.4,1,0,0,0,0.0,1,0,1,0,100.0,GK,35-39,Goalkeeper,France,Europe
135,Philipp Pentke,GER,Hoffenheim,Bundesliga,2019,34,1985,4,4,360,4.0,4,1.00,21,17,85.7,2,0,2,1,25.0,1,1,0,0,0.0,GK,30-34,Goalkeeper,Germany,Europe
138,Mattia Perin,ITA,Genoa,Serie A,2019,26,1992,21,21,1890,21.0,38,1.81,103,66,64.1,8,4,9,5,23.8,2,1,0,1,0.0,GK,25-29,Goalkeeper,Italy,Europe
139,Pavao Pervan,AUT,Wolfsburg,Bundesliga,2019,31,1987,8,8,720,8.0,8,1.00,37,30,81.1,2,4,2,3,37.5,1,1,0,0,0.0,GK,30-34,Goalkeeper,Austria,Europe
140,Danijel Petković,MNE,Angers,Ligue 1,2019,26,1993,2,2,180,2.0,1,0.50,7,6,85.7,1,0,1,1,50.0,0,0,0,0,,GK,25-29,Goalkeeper,Montenegro,Europe
142,Jordan Pickford,ENG,Everton,Premier League,2019,25,1994,38,38,3420,38.0,56,1.47,147,94,63.9,13,10,15,9,23.7,4,3,0,1,0.0,GK,25-29,Goalkeeper,England,Europe
143,Carlo Pinsoglio,ITA,Juventus,Serie A,2019,29,1990,1,0,19,0.2,0,0.00,0,0,,0,0,0,0,,0,0,0,0,,GK,25-29,Goalkeeper,Italy,Europe
144,Nick Pope,ENG,Burnley,Premier League,2019,27,1992,38,38,3420,38.0,50,1.32,167,117,72.5,15,9,14,15,39.5,5,4,1,0,20.0,GK,25-29,Goalkeeper,England,Europe
145,Ionuț Radu,ROU,Genoa,Serie A,2019,22,1997,17,17,1530,17.0,35,2.06,98,64,70.4,2,5,10,2,11.8,7,6,0,1,0.0,GK,20-24,Goalkeeper,Romania,Europe
147,Rafael,BRA,Cagliari,Serie A,2019,37,1982,6,5,454,5.0,11,2.18,17,6,47.1,1,1,3,0,0.0,3,2,0,1,0.0,GK,35-39,Goalkeeper,Brazil,South America
149,Aaron Ramsdale,ENG,Bournemouth,Premier League,2019,21,1998,37,37,3330,37.0,62,1.68,187,124,69.5,9,7,21,5,13.5,6,5,1,0,16.7,GK,20-24,Goalkeeper,England,Europe
150,Darren Randolph,IRL,West Ham,Premier League,2019,32,1987,2,2,180,2.0,5,2.50,11,6,63.6,0,1,1,0,0.0,1,1,0,0,0.0,GK,30-34,Goalkeeper,Republic of Ireland,Europe
155,Baptiste Reynet,FRA,Toulouse,Ligue 1,2019,28,1990,23,22,2034,22.6,49,2.17,118,68,61.0,3,3,16,2,9.1,5,3,2,0,40.0,GK,25-29,Goalkeeper,France,Europe
160,Antonio Rosati,ITA,Torino,Serie A,2019,36,1983,1,1,90,1.0,1,1.00,5,4,80.0,0,1,0,0,0.0,0,0,0,0,,GK,35-39,Goalkeeper,Italy,Europe
161,Francesco Rossi,ITA,Atalanta,Serie A,2019,28,1991,1,0,11,0.1,1,8.18,1,0,0.0,0,0,0,0,,0,0,0,0,,GK,25-29,Goalkeeper,Italy,Europe
163,Stéphane Ruffier,FRA,Saint-Étienne,Ligue 1,2019,32,1986,22,22,1980,22.0,40,1.82,100,60,63.0,6,4,12,3,13.6,4,3,0,1,0.0,GK,30-34,Goalkeeper,France,Europe
164,Gerónimo Rulli,ARG,Montpellier,Ligue 1,2019,27,1992,25,25,2250,25.0,27,1.08,119,91,79.8,11,7,7,8,32.0,5,3,2,0,40.0,GK,25-29,Goalkeeper,Argentina,South America
165,Mathew Ryan,AUS,Brighton,Premier League,2019,27,1992,38,38,3420,38.0,54,1.42,168,116,69.0,9,14,15,9,23.7,2,2,0,0,0.0,GK,25-29,Goalkeeper,Australia,Oceania
166,Frederik Rønnow,DEN,Eint Frankfurt,Bundesliga,2019,26,1992,9,9,810,9.0,14,1.56,49,35,75.5,2,3,4,1,11.1,2,2,0,0,0.0,GK,25-29,Goalkeeper,Denmark,Europe
167,Romain Salin,FRA,Rennes,Ligue 1,2019,35,1984,5,4,360,4.0,5,1.25,19,13,73.7,2,0,2,1,25.0,1,0,1,0,100.0,GK,35-39,Goalkeeper,France,Europe
168,Kasper Schmeichel,DEN,Leicester City,Premier League,2019,32,1986,38,38,3420,38.0,41,1.08,135,94,75.6,18,8,12,13,34.2,10,8,2,0,20.0,GK,30-34,Goalkeeper,Denmark,Europe
169,Markus Schubert,GER,Schalke 04,Bundesliga,2019,21,1998,9,8,742,8.2,18,2.18,55,37,70.9,1,3,4,2,25.0,2,2,0,0,0.0,GK,20-24,Goalkeeper,Germany,Europe
170,Alexander Schwolow,GER,Freiburg,Bundesliga,2019,27,1992,24,24,2091,23.2,32,1.38,118,86,75.4,9,6,9,4,16.7,3,3,0,0,0.0,GK,25-29,Goalkeeper,Germany,Europe
171,Matz Sels,BEL,Strasbourg,Ligue 1,2019,27,1992,27,27,2430,27.0,32,1.19,104,71,75.0,11,5,11,8,29.6,7,6,1,0,14.3,GK,25-29,Goalkeeper,Belgium,Europe
172,Luigi Sepe,ITA,Parma,Serie A,2019,28,1991,34,34,3060,34.0,53,1.56,193,137,75.6,13,6,15,5,14.7,9,6,3,0,33.3,GK,25-29,Goalkeeper,Italy,Europe
173,Rui Silva,POR,Granada,La Liga,2019,25,1994,35,35,3150,35.0,42,1.20,142,99,73.2,15,8,12,12,34.3,5,4,1,0,20.0,GK,25-29,Goalkeeper,Portugal,Europe
174,Marco Silvestri,ITA,Hellas Verona,Serie A,2019,28,1991,35,35,3150,35.0,43,1.23,159,117,77.4,11,13,11,9,25.7,7,7,0,0,0.0,GK,25-29,Goalkeeper,Italy,Europe
176,Salvatore Sirigu,ITA,Torino,Serie A,2019,32,1987,36,36,3240,36.0,64,1.78,197,135,72.1,11,6,19,7,19.4,10,9,1,0,10.0,GK,30-34,Goalkeeper,Italy,Europe
179,Dennis Smarsch,GER,Hertha BSC,Bundesliga,2019,20,1999,2,1,151,1.7,4,2.38,11,7,63.6,0,0,1,0,0.0,0,0,0,0,,GK,20-24,Goalkeeper,Germany,Europe
180,Yann Sommer,SUI,Gladbach,Bundesliga,2019,30,1988,34,34,3060,34.0,40,1.18,158,117,75.3,20,5,9,7,20.6,2,1,1,0,50.0,GK,30-34,Goalkeeper,Switzerland,Europe
183,Marco Sportiello,ITA,Atalanta,Serie A,2019,27,1992,6,5,525,5.8,5,0.86,18,13,72.2,4,0,1,2,40.0,0,0,0,0,,GK,25-29,Goalkeeper,Italy,Europe
184,Jed Steer,ENG,Aston Villa,Premier League,2019,26,1992,1,1,7,0.1,,,,,,,,1,,,,,,,,GK,25-29,Goalkeeper,England,Europe
185,Zack Steffen,USA,Düsseldorf,Bundesliga,2019,24,1995,17,17,1530,17.0,36,2.12,99,63,64.6,4,3,10,2,11.8,2,1,1,0,50.0,GK,20-24,Goalkeeper,United States,North America
186,Thomas Strakosha,ALB,Lazio,Serie A,2019,24,1995,38,38,3420,38.0,42,1.11,154,112,77.3,24,6,8,11,28.9,9,7,1,1,12.5,GK,20-24,Goalkeeper,Albania,Europe
188,Ciprian Tătărușanu,ROU,Lyon,Ligue 1,2019,33,1986,2,2,180,2.0,2,1.00,11,9,81.8,1,0,1,1,50.0,0,0,0,0,,GK,30-34,Goalkeeper,Romania,Europe
189,Marc-André ter Stegen,GER,Barcelona,La Liga,2019,27,1992,36,36,3240,36.0,36,1.00,116,79,74.1,24,6,6,14,38.9,7,6,1,0,14.3,GK,25-29,Goalkeeper,Germany,Europe
190,Pietro Terracciano,ITA,Fiorentina,Serie A,2019,29,1990,7,7,624,6.9,5,0.72,23,18,91.3,5,1,1,2,28.6,3,3,0,0,0.0,GK,25-29,Goalkeeper,Italy,Europe
191,Demba Thiam,SEN,SPAL,Serie A,2019,21,1998,2,2,180,2.0,4,2.00,16,12,81.3,0,1,1,0,0.0,1,1,0,0,0.0,GK,20-24,Goalkeeper,Senegal,Africa
192,Niclas Thiede,GER,Freiburg,Bundesliga,2019,20,1999,1,0,69,0.8,1,1.30,4,3,75.0,0,0,0,0,,0,0,0,0,,GK,20-24,Goalkeeper,Germany,Europe
193,Kevin Trapp,GER,Eint Frankfurt,Bundesliga,2019,29,1990,22,22,1980,22.0,38,1.73,105,69,64.8,11,3,8,4,18.2,1,1,0,0,0.0,GK,25-29,Goalkeeper,Germany,Europe
194,Mark Travers,IRL,Bournemouth,Premier League,2019,20,1999,1,1,90,1.0,3,3.00,5,2,40.0,0,0,1,0,0.0,0,0,0,0,,GK,20-24,Goalkeeper,Republic of Ireland,Europe
195,Stefano Turati,ITA,Sassuolo,Serie A,2019,17,2001,2,2,180,2.0,4,2.00,12,8,75.0,0,2,0,0,0.0,1,1,0,0,0.0,GK,Under 20,Goalkeeper,Italy,Europe
197,Sven Ulreich,GER,Bayern Munich,Bundesliga,2019,30,1988,2,2,90,1.0,1,1.00,3,2,66.7,1,0,0,0,0.0,0,0,0,0,,GK,30-34,Goalkeeper,Germany,Europe
200,Mauro Vigorito,ITA,Lecce,Serie A,2019,29,1990,5,4,423,4.7,9,1.91,29,20,72.4,3,0,1,1,25.0,1,1,0,0,0.0,GK,25-29,Goalkeeper,Italy,Europe
202,Felix Wiedwald,GER,Eint Frankfurt,Bundesliga,2019,29,1990,3,3,270,3.0,8,2.67,20,12,60.0,0,0,3,0,0.0,0,0,0,0,,GK,25-29,Goalkeeper,Germany,Europe
204,Robin Zentner,GER,Mainz 05,Bundesliga,2019,24,1994,22,22,1935,21.5,40,1.86,115,75,66.1,8,2,12,3,13.6,2,1,1,0,50.0,GK,20-24,Goalkeeper,Germany,Europe
205,Leopold Zingerle,GER,Paderborn 07,Bundesliga,2019,25,1994,28,28,2520,28.0,57,2.04,152,96,64.5,4,7,17,5,17.9,4,3,1,0,25.0,GK,25-29,Goalkeeper,Germany,Europe
1,Antonio Adán,ESP,Atlético Madrid,La Liga,2019,32,1987,1,0,25,0.3,0,0.00,1,1,100.0,0,0,0,0,,0,0,0,0,,GK,30-34,Goalkeeper,Spain,Europe
2,Adrián,ESP,Liverpool,Premier League,2019,32,1987,11,9,875,9.7,10,1.03,27,17,63.0,9,0,0,2,22.2,0,0,0,0,,GK,30-34,Goalkeeper,Spain,Europe
6,Sergio Álvarez,ESP,Celta Vigo,La Liga,2019,32,1986,4,4,180,2.0,1,0.50,3,2,66.7,1,1,0,1,25.0,0,0,0,0,,GK,30-34,Goalkeeper,Spain,Europe
8,Miguel Ángel Moyá,ESP,Real Sociedad,La Liga,2019,35,1984,13,13,1170,13.0,16,1.23,51,36,68.6,5,4,4,3,23.1,1,0,0,1,,GK,35-39,Goalkeeper,Spain,Europe
11,Kepa Arrizabalaga,ESP,Chelsea,Premier League,2019,24,1994,33,33,2970,33.0,47,1.42,99,54,54.5,18,4,11,8,24.2,2,2,0,0,0.0,GK,20-24,Goalkeeper,Spain,Europe
12,Sergio Asenjo,ESP,Villarreal,La Liga,2019,30,1989,34,34,3060,34.0,41,1.21,145,104,75.2,17,4,13,11,32.4,6,5,1,0,16.7,GK,30-34,Goalkeeper,Spain,Europe
21,Rubén Blanco,ESP,Celta Vigo,La Liga,2019,24,1995,33,33,2960,32.9,43,1.31,135,92,71.9,6,14,13,10,30.3,5,5,0,0,0.0,GK,20-24,Goalkeeper,Spain,Europe
28,Marcin Bułka,POL,Paris S-G,Ligue 1,2019,19,1999,1,1,90,1.0,0,0.00,2,2,100.0,1,0,0,1,100.0,0,0,0,0,,GK,Under 20,Goalkeeper,Poland,Europe
32,Churripi,ESP,Valladolid,La Liga,2019,25,1994,3,3,244,2.7,3,1.11,13,10,76.9,1,0,2,1,33.3,0,0,0,0,,GK,25-29,Goalkeeper,Spain,Europe
41,Iván Cuéllar,ESP,Leganés,La Liga,2019,35,1984,27,27,2429,27.0,33,1.22,99,65,67.7,7,9,11,7,25.9,2,1,1,0,50.0,GK,35-39,Goalkeeper,Spain,Europe
44,Marko Dmitrović,SRB,Eibar,La Liga,2019,27,1992,35,35,3150,35.0,51,1.46,122,71,61.5,9,9,17,10,28.6,5,4,1,0,20.0,GK,25-29,Goalkeeper,Serbia,Europe
45,Jaume Doménech,ESP,Valencia,La Liga,2019,28,1990,15,14,1324,14.7,23,1.56,81,58,72.8,4,4,6,3,21.4,1,1,0,0,0.0,GK,25-29,Goalkeeper,Spain,Europe
47,Bartłomiej Drągowski,POL,Fiorentina,Serie A,2019,21,1997,31,31,2790,31.0,43,1.39,139,94,73.4,7,12,12,8,25.8,8,6,2,0,25.0,GK,20-24,Goalkeeper,Poland,Europe
50,Aarón Escandell,ESP,Granada,La Liga,2019,23,1995,3,3,270,3.0,3,1.00,14,11,78.6,1,0,2,1,33.3,0,0,0,0,,GK,20-24,Goalkeeper,Spain,Europe
51,Łukasz Fabiański,POL,West Ham,Premier League,2019,34,1985,25,25,2117,23.5,34,1.45,104,71,70.2,8,7,10,5,20.0,4,3,1,0,25.0,GK,30-34,Goalkeeper,Poland,Europe
52,Fabricio,ESP,Mallorca,La Liga,2019,31,1987,2,2,90,1.0,3,3.00,6,3,66.7,0,0,1,0,0.0,1,1,0,0,0.0,GK,30-34,Goalkeeper,Spain,Europe
55,Aitor Fernández,ESP,Levante,La Liga,2019,28,1991,36,36,3240,36.0,51,1.42,205,153,76.6,12,7,17,5,13.9,5,3,2,0,40.0,GK,25-29,Goalkeeper,Spain,Europe
56,Andrés Fernández,ESP,Villarreal,La Liga,2019,32,1986,4,4,360,4.0,8,2.00,19,12,73.7,1,2,1,1,25.0,3,3,0,0,0.0,GK,30-34,Goalkeeper,Spain,Europe
62,David de Gea,ESP,Manchester Utd,Premier League,2019,28,1990,38,38,3420,38.0,36,0.95,131,96,74.8,18,12,8,13,34.2,3,3,0,0,0.0,GK,25-29,Goalkeeper,Spain,Europe
63,Rafał Gikiewicz,POL,Union Berlin,Bundesliga,2019,31,1987,33,33,2970,33.0,54,1.64,159,105,67.9,12,5,16,8,24.2,4,3,1,0,25.0,GK,30-34,Goalkeeper,Poland,Europe
67,Vicente Guaita,ESP,Crystal Palace,Premier League,2019,32,1987,35,35,3150,35.0,42,1.20,149,109,71.8,11,9,15,10,28.6,1,0,0,1,,GK,30-34,Goalkeeper,Spain,Europe
71,Samir Handanović,SVN,Inter,Serie A,2019,35,1984,35,35,3150,35.0,32,0.91,110,78,72.7,22,10,3,13,37.1,3,2,1,0,33.3,GK,35-39,Goalkeeper,Slovenia,Europe
75,Sergio Herrera,ESP,Osasuna,La Liga,2019,26,1993,19,18,1655,18.4,27,1.47,80,53,67.5,7,3,8,7,38.9,1,1,0,0,0.0,GK,25-29,Goalkeeper,Spain,Europe
76,Iago Herrerín,ESP,Athletic Club,La Liga,2019,31,1988,5,4,425,4.7,9,1.91,19,10,52.6,0,3,1,0,0.0,0,0,0,0,,GK,30-34,Goalkeeper,Spain,Europe
81,Rune Jarstein,NOR,Hertha BSC,Bundesliga,2019,34,1984,29,29,2547,28.3,46,1.63,143,99,72.7,11,5,13,9,31.0,7,7,0,0,0.0,GK,30-34,Goalkeeper,Norway,Europe
86,Tomáš Koubek,CZE,Augsburg,Bundesliga,2019,26,1992,24,24,2160,24.0,51,2.12,122,72,58.2,6,6,12,4,16.7,1,0,1,0,100.0,GK,25-29,Goalkeeper,Czech Republic,Europe
98,Diego López,ESP,Espanyol,La Liga,2019,37,1981,36,36,3232,35.9,58,1.62,160,103,67.5,4,9,23,4,11.1,7,6,1,0,14.3,GK,35-39,Goalkeeper,Spain,Europe
99,Pau López,ESP,Roma,Serie A,2019,24,1994,32,32,2880,32.0,45,1.41,132,86,72.0,18,6,8,5,15.6,9,8,1,0,11.1,GK,20-24,Goalkeeper,Spain,Europe
103,Daniel Martín,ESP,Betis,La Liga,2019,21,1998,6,5,531,5.9,12,2.03,24,12,50.0,1,0,4,1,20.0,0,0,0,0,,GK,20-24,Goalkeeper,Spain,Europe
106,Jordi Masip,ESP,Valladolid,La Liga,2019,30,1989,35,35,3150,35.0,39,1.11,125,85,73.6,8,15,12,11,31.4,7,6,1,0,14.3,GK,30-34,Goalkeeper,Spain,Europe
108,Michael McGovern,NIR,Norwich City,Premier League,2019,35,1984,2,1,159,1.8,6,3.40,13,6,53.8,0,0,1,0,0.0,1,0,1,0,100.0,GK,35-39,Goalkeeper,Northern Ireland,Europe
122,Ørjan Nyland,NOR,Aston Villa,Premier League,2019,28,1990,7,5,539,6.0,12,2.00,27,15,55.6,0,2,3,1,20.0,0,0,0,0,,GK,25-29,Goalkeeper,Norway,Europe
123,Jan Oblak,SVN,Atlético Madrid,La Liga,2019,26,1993,38,38,3395,37.7,27,0.72,111,87,78.4,18,16,4,17,44.7,4,3,0,1,0.0,GK,25-29,Goalkeeper,Slovenia,Europe
124,Oier Olazábal,ESP,Espanyol,La Liga,2019,29,1989,2,2,180,2.0,0,0.00,3,3,100.0,1,1,0,2,100.0,0,0,0,0,,GK,25-29,Goalkeeper,Spain,Europe
